District,Grade,Year,Category,Number Tested,Mean Scale Score,Level 1 #,Level 1 %,Level 2 #,Level 2 %,Level 3 #,Level 3 %,Level 4 #,Level 4 %,Level 3+4 #,Level 3+4 %
1,3,2006,General Ed,751,680,31,4.1%,115,15.3%,406,54.1%,199,26.5%,605,80.6%
1,3,2006,Special Ed,186,647,42,22.6%,55,29.6%,78,41.9%,11,5.9%,89,47.8%
1,3,2007,General Ed,672,685,18,2.7%,55,8.2%,418,62.2%,181,26.9%,599,89.1%
1,3,2007,Special Ed,147,654,29,19.7%,29,19.7%,80,54.4%,9,6.1%,89,60.5%
1,3,2008,General Ed,677,693,3,0.4%,34,5%,437,64.5%,203,30%,640,94.5%
1,3,2008,Special Ed,167,659,13,7.8%,55,32.9%,90,53.9%,9,5.4%,99,59.3%
1,3,2009,General Ed,741,697,3,0.4%,24,3.2%,483,65.2%,231,31.2%,714,96.4%
1,3,2009,Special Ed,151,661,5,3.3%,39,25.8%,99,65.6%,8,5.3%,107,70.9%
1,3,2010,General Ed,700,702,36,5.1%,187,26.7%,245,35%,232,33.1%,477,68.1%
1,3,2010,Special Ed,166,671,53,31.9%,70,42.2%,34,20.5%,9,5.4%,43,25.9%
1,3,2011,General Ed,694,693,40,5.8%,196,28.2%,282,40.6%,176,25.4%,458,66%
1,3,2011,Special Ed,132,671,38,28.8%,51,38.6%,37,28%,6,4.5%,43,32.6%
1,4,2006,General Ed,676,679,32,4.7%,106,15.7%,346,51.2%,192,28.4%,538,79.6%
1,4,2006,Special Ed,220,643,49,22.3%,82,37.3%,76,34.5%,13,5.9%,89,40.5%
1,4,2007,General Ed,682,682,17,2.5%,106,15.5%,376,55.1%,183,26.8%,559,82%
1,4,2007,Special Ed,165,640,47,28.5%,54,32.7%,58,35.2%,6,3.6%,64,38.8%
1,4,2008,General Ed,654,683,17,2.6%,88,13.5%,363,55.5%,186,28.4%,549,83.9%
1,4,2008,Special Ed,169,652,27,16%,54,32%,79,46.7%,9,5.3%,88,52.1%
1,4,2009,General Ed,682,695,13,1.9%,51,7.5%,340,49.9%,278,40.8%,618,90.6%
1,4,2009,Special Ed,148,646,37,25%,35,23.6%,68,45.9%,8,5.4%,76,51.4%
1,4,2010,General Ed,716,694,25,3.5%,195,27.2%,259,36.2%,237,33.1%,496,69.3%
1,4,2010,Special Ed,190,660,34,17.9%,94,49.5%,55,28.9%,7,3.7%,62,32.6%
1,4,2011,General Ed,684,699,13,1.9%,150,21.9%,253,37%,268,39.2%,521,76.2%
1,4,2011,Special Ed,181,658,41,22.7%,88,48.6%,43,23.8%,9,5%,52,28.7%
1,5,2006,General Ed,605,665,44,7.3%,163,26.9%,296,48.9%,102,16.9%,398,65.8%
1,5,2006,Special Ed,193,632,66,34.2%,70,36.3%,51,26.4%,6,3.1%,57,29.5%
1,5,2007,General Ed,656,677,23,3.5%,106,16.2%,368,56.1%,159,24.2%,527,80.3%
1,5,2007,Special Ed,196,637,43,21.9%,82,41.8%,62,31.6%,9,4.6%,71,36.2%
1,5,2008,General Ed,657,685,9,1.4%,66,10%,388,59.1%,194,29.5%,582,88.6%
1,5,2008,Special Ed,170,646,27,15.9%,56,32.9%,81,47.6%,6,3.5%,87,51.2%
1,5,2009,General Ed,632,691,2,0.3%,56,8.9%,331,52.4%,243,38.4%,574,90.8%
1,5,2009,Special Ed,154,660,10,6.5%,40,26%,87,56.5%,17,11%,104,67.5%
1,5,2010,General Ed,630,689,20,3.2%,180,28.6%,240,38.1%,190,30.2%,430,68.3%
1,5,2010,Special Ed,177,655,49,27.7%,84,47.5%,29,16.4%,15,8.5%,44,24.9%
1,5,2011,General Ed,679,694,24,3.5%,162,23.9%,254,37.4%,239,35.2%,493,72.6%
1,5,2011,Special Ed,196,662,41,20.9%,84,42.9%,64,32.7%,7,3.6%,71,36.2%
1,6,2006,General Ed,741,667,60,8.1%,174,23.5%,353,47.6%,154,20.8%,507,68.4%
1,6,2006,Special Ed,171,626,56,32.7%,74,43.3%,39,22.8%,2,1.2%,41,24%
1,6,2007,General Ed,629,677,28,4.5%,122,19.4%,318,50.6%,161,25.6%,479,76.2%
1,6,2007,Special Ed,135,627,51,37.8%,42,31.1%,39,28.9%,3,2.2%,42,31.1%
1,6,2008,General Ed,638,684,23,3.6%,83,13%,303,47.5%,229,35.9%,532,83.4%
1,6,2008,Special Ed,204,635,54,26.5%,78,38.2%,59,28.9%,13,6.4%,72,35.3%
1,6,2009,General Ed,713,692,8,1.1%,73,10.2%,352,49.4%,280,39.3%,632,88.6%
1,6,2009,Special Ed,152,640,31,20.4%,60,39.5%,59,38.8%,2,1.3%,61,40.1%
1,6,2010,General Ed,639,693,32,5%,178,27.9%,184,28.8%,245,38.3%,429,67.1%
1,6,2010,Special Ed,162,652,42,25.9%,87,53.7%,27,16.7%,6,3.7%,33,20.4%
1,6,2011,General Ed,658,693,28,4.3%,169,25.7%,207,31.5%,254,38.6%,461,70.1%
1,6,2011,Special Ed,170,652,52,30.6%,76,44.7%,33,19.4%,9,5.3%,42,24.7%
1,7,2006,General Ed,781,655,83,10.6%,280,35.9%,291,37.3%,127,16.3%,418,53.5%
1,7,2006,Special Ed,186,619,70,37.6%,79,42.5%,35,18.8%,2,1.1%,37,19.9%
1,7,2007,General Ed,760,664,35,4.6%,251,33%,321,42.2%,153,20.1%,474,62.4%
1,7,2007,Special Ed,130,629,28,21.5%,75,57.7%,27,20.8%,0,0%,27,20.8%
1,7,2008,General Ed,652,681,8,1.2%,88,13.5%,354,54.3%,202,31%,556,85.3%
1,7,2008,Special Ed,166,644,21,12.7%,69,41.6%,66,39.8%,10,6%,76,45.8%
1,7,2009,General Ed,644,689,8,1.2%,52,8.1%,341,53%,243,37.7%,584,90.7%
1,7,2009,Special Ed,185,651,12,6.5%,79,42.7%,81,43.8%,13,7%,94,50.8%
1,7,2010,General Ed,702,689,32,4.6%,179,25.5%,199,28.3%,292,41.6%,491,69.9%
1,7,2010,Special Ed,178,648,58,32.6%,80,44.9%,36,20.2%,4,2.2%,40,22.5%
1,7,2011,General Ed,618,693,22,3.6%,133,21.5%,181,29.3%,282,45.6%,463,74.9%
1,7,2011,Special Ed,156,651,41,26.3%,72,46.2%,31,19.9%,12,7.7%,43,27.6%
1,8,2006,General Ed,717,651,90,12.6%,286,39.9%,268,37.4%,73,10.2%,341,47.6%
1,8,2006,Special Ed,165,611,89,53.9%,63,38.2%,11,6.7%,2,1.2%,13,7.9%
1,8,2007,General Ed,774,658,101,13%,239,30.9%,312,40.3%,122,15.8%,434,56.1%
1,8,2007,Special Ed,136,618,65,47.8%,49,36%,22,16.2%,0,0%,22,16.2%
1,8,2008,General Ed,720,671,33,4.6%,181,25.1%,353,49%,153,21.3%,506,70.3%
1,8,2008,Special Ed,148,636,27,18.2%,84,56.8%,34,23%,3,2%,37,25%
1,8,2009,General Ed,662,678,12,1.8%,107,16.2%,388,58.6%,155,23.4%,543,82%
1,8,2009,Special Ed,165,640,31,18.8%,64,38.8%,68,41.2%,2,1.2%,70,42.4%
1,8,2010,General Ed,691,681,57,8.2%,246,35.6%,216,31.3%,172,24.9%,388,56.2%
1,8,2010,Special Ed,216,644,89,41.2%,98,45.4%,21,9.7%,8,3.7%,29,13.4%
1,8,2011,General Ed,704,687,37,5.3%,217,30.8%,239,33.9%,211,30%,450,63.9%
1,8,2011,Special Ed,189,643,56,29.6%,106,56.1%,26,13.8%,1,0.5%,27,14.3%
1,All Grades,2006,General Ed,4271,666,340,8%,1124,26.3%,1960,45.9%,847,19.8%,2807,65.7%
1,All Grades,2006,Special Ed,1121,630,372,33.2%,423,37.7%,290,25.9%,36,3.2%,326,29.1%
1,All Grades,2007,General Ed,4173,673,222,5.3%,879,21.1%,2113,50.6%,959,23%,3072,73.6%
1,All Grades,2007,Special Ed,909,635,263,28.9%,331,36.4%,288,31.7%,27,3%,315,34.7%
1,All Grades,2008,General Ed,3998,683,93,2.3%,540,13.5%,2198,55%,1167,29.2%,3365,84.2%
1,All Grades,2008,Special Ed,1024,645,169,16.5%,396,38.7%,409,39.9%,50,4.9%,459,44.8%
1,All Grades,2009,General Ed,4074,690,46,1.1%,363,8.9%,2235,54.9%,1430,35.1%,3665,90%
1,All Grades,2009,Special Ed,955,650,126,13.2%,317,33.2%,462,48.4%,50,5.2%,512,53.6%
