BRONX – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Address,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Total Units,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Year Built,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Estimated Gross Income,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Estimated Expense,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Expense per SqFt,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Net Operating Income,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 – Boro-Block-Lot,COMPARABLE RENTAL – 1 – Address,COMPARABLE RENTAL – 1 – Neighborhood,COMPARABLE RENTAL – 1 – Building Classification,COMPARABLE RENTAL – 1 – Total Units,COMPARABLE RENTAL – 1 – Year Built,COMPARABLE RENTAL – 1 – Gross SqFt,COMPARABLE RENTAL – 1 – Estimated Gross Income,COMPARABLE RENTAL – 1 – Gross Income per SqFt,COMPARABLE RENTAL – 1 – Estimated Expense,COMPARABLE RENTAL – 1 – Expense per SqFt,COMPARABLE RENTAL – 1 – Net Operating Income,COMPARABLE RENTAL – 1 – Full Market Value,COMPARABLE RENTAL – 1 – Market Value per SqFt,COMPARABLE RENTAL – 1 – Distance from Coop in miles,COMPARABLE RENTAL – 2 – Boro-Block-Lot,COMPARABLE RENTAL – 2 – Address,COMPARABLE RENTAL – 2 – Neighborhood,COMPARABLE RENTAL – 2 – Building Classification,COMPARABLE RENTAL – 2 – Total Units,COMPARABLE RENTAL – 2 – Year Built,COMPARABLE RENTAL – 2 – Gross SqFt,COMPARABLE RENTAL – 2 – Estimated Gross Income,COMPARABLE RENTAL – 2 – Gross Income per SqFt,COMPARABLE RENTAL – 2 – Estimated Expense,COMPARABLE RENTAL – 2 – Expense per SqFt,COMPARABLE RENTAL – 2 – Net Operating Income,COMPARABLE RENTAL – 2 – Full Market Value,COMPARABLE RENTAL – 2 – Market Value per SqFt,COMPARABLE RENTAL – 2 – Distance from Coop in miles,COMPARABLE RENTAL – 3 – Boro-Block-Lot,COMPARABLE RENTAL – 3 – Address,COMPARABLE RENTAL – 3 – Neighborhood,COMPARABLE RENTAL – 3 – Building Classification,COMPARABLE RENTAL – 3 – Total Units,COMPARABLE RENTAL – 3 – Year Built,COMPARABLE RENTAL – 3 – Gross SqFt,COMPARABLE RENTAL – 3 – Estimated Gross Income,COMPARABLE RENTAL – 3 – Gross Income per SqFt,COMPARABLE RENTAL – 3 – Estimated Expense,COMPARABLE RENTAL – 3 – Expense per SqFt,COMPARABLE RENTAL – 3 – Net Operating Income,COMPARABLE RENTAL – 3 – Full Market Value,COMPARABLE RENTAL – 3 – Market Value per SqFt,COMPARABLE RENTAL – 3 – Distance from Coop in miles
2-02290-0001,"401 145 STREET
Bronx, NY
(40.82557699997852, -73.91844899972153)",MOTT HAVEN/PORT MORRIS,C6-WALK-UP,13,1910,10789,145975,13.53,85233,7.9,60742,352000,32.63,2-02285-0064,"461 140 STREET
Bronx, NY
(40.809904619543346, -73.92067535818528)",MOTT HAVEN/PORT MORRIS,C1-WALK-UP,20,1905,13235,179005,13.53,104499,7.9,74506,493000,37.25,0.25,2-02285-0066,"455 140 STREET
Bronx, NY
(40.80995534134836, -73.92079761074096)",MOTT HAVEN/PORT MORRIS,C1-WALK-UP,20,1902,13235,179005,13.53,103815,7.84,75190,498000,37.63,0.25,2-02283-0028,440 EAST 139 STREET,MOTT HAVEN/PORT MORRIS,C1-WALK-UP,16,1915,"15,398","131,103",8.51,"85,214",5.53,"45,889","274,000",17.79,0.35
2-02293-0041,"426 149 STREET
Bronx, NY
(40.815586003474664, -73.91658913224703)",MOTT HAVEN/PORT MORRIS,C6-WALK-UP,11,1905,10845,106064,9.78,65829,6.07,40235,238000,21.95,2-02401-0012,"374 155 STREET
Bronx, NY
(40.82040334905784, -73.91689735367801)",MELROSE/CONCOURSE,C1-WALK-UP,21,1914,17000,151382,8.9,98405,5.79,52977,316000,18.59,0.35,2-02285-0064,"461 140 STREET
Bronx, NY
(40.809904619543346, -73.92067535818528)",MOTT HAVEN/PORT MORRIS,C1-WALK-UP,20,1905,13235,179005,13.53,104499,7.9,74506,493000,37.25,0.4,2-02381-0051,462 EAST 160 STREET,MORRISANIA/LONGWOOD,C1-WALK-UP,31,1910,"17,520","171,413",9.78,"106,268",6.07,"65,145","386,000",22.03,0.56
2-02301-0004,"330 139 STREET
Bronx, NY
(40.81069298762525, -73.92462634274597)",MOTT HAVEN/PORT MORRIS,C6-WALK-UP,11,1931,9415,117217,12.45,64493,6.85,52724,308000,32.71,2-02301-0044,"351 138 STREET
Bronx, NY
(40.80978184172412, -73.92442320013855)",MOTT HAVEN/PORT MORRIS,C7-WALK-UP,12,1931,9280,129123,13.91,70368,7.58,58755,387000,41.7,0,2-02301-0040,"361 138 STREET
Bronx, NY
(40.80964341820642, -73.92409489511728)",MOTT HAVEN/PORT MORRIS,C7-WALK-UP,11,1931,8855,142255,16.06,72587,8.2,69668,475000,53.64,0,2-02282-0007,234 WILLIS AVENUE,MOTT HAVEN/PORT MORRIS,C7-WALK-UP,9,1931,"7,698","67,241",8.73,"38,083",4.95,"29,158","538,000",69.89,0.17
2-02360-0070,"530 159 STREET
Bronx, NY
(40.82138198884924, -73.91077726081927)",MORRISANIA/LONGWOOD,C6-WALK-UP,46,1928,46210,363843,7.87,225582,4.88,138261,816000,17.66,2-02365-0026,"873 BROOK AVENUE
Bronx, NY
(40.82268281488068, -73.91055276401283)",MORRISANIA/LONGWOOD,C1-WALK-UP,20,1920,15750,147790,9.38,102469,6.51,45321,269000,17.08,0.17,2-02381-0051,"462 160 STREET
Bronx, NY
(40.82299288143057, -73.9123998386039)",MORRISANIA/LONGWOOD,C1-WALK-UP,31,1910,17520,171413,9.78,106268,6.07,65145,386000,22.03,0.17,2-02376-0032,415 EAST 154 STREET,MORRISANIA/LONGWOOD,C1-WALK-UP,27,1912,"17,785","159,879",8.99,"103,921",5.84,"55,958","334,000",18.78,0.23
2-02373-0043,"3531 3 AVENUE
Bronx, NY
(40.82557699997852, -73.91844899972153)",MORRISANIA/LONGWOOD,C6-WALK-UP,15,1920,12651,130558,10.32,87418,6.91,43140,269000,21.26,2-02609-0035,"1203 FULTON AVENUE
Bronx, NY
(40.83025640006807, -73.9048021527311)",MORRISANIA/LONGWOOD,C1-WALK-UP,29,1911,20825,238878,11.47,152888,7.34,85990,552000,26.51,0.14,2-02615-0052,"1233 BOSTON ROAD
Bronx, NY
(40.83001533750031, -73.90180025626495)",MORRISANIA/LONGWOOD,C1-WALK-UP,21,1912,15765,162641,10.32,108963,6.91,53678,334000,21.19,0.23,2-02615-0012,1254 FRANKLIN AVENUE,MORRISANIA/LONGWOOD,C1-WALK-UP,20,1911,"15,485","154,895",10.00,"96,032",6.20,"58,863","367,000",23.70,0.23
2-02375-0029,"425 153 STREET
Bronx, NY
(40.818768553987205, -73.91596089641712)",MORRISANIA/LONGWOOD,C6-WALK-UP,25,1912,17220,168412,9.78,104525,6.07,63887,378000,21.95,2-02376-0032,"415 154 STREET
Bronx, NY
(40.81941481172951, -73.91566000935333)",MORRISANIA/LONGWOOD,C1-WALK-UP,27,1912,17785,159879,8.99,103921,5.84,55958,334000,18.78,0.05,2-02381-0051,"462 160 STREET
Bronx, NY
(40.82299288143057, -73.9123998386039)",MORRISANIA/LONGWOOD,C1-WALK-UP,31,1910,17520,171413,9.78,106268,6.07,65145,386000,22.03,0.3,2-02620-0001,575 EAST 161 STREET,MORRISANIA/LONGWOOD,C7-WALK-UP,14,1914,"10,829","122,892",11.35,"80,317",7.42,"42,575","274,000",25.30,0.46
2-02410-0031,"318 151 STREET
Bronx, NY
(40.81830039334598, -73.9203135874597)",MELROSE/CONCOURSE,C6-WALK-UP,12,1918,6948,94006,13.53,54472,7.84,39534,219000,31.52,2-02285-0064,"461 140 STREET
Bronx, NY
(40.809904619543346, -73.92067535818528)",MOTT HAVEN/PORT MORRIS,C1-WALK-UP,20,1905,13235,179005,13.53,104499,7.9,74506,493000,37.25,0.55,2-02285-0067,"451 140 STREET
Bronx, NY
(40.80998915585151, -73.92087911236392)",MOTT HAVEN/PORT MORRIS,C1-WALK-UP,20,1902,13235,179005,13.53,103814,7.84,75191,498000,37.63,0.55,2-02285-0066,455 EAST 140 STREET,MOTT HAVEN/PORT MORRIS,C1-WALK-UP,20,1902,"13,235","179,005",13.53,"103,815",7.84,"75,190","498,000",37.63,0.55
2-02410-0032,"320 151 STREET
Bronx, NY
(40.81828155380546, -73.92024088615592)",MELROSE/CONCOURSE,C6-WALK-UP,12,1918,7560,102287,13.53,59270,7.84,43017,285000,37.7,2-02285-0064,"461 140 STREET
Bronx, NY
(40.809904619543346, -73.92067535818528)",MOTT HAVEN/PORT MORRIS,C1-WALK-UP,20,1905,13235,179005,13.53,104499,7.9,74506,493000,37.25,0.55,2-02285-0067,"451 140 STREET
Bronx, NY
(40.80998915585151, -73.92087911236392)",MOTT HAVEN/PORT MORRIS,C1-WALK-UP,20,1902,13235,179005,13.53,103814,7.84,75191,498000,37.63,0.55,2-02285-0066,455 EAST 140 STREET,MOTT HAVEN/PORT MORRIS,C1-WALK-UP,20,1902,"13,235","179,005",13.53,"103,815",7.84,"75,190","498,000",37.63,0.55
2-02421-0013,"270 162 STREET
Bronx, NY
(40.8264570018299, -73.91782103862984)",MELROSE/CONCOURSE,C6-WALK-UP,11,1931,10675,101840,9.54,66185,6.2,35655,212000,19.86,2-02421-0022,"300 162 STREET
Bronx, NY
(40.826141449049565, -73.91685368830328)",MELROSE/CONCOURSE,C1-WALK-UP,21,1931,16575,158155,9.54,102806,6.2,55349,328000,19.79,0,2-02421-0011,"904 MORRIS AVENUE
Bronx, NY
(40.82604213560156, -73.91815984901764)",MELROSE/CONCOURSE,C7-WALK-UP,27,1931,16782,235136,14.01,123918,7.38,111218,732000,43.62,0,2-02422-0010,272 EAST 163 STREET,MELROSE/CONCOURSE,C7-WALK-UP,21,1912,"13,235","194,820",14.72,"118,837",8.98,"75,983","524,000",39.59,0.06
2-02422-0030,"943 TELLER AVENUE
Bronx, NY
(40.82615911625451, -73.91557814166602)",MELROSE/CONCOURSE,C6-WALK-UP,37,1920,33055,327245,9.9,202958,6.14,124287,735000,22.24,2-02381-0051,"462 160 STREET
Bronx, NY
(40.82299288143057, -73.9123998386039)",MORRISANIA/LONGWOOD,C1-WALK-UP,31,1910,17520,171413,9.78,106268,6.07,65145,386000,22.03,0.36,2-02472-0001,"149 165 STREET
Bronx, NY
(40.83113529864006, -73.92100218538862)",MELROSE/CONCOURSE,C7-WALK-UP,21,1919,16410,164311,10.01,101874,6.21,62437,390000,23.77,0.42,, , , , , , , , , , , , , , 
2-02430-0035,"1187 CLAY AVENUE
Bronx, NY
(40.83184294217393, -73.91096005509546)",MELROSE/CONCOURSE,C6-WALK-UP,12,1913,11500,100395,8.73,65205,5.67,35190,210000,18.26,2-02430-0039,"1179 CLAY AVENUE
Bronx, NY
(40.83167968158792, -73.91105273328387)",MELROSE/CONCOURSE,C1-WALK-UP,12,1913,11500,100339,8.73,65216,5.67,35123,210000,18.26,0,2-02430-0041,"1175 CLAY AVENUE
Bronx, NY
(40.831598475595726, -73.91110145687918)",MELROSE/CONCOURSE,C1-WALK-UP,12,1913,11500,100339,8.73,65218,5.67,35121,210000,18.26,0,2-02426-0055,1186 CLAY AVENUE,MELROSE/CONCOURSE,C1-WALK-UP,13,1929,"10,980","100,339",9.14,"65,222",5.94,"35,117","209,000",19.03,0.05
2-02443-0170,"773 CONCOURSE VILLAGE
Bronx, NY
(40.82292362586588, -73.91996566836853)",MELROSE/CONCOURSE,D4-ELEVATOR,937,1964,876500,13173795,15.03,7774555,8.87,5399240,33750000,38.51,2-02440-0001,"2880 PARK AVENUE
Bronx, NY
(40.81883013179084, -73.92443350419356)",MELROSE/CONCOURSE,D3-ELEVATOR,160,1982,156504,2490337,15.91,1369687,8.75,1120650,7275000,46.48,0.24,2-02460-0001,"900 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D7-ELEVATOR,301,1923,276550,4156980,15.03,2452472,8.87,1704508,11729000,42.41,0.34,2-02271-0005,512 EAST 145 STREET,MOTT HAVEN/PORT MORRIS,D6-ELEVATOR,189,1972,"194,388","5,009,398",25.77,"3,613,545",18.59,"1,395,853","7,845,000",40.36,0.82
2-02443-9080,"780 CONCOURSE VILLAGE
Bronx, NY
(40.823141442756324, -73.91976752500315)",MELROSE/CONCOURSE,D4-ELEVATOR,936,1963,862500,12963375,15.03,7650375,8.87,5313000,36558000,42.39,2-02460-0001,"900 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D7-ELEVATOR,301,1923,276550,4156980,15.03,2452472,8.87,1704508,11729000,42.41,0.34,2-02440-0001,"2880 PARK AVENUE
Bronx, NY
(40.81883013179084, -73.92443350419356)",MELROSE/CONCOURSE,D3-ELEVATOR,160,1982,156504,2490337,15.91,1369687,8.75,1120650,7275000,46.48,0.24,2-02271-0005,512 EAST 145 STREET,MOTT HAVEN/PORT MORRIS,D6-ELEVATOR,189,1972,"194,388","5,009,398",25.77,"3,613,545",18.59,"1,395,853","7,845,000",40.36,0.82
2-02447-0001,"1010 SHERMAN AVENUE
Bronx, NY
(40.829403500934774, -73.91841727035265)",MELROSE/CONCOURSE,D4-ELEVATOR,67,1958,80009,792089,9.9,483254,6.04,308835,1628000,20.35,2-02455-0018,"984 SHERIDAN AVENUE
Bronx, NY
(40.829226416317205, -73.91947838639817)",MELROSE/CONCOURSE,D1-ELEVATOR,78,1928,86000,851046,9.9,519112,6.04,331934,1963000,22.83,0.09,2-02461-0074,"955 SHERIDAN AVENUE
Bronx, NY
(40.82835425584244, -73.92007484099342)",MELROSE/CONCOURSE,D1-ELEVATOR,94,1948,92180,1237241,13.42,750251,8.14,486990,2189000,23.75,0.14,2-02461-0016,180 EAST 163 STREET,MELROSE/CONCOURSE,D1-ELEVATOR,64,1941,"68,846","662,935",9.63,"430,875",6.26,"232,060","1,376,000",19.99,0.19
2-02452-0029,"1113 GRANT AVENUE
Bronx, NY
(40.83143682651718, -73.91626611771085)",MELROSE/CONCOURSE,C6-WALK-UP,70,1926,57080,486892,8.53,316223,5.54,170669,1021000,17.89,2-02456-0042,"200 166 STREET
Bronx, NY
(40.831388066877246, -73.91830933908803)",MELROSE/CONCOURSE,C1-WALK-UP,24,1916,20220,169477,8.38,110155,5.45,59322,349000,17.26,0.1,2-02439-0022,"275 168 STREET
Bronx, NY
(40.83363492298151, -73.91358574377372)",MELROSE/CONCOURSE,C7-WALK-UP,23,1914,18936,168902,8.92,111279,5.88,57623,344000,18.17,0.27,2-02466-0044,125 EAST 168 STREET,MELROSE/CONCOURSE,C1-WALK-UP,45,1924,"45,500","388,015",8.53,"252,225",5.54,"135,790","812,000",17.85,0.34
2-02456-0030,"201 165 STREET
Bronx, NY
(40.83036073864291, -73.91891085194115)",MELROSE/CONCOURSE,C6-WALK-UP,31,1918,19955,271003,13.58,157195,7.88,113808,753000,37.73,2-02407-0029,"381 160 STREET
Bronx, NY
(40.82384784959379, -73.91493668670836)",MELROSE/CONCOURSE,C1-WALK-UP,26,1914,17320,295166,17.04,165011,9.53,130155,941000,54.33,0.49,2-02428-0006,"1058 TELLER AVENUE
Bronx, NY
(40.828915265318955, -73.91351786148348)",MELROSE/CONCOURSE,C1-WALK-UP,26,1923,18981,233675,12.31,128527,6.77,105148,666000,35.09,0.3,, , , , , , , , , , , , , , 
2-02458-0090,"800 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D4-ELEVATOR,260,1954,252105,2586597,10.26,1525235,6.05,1061362,6609000,26.22,2-02458-0026,"750 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D1-ELEVATOR,101,1937,123000,1261627,10.26,744358,6.05,517269,3221000,26.19,0.15,2-02473-0033,"751 WALTON AVENUE
Bronx, NY
(40.82412182430039, -73.92601483715708)",MELROSE/CONCOURSE,D7-ELEVATOR,107,1927,141508,1390039,9.82,903539,6.39,486500,2880000,20.35,0.17,2-02473-0043,735 WALTON AVENUE,MELROSE/CONCOURSE,D7-ELEVATOR,111,1928,"106,512","1,351,850",12.69,"734,305",6.89,"617,545","3,806,000",35.73,0.17
2-02459-0030,"860 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D4-ELEVATOR,120,1941,115140,1066196,9.26,724231,6.29,341965,2034000,17.67,2-02459-0034,"888 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D7-ELEVATOR,91,1931,122800,1323825,10.78,807573,6.58,516252,3198000,26.04,0,2-02461-0022,"917 SHERIDAN AVENUE
Bronx, NY
(40.82756767605818, -73.92053200985781)",MELROSE/CONCOURSE,D7-ELEVATOR,99,1941,101020,840877,8.32,565278,5.6,275599,1621000,16.05,0.13,2-02461-0001,910 GRAND CONCOURSE,MELROSE/CONCOURSE,D7-ELEVATOR,95,1937,"129,555","1,199,099",9.26,"815,410",6.29,"383,689","2,282,000",17.61,0.13
2-02461-0045,"940 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D4-ELEVATOR,108,1929,145728,1419391,9.74,922458,6.33,496933,2943000,20.2,2-02461-0090,"1000 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D8-ELEVATOR,103,1935,131600,1281457,9.74,832975,6.33,448482,2656000,20.18,0.08,2-02461-0001,"910 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D7-ELEVATOR,95,1937,129555,1199099,9.26,815410,6.29,383689,2282000,17.61,0.07,2-02455-0053,201 EAST 164 STREET,MELROSE/CONCOURSE,D7-ELEVATOR,133,1927,"135,202","1,392,730",10.30,"821,766",6.08,"570,964","3,554,000",26.29,0.11
2-02461-0083,"185 163 STREET
Bronx, NY
(40.82827728271543, -73.92069827055893)",MELROSE/CONCOURSE,D4-ELEVATOR,42,1927,45483,441640,9.71,286998,6.31,154642,879000,19.33,2-02456-0051,"210 166 STREET
Bronx, NY
(40.83121643121501, -73.91780950646766)",MELROSE/CONCOURSE,D1-ELEVATOR,36,1923,38964,425793,10.93,259718,6.67,166075,1027000,26.36,0.18,2-02438-0080,"1115 COLLEGE AVENUE
Bronx, NY
(40.830836135402386, -73.91455219404384)",MELROSE/CONCOURSE,D1-ELEVATOR,44,1929,42732,399962,9.36,246277,5.76,153685,913000,21.37,0.37,2-02429-0034,1109 CLAY AVENUE,MELROSE/CONCOURSE,D1-ELEVATOR,60,1931,"48,200","468,013",9.71,"304,195",6.31,"163,818","971,000",20.15,0.45
2-02461-0094,"1020 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D4-ELEVATOR,466,1963,428360,4891871,11.42,2788624,6.51,2103247,13509000,31.54,2-02408-0001,"361 161 STREET
Bronx, NY
(40.82467098834153, -73.91532114396318)",MELROSE/CONCOURSE,D7-ELEVATOR,260,2009,343676,7904548,23,3251175,9.46,4653373,34193000,99.49,0.46,2-02461-0007,"930 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D7-ELEVATOR,115,1948,135870,1854672,13.65,964376,7.1,890296,5885000,43.31,0.15,, , , , , , , , , , , , , , 
2-02462-0033,"1100 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D4-ELEVATOR,74,1928,107841,783361,7.26,545274,5.06,238087,1413000,13.1,2-02456-0163,"1188 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D7-ELEVATOR,107,1938,117080,1192440,10.18,703535,6.01,488905,3046000,26.02,0.1,2-02456-0181,"185 MC CLELLAN STREET
Bronx, NY
(40.832793163376785, -73.91805639643735)",MELROSE/CONCOURSE,D7-ELEVATOR,117,1936,123000,1264238,10.28,748623,6.09,515615,3210000,26.1,0.1,2-02456-0008,1064 CARROLL PLACE,MELROSE/CONCOURSE,D6-ELEVATOR,64,1929,"77,812","788,236",10.13,"464,538",5.97,"323,698","2,019,000",25.95,0.09
2-02464-0023,"1235 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D4-ELEVATOR,131,1929,181700,1259181,6.93,893964,4.92,365217,2173000,11.96,2-02456-0140,"1150 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D7-ELEVATOR,118,1937,130500,1054617,8.08,691117,5.3,363500,2143000,16.42,0.13,2-02456-0181,"185 MC CLELLAN STREET
Bronx, NY
(40.832793163376785, -73.91805639643735)",MELROSE/CONCOURSE,D7-ELEVATOR,117,1936,123000,1264238,10.28,748623,6.09,515615,3210000,26.1,0.13,2-02456-0163,1188 GRAND CONCOURSE,MELROSE/CONCOURSE,D7-ELEVATOR,107,1938,"117,080","1,192,440",10.18,"703,535",6.01,"488,905","3,046,000",26.02,0.13
2-02471-0036,"1015 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D4-ELEVATOR,62,1941,75000,846000,11.28,448500,5.98,397500,1518000,20.24,2-02471-0024,"1035 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D7-ELEVATOR,52,1939,46623,525679,11.28,278617,5.98,247062,1474000,31.62,0,2-02477-0034,"1005 WALTON AVENUE
Bronx, NY
(40.830183959391334, -73.92237477105746)",MELROSE/CONCOURSE,D1-ELEVATOR,72,1926,70961,750180,10.57,502609,7.08,247571,1537000,21.66,0.05,2-02471-0011,1020 WALTON AVENUE,MELROSE/CONCOURSE,D1-ELEVATOR,61,1928,"48,369","619,752",12.81,"371,829",7.69,"247,923","1,656,000",34.24,0.00
2-02471-0050,"1001 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D4-ELEVATOR,81,1941,92417,640450,6.93,454692,4.92,185758,1105000,11.96,2-02461-0074,"955 SHERIDAN AVENUE
Bronx, NY
(40.82835425584244, -73.92007484099342)",MELROSE/CONCOURSE,D1-ELEVATOR,94,1948,92180,1237241,13.42,750251,8.14,486990,2189000,23.75,0.12,2-02471-0024,"1035 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D7-ELEVATOR,52,1939,46623,525679,11.28,278617,5.98,247062,1474000,31.62,0,2-02477-0034,1005 WALTON AVENUE,MELROSE/CONCOURSE,D1-ELEVATOR,72,1926,"70,961","750,180",10.57,"502,609",7.08,"247,571","1,537,000",21.66,0.05
2-02472-0011,"1075 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D4-ELEVATOR,109,1928,118218,905286,7.66,624642,5.28,280644,1660000,14.04,2-02461-0090,"1000 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D8-ELEVATOR,103,1935,131600,1281457,9.74,832975,6.33,448482,2656000,20.18,0.13,2-02477-0001,"1006 GERARD AVENUE
Bronx, NY
(40.83052427400091, -73.92313828027493)",MELROSE/CONCOURSE,D1-ELEVATOR,76,1927,83793,605366,7.22,395158,4.72,210208,1248000,14.89,0.1,2-02478-0030,80 MC CLELLAN STREET,MELROSE/CONCOURSE,D1-ELEVATOR,103,1966,"124,805","1,155,564",9.26,"719,197",5.76,"436,367","2,541,000",20.36,0.07
2-02473-0067,"660 WALTON AVENUE
Bronx, NY
(40.8219073858037, -73.92711756842417)",MELROSE/CONCOURSE,D4-ELEVATOR,83,1936,119500,682403,5.71,465504,3.9,216899,1290000,10.79,2-02473-0055,"695 WALTON AVENUE
Bronx, NY
(40.82301598420857, -73.92662878182342)",MELROSE/CONCOURSE,D1-ELEVATOR,94,1937,108600,923401,8.5,637123,5.87,286278,1628000,14.99,0,2-02473-0001,"690 GERARD AVENUE
Bronx, NY
(40.82340117900912, -73.92731383132617)",MELROSE/CONCOURSE,D6-ELEVATOR,79,1936,98438,930436,9.45,632665,6.43,297771,1768000,17.96,0,2-02473-0033,751 WALTON AVENUE,MELROSE/CONCOURSE,D7-ELEVATOR,107,1927,"141,508","1,390,039",9.82,"903,539",6.39,"486,500","2,880,000",20.35,0.00
2-02474-0001,"811 WALTON AVENUE
Bronx, NY
(40.825435094622065, -73.92526536182996)",MELROSE/CONCOURSE,D4-ELEVATOR,150,1927,150640,1231046,8.17,824818,5.48,406228,2392000,15.88,2-02473-0033,"751 WALTON AVENUE
Bronx, NY
(40.82412182430039, -73.92601483715708)",MELROSE/CONCOURSE,D7-ELEVATOR,107,1927,141508,1390039,9.82,903539,6.39,486500,2880000,20.35,0.13,2-02483-0023,"815 GERARD AVENUE
Bronx, NY
(40.82587164199388, -73.92594147564633)",MELROSE/CONCOURSE,D7-ELEVATOR,84,1928,96480,823965,8.54,481155,4.99,342810,2046000,21.21,0.05,2-02483-0015,825 GERARD AVENUE,MELROSE/CONCOURSE,D1-ELEVATOR,84,1929,"96,923","916,928",9.46,"623,553",6.43,"293,375","1,742,000",17.97,0.05
2-02474-0010,"828 GERARD AVENUE
Bronx, NY
(40.82624354645569, -73.92564501225654)",MELROSE/CONCOURSE,D4-ELEVATOR,54,1924,42660,359624,8.43,223538,5.24,136086,814000,19.08,2-02474-0049,"853 WALTON AVENUE
Bronx, NY
(40.826439249036476, -73.92459394272153)",MELROSE/CONCOURSE,D1-ELEVATOR,24,1927,21931,287936,13.13,167011,7.62,120925,804000,36.66,0.07,2-02474-0028,"835 WALTON AVENUE
Bronx, NY
(40.826111975798405, -73.92479378213237)",MELROSE/CONCOURSE,D1-ELEVATOR,60,1926,84000,683293,8.13,457833,5.45,225460,1328000,15.81,0.07,2-02482-0060,691 GERARD AVENUE,MELROSE/CONCOURSE,D1-ELEVATOR,60,1929,"68,800","579,702",8.43,"360,359",5.24,"219,343","1,312,000",19.07,0.12
2-02474-0015,"825 WALTON AVENUE
Bronx, NY
(40.825799600355154, -73.9250291940732)",MELROSE/CONCOURSE,D4-ELEVATOR,54,1924,44304,373483,8.43,232153,5.24,141330,846000,19.1,2-02474-0049,"853 WALTON AVENUE
Bronx, NY
(40.826439249036476, -73.92459394272153)",MELROSE/CONCOURSE,D1-ELEVATOR,24,1927,21931,287936,13.13,167011,7.62,120925,804000,36.66,0.07,2-02474-0028,"835 WALTON AVENUE
Bronx, NY
(40.826111975798405, -73.92479378213237)",MELROSE/CONCOURSE,D1-ELEVATOR,60,1926,84000,683293,8.13,457833,5.45,225460,1328000,15.81,0.07,2-02482-0060,691 GERARD AVENUE,MELROSE/CONCOURSE,D1-ELEVATOR,60,1929,"68,800","579,702",8.43,"360,359",5.24,"219,343","1,312,000",19.07,0.12
