District,Grade,Year,Category,Number Tested,Mean Scale Score,Level 1 #,Level 1 %,Level 2 #,Level 2 %,Level 3 #,Level 3 %,Level 4 #,Level 4 %,Level 3+4 #,Level 3+4 %
1,3,2006,Asian,114,690,2,1.8%,14,12.3%,81,71.1%,17,14.9%,98,86%
1,3,2006,Black,175,649,25,14.3%,59,33.7%,90,51.4%,1,0.6%,91,52%
1,3,2006,Hispanic,420,654,57,13.6%,134,31.9%,222,52.9%,7,1.7%,229,54.5%
1,3,2006,White,92,699,2,2.2%,6,6.5%,67,72.8%,17,18.5%,84,91.3%
1,4,2006,Asian,134,673,7,5.2%,24,17.9%,90,67.2%,13,9.7%,103,76.9%
1,4,2006,Black,160,645,23,14.4%,68,42.5%,65,40.6%,4,2.5%,69,43.1%
1,4,2006,Hispanic,432,645,70,16.2%,172,39.8%,181,41.9%,9,2.1%,190,44%
1,4,2006,White,82,684,2,2.4%,6,7.3%,63,76.8%,11,13.4%,74,90.2%
1,5,2006,Asian,112,675,2,1.8%,21,18.8%,70,62.5%,19,17%,89,79.5%
1,5,2006,Black,149,643,17,11.4%,67,45%,61,40.9%,4,2.7%,65,43.6%
1,5,2006,Hispanic,422,644,45,10.7%,184,43.6%,178,42.2%,15,3.6%,193,45.7%
1,5,2006,White,61,682,3,4.9%,11,18%,31,50.8%,16,26.2%,47,77%
1,6,2006,Asian,128,680,2,1.6%,18,14.1%,74,57.8%,34,26.6%,108,84.4%
1,6,2006,Black,190,640,12,6.3%,108,56.8%,66,34.7%,4,2.1%,70,36.8%
1,6,2006,Hispanic,442,643,43,9.7%,206,46.6%,173,39.1%,20,4.5%,193,43.7%
1,6,2006,White,89,687,1,1.1%,10,11.2%,48,53.9%,30,33.7%,78,87.6%
1,7,2006,Asian,126,666,5,4%,30,23.8%,77,61.1%,14,11.1%,91,72.2%
1,7,2006,Black,180,634,18,10%,104,57.8%,55,30.6%,3,1.7%,58,32.2%
1,7,2006,Hispanic,493,636,57,11.6%,265,53.8%,158,32%,13,2.6%,171,34.7%
1,7,2006,White,111,686,3,2.7%,22,19.8%,48,43.2%,38,34.2%,86,77.5%
1,8,2006,Asian,106,663,6,5.7%,31,29.2%,61,57.5%,8,7.5%,69,65.1%
1,8,2006,Black,162,630,25,15.4%,101,62.3%,35,21.6%,1,0.6%,36,22.2%
1,8,2006,Hispanic,493,634,58,11.8%,297,60.2%,129,26.2%,9,1.8%,138,28%
1,8,2006,White,62,681,0,0%,15,24.2%,38,61.3%,9,14.5%,47,75.8%
1,All Grades,2006,Asian,720,674,24,3.3%,138,19.2%,453,62.9%,105,14.6%,558,77.5%
1,All Grades,2006,Black,1016,640,120,11.8%,507,49.9%,372,36.6%,17,1.7%,389,38.3%
1,All Grades,2006,Hispanic,2702,642,330,12.2%,1258,46.6%,1041,38.5%,73,2.7%,1114,41.2%
1,All Grades,2006,White,497,687,11,2.2%,70,14.1%,295,59.4%,121,24.3%,416,83.7%
2,3,2006,Asian,638,689,10,1.6%,62,9.7%,489,76.6%,77,12.1%,566,88.7%
2,3,2006,Black,247,661,27,10.9%,69,27.9%,138,55.9%,13,5.3%,151,61.1%
2,3,2006,Hispanic,393,664,36,9.2%,95,24.2%,248,63.1%,14,3.6%,262,66.7%
2,3,2006,White,790,698,10,1.3%,48,6.1%,585,74.1%,147,18.6%,732,92.7%
2,4,2006,Asian,691,680,16,2.3%,100,14.5%,488,70.6%,87,12.6%,575,83.2%
2,4,2006,Black,299,656,34,11.4%,78,26.1%,178,59.5%,9,3%,187,62.5%
2,4,2006,Hispanic,416,656,44,10.6%,112,26.9%,249,59.9%,11,2.6%,260,62.5%
2,4,2006,White,730,689,8,1.1%,50,6.8%,554,75.9%,118,16.2%,672,92.1%
2,5,2006,Asian,667,682,15,2.2%,78,11.7%,410,61.5%,164,24.6%,574,86.1%
2,5,2006,Black,316,659,17,5.4%,100,31.6%,167,52.8%,32,10.1%,199,63%
2,5,2006,Hispanic,481,656,32,6.7%,147,30.6%,270,56.1%,32,6.7%,302,62.8%
2,5,2006,White,704,698,5,0.7%,54,7.7%,364,51.7%,281,39.9%,645,91.6%
2,6,2006,Asian,653,673,11,1.7%,118,18.1%,398,60.9%,126,19.3%,524,80.2%
2,6,2006,Black,332,649,24,7.2%,124,37.3%,167,50.3%,17,5.1%,184,55.4%
2,6,2006,Hispanic,458,649,29,6.3%,193,42.1%,209,45.6%,27,5.9%,236,51.5%
2,6,2006,White,640,681,7,1.1%,88,13.8%,385,60.2%,160,25%,545,85.2%
2,7,2006,Asian,605,669,6,1%,152,25.1%,375,62%,72,11.9%,447,73.9%
2,7,2006,Black,390,651,28,7.2%,143,36.7%,195,50%,24,6.2%,219,56.2%
2,7,2006,Hispanic,489,647,46,9.4%,191,39.1%,224,45.8%,28,5.7%,252,51.5%
2,7,2006,White,600,682,10,1.7%,70,11.7%,385,64.2%,135,22.5%,520,86.7%
2,8,2006,Asian,611,673,6,1%,153,25%,397,65%,55,9%,452,74%
2,8,2006,Black,427,645,35,8.2%,213,49.9%,170,39.8%,9,2.1%,179,41.9%
2,8,2006,Hispanic,538,643,57,10.6%,266,49.4%,200,37.2%,15,2.8%,215,40%
2,8,2006,White,683,686,10,1.5%,111,16.3%,425,62.2%,137,20.1%,562,82.3%
2,All Grades,2006,Asian,3865,678,64,1.7%,663,17.2%,2557,66.2%,581,15%,3138,81.2%
2,All Grades,2006,Black,2011,653,165,8.2%,727,36.2%,1015,50.5%,104,5.2%,1119,55.6%
2,All Grades,2006,Hispanic,2775,652,244,8.8%,1004,36.2%,1400,50.5%,127,4.6%,1527,55%
2,All Grades,2006,White,4147,690,50,1.2%,421,10.2%,2698,65.1%,978,23.6%,3676,88.6%
3,3,2006,Asian,61,690,0,0%,8,13.1%,46,75.4%,7,11.5%,53,86.9%
3,3,2006,Black,534,647,93,17.4%,187,35%,240,44.9%,14,2.6%,254,47.6%
3,3,2006,Hispanic,374,652,51,13.6%,131,35%,185,49.5%,7,1.9%,192,51.3%
3,3,2006,White,321,691,8,2.5%,28,8.7%,247,76.9%,38,11.8%,285,88.8%
3,4,2006,Asian,78,693,0,0%,7,9%,52,66.7%,19,24.4%,71,91%
3,4,2006,Black,516,646,76,14.7%,197,38.2%,229,44.4%,14,2.7%,243,47.1%
3,4,2006,Hispanic,440,648,52,11.8%,166,37.7%,215,48.9%,7,1.6%,222,50.5%
3,4,2006,White,298,695,6,2%,19,6.4%,208,69.8%,65,21.8%,273,91.6%
3,5,2006,Asian,65,697,1,1.5%,9,13.8%,32,49.2%,23,35.4%,55,84.6%
3,5,2006,Black,558,642,64,11.5%,243,43.5%,233,41.8%,18,3.2%,251,45%
3,5,2006,Hispanic,470,645,48,10.2%,219,46.6%,184,39.1%,19,4%,203,43.2%
3,5,2006,White,307,699,7,2.3%,20,6.5%,149,48.5%,131,42.7%,280,91.2%
3,6,2006,Asian,78,694,1,1.3%,6,7.7%,41,52.6%,30,38.5%,71,91%
