Business Name,Tel,website,Address
Rocio's Bakery ,718-384-0773,,"501 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
New Apolo Restaurant,718-387-1773,,"502 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Flash Haircuts Unisex,718-782-4246,,"503 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Open Grill 24/7 Deli,718-599-0937,,"505 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Williams & Bailey,718-782-3500,http://www.willliamsandbaileyny.com,"507 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Redd's Tavern ,718-218-9429,,"511 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Singa's Famous Pizza,718-782-2100,http://www.singaspizzas.com,"512 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
"Curry Heaven, Inc.",718-388-3021,,"513 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Lee's Furniture,718-388-2743,,"517 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Grand Animal Clinic,718-388-4746,,"518 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Sun Win Hardware Electrical and Pluming,718-302-8861,,"521 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Sun Nail & Hair,718-599-9251,,"522 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Mega Furniture Warehouse,718-218-8050,,"524 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
United Pharmacy,718-384-7901,,"527 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Le Barricou,718-782-7372,http://lebarricou.com,"533 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Franczoz Baking Corp,718-387-4741,,"528 40 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Great Wall Products (iron works supply),718-782-0288,,"541 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Tai Shan Laundromat,718-599-3888,,"543 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Iglesia Mision Pentecostal,,,"544 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Kingdom Toys & Gift,718-599-0014,,"547 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Payomatic Financial Servcies,718-387-3377,,"553 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Live Astro,347-574-8600,,"552 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Fresthentic,347-394-2909,http://www.fresthetic.com,"552 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Truval Cleaners,718-486-7639,,"555 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Seven Star Beauty Salon,718-218-8484,,"556 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Ontario,718-302-9675,,"559 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Rebelution Designs (custom printing),917-971-3433,http://www.rebelutiondesigns.com,"560 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Grand Street Food Deli,718-599-5940,,"561 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Desi's Clam Bar,347-599-0267,,"562 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
America Medical Clinic ,"718-302-1170, 718-302-1109",,"563 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Kin Shoe Repair,718-782-0074,,"566 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Taj Cabob and Curry,718-782-1722,,"568 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Manna,718-384-2122,,"572 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Key Food,718-388-2776,,"575 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Sing Hing Chinese Restaurant,718-388-0446,,"576 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Paradise Laundromat,718-388-2888,,"578 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Bahn Mi,718-599-5015,,"580 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Fabric Barn Inc.,718-384-3448,,"582 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Elba Dominican Beauty Salon,718-388-5897,,"584 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
