OrganizationName,Brooklyn,Bronx,Manhattan,Queens,Staten Island,Fax,Phone,URL,noURL,Description,outsideLoc,outsideLocDesc,Aging,Anti-Discrimination & Human Rights,Arts & Culture,Business,Child Care & Parent Information,Community Service & Volunteerism,Counseling & Support Groups,Disabilities,Domestic Violence,Education,Employment & Job Training,Health,Homelessness,Housing,Immigration,Legal Services,"Lesbian, Gay, Bisexual, and/or Transgender",Personal Finance & Financial Education,Professional Association,Veterans & Military Families,Victim Services,Women's Groups,Youth Services,Faith-based organization,Foundation,Is registered with the Attorney General's office,New York City Agency,None of the above,Nonprofit,Comments,Other government organization,Published,Location 1,Location 2
YWCA of the City of New York,Y,N,Y,N,Y,2122236438,2127554500,http://www.ywcanyc.org,N,"Established in 1858, the YWCA of the City of New York is one of the nationï¿½s oldest non-profit organizations. Our mission is to address the critical needs of New York City women and to empower them for success and leadership in their lives, jobs and communities. We focus on underserved families through job training, educational child care and after school programs; partnerships with business, government and other not-for-profits; and advocacy on behalf of the clients we serve.",N,,N,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Charles B. Wang Community Health Center,N,N,Y,N,N,,2129660228,http://www.cbwchc.org/hcs/wh/wh.html,N,"The Women's Health Department is a unique community based health care program serving uninsured women in New York City. The majority of our clients are low income women who are recent immigrants. The Health Center provides a wide array of primary and specialty services, including gynecological care, family planning, pregnancy testing, prenatal and postnatal care, genetic and nutritional counseling, breast-feeding education, screening and education for HIV and STD infections, and screening and education for breast, cervical, ovarian and prostate cancers. The Women's Health Department also sponsors many outreach and health education programs to promote and increase the community's awareness of women's health issues.",N,,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Shorefront YM-YWHA,Y,N,N,N,N,7186460376,7186461444,http://shorefronty.org,N,Community center and settlement house serving south Brooklyn with programming and services for people of all ages.  Specialty is serving Russian speaking immigrants and their families.,N,,Y,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,N,N,N,N,N,Y,,N,N,N,N,N,N,Y,,N,Published,,
Federally Employed Women (FEW),Y,Y,Y,Y,Y,,6312584081,http://www.few.org,N,"FEW is an advocacy organization for women working for the federal government, working to eliminate barriers to advancement through education, networking, and representation before the Administration and Congress.",Y,"Washington, DC",N,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,,N,N,N,N,N,N,Y,,N,Published,"382 Holtsville
11742
(40.81054142444725, -73.04074226154609)",
Sauti Yetu Center for African,Y,Y,Y,Y,Y,7186652483,7186652486,http://www.sautiyetu.org,N,"Sauti Yetu Center for African Women, whose name means ""Our Voice"" in Swahili, is a community-based nonprofit organization that seeks to inspire African immigrant women and girls to individual and collective self-empowerment.  It was founded in 2004 to address a broad spectrum of needs and concerns of women and girls from New York City's African immigrant and refugee community including female genital cutting, domestic and family violence prevention and enhancing women's and girls' leadership.",N,,N,Y,N,N,N,N,Y,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,Y,,N,N,N,N,N,N,Y,,N,Published,"3112 New York
10163
(40.75296200039605, -73.97494000038068)",
National Latina Institute for Reproductive Health,Y,Y,Y,Y,Y,2124222556,2124222553,http://www.latinainstitute.org,N,"The mission of NLIRH is to ensure the fundamental human right to reproductive health and justice for Latinas, their families and their communities through public education, community mobilization and policy advocacy.",Y,"1634 Eye Street, NW Suite 1001 , Washington DC ",N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,"1825 New York
10004
(40.688827825343935, -74.01911250583743)",
American Menopause Foundation,Y,Y,Y,Y,Y,2127141252,2127142398,http://www.americanmenopause.org,N,A national not-for-profit health organization dedicated to providing information and education to all women.,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,"508 New York
10017
(40.75245652744684, -73.97297648087982)",
Grace Institute,N,N,Y,N,N,2124862869,2128327605,http://graceinstitute.org/,N,"For over 100 years, Grace Institute has provided tuition-free, practical job training in a supportive learning community for underserved New York area women of all ages and from many different backgrounds. In the tradition of its founding family, Grace is dedicated to the development of the personal and business skills necessary for self-sufficiency, employability and an improved quality of life.",N,,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Committed to Communities,Y,N,Y,Y,N,3472408321,7177334161,http://www.mobilechristianministries.com,N,"Committed to Communities Mobile Ministries is a non profit Certified Emergency Care and Safety Institute providing individuals with the knowledge and experience to engage in lifesaving measures. Instructors teach skills to promote healthy, safe and productive lifestyles for our neighbors. The outreach offered through the mobile ministries raises awareness to prevent injustice and stop atrocities associated with poverty and racial or religious intoloerance, while sharing a message of love and hope. The Ordained Members of The Clergy and Members of The Laity volunteer to serve as vital componets of the communities where they live and work by promoting the public good through programs to prevent cruelty to women, children and the elderly.",Y,"CA, FL, NJ, NC AND Washington DC",Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,N,Y,Y,,N,N,N,N,N,N,Y,,N,Published,,
The Family Center,Y,Y,Y,Y,Y,2127661696,2127664522,http://www.thefamilycenter.org,N,"The Family Center works to create a more secure present and future for children whose parents have a life-threatening illness by providing comprehensive legal and social services, education and research. Our work is fueled by the belief that every child deserves an answer to the question: Who Will Take Care of Me?",N,,Y,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
