Borough,Community Board,School Type,School Name / ID,Address
Bronx,1,Public,P.S. 157 GROVE HILL,757 Caudwell Avenue
Bronx,2,Public,P.S. 60 (New School #2),888 Rev James A. Polite Avenue
Bronx,3,Public,HARRIET TUBMAN CHARTER SCHOOL,3565 3rd Avenue
Bronx,3,Public,P.S. 132 GARRETT A. MORGAN SCHOOL,1245 Washington Avenue
Bronx,3,Public,P.S. 140 EAGLE SCHOOL,916 Eagle Avenue
Bronx,4,Public,FAMILY LIFE ACADEMY CHARTER SCHOOL,14 West 170th Street
Bronx,4,Public,GRAND CONCOURSE ADADEMY CHARTER SCHOOL,116 East 169th Street
Bronx,4,Public,JHS 166 ROBERTO CLEMENTE SCHOOL,250 East 164 Street
Bronx,4,Public,P.S. 64 PURA BELPRE SCHOOL,1425 Walton Avenue
Bronx,4,Public,P.S.  88 S. SILVERSTEIN LITTLE SPARROW SCHOOL,1340 Sheridan Avenue
Bronx,4,Public,P.S. 170,1598 Townsend Avenue
Bronx,4,Public,P.S./I.S. 218 R. HERNANDEZ DUAL LANGUAGE MAGNET,1220 Gerard Avenue
Bronx,5,Public,GREAT EXPECTATIONS SCHOOL,2400 Marion Avenue
Bronx,5,Public,P.S. 163 ARTHUR ALONSO SCHOMBERG,2075 Webster Avenue
Bronx,5,Public,P.S. 28 MOUNT HOPE SCHOOL,1861 Anthony Avenue
Bronx,5,Public,P.S. 315 LAB SCHOOL,2246 Jerome Avenue
Bronx,6,Public,J.H.S. 45 THOMAS C. GIORDANO SCHOOL,2502 Lorillard Place
Bronx,6,Public,P.S. 159 LUIS MUMOZ MARIN BILING SCHOOL,2315 Washington Avenue
Bronx,6,Public,P.S. 23 THE NEW CHILDREN'S SCHOOL,2151 Washington Avenue
Bronx,6,Private,SAINT MARTIN OF TOURS SCHOOL,695 East 182 Street
Bronx,7,Private,OUR LADY OF REFUGE SCHOOL,2708 Briggs Avenue
Bronx,7,Public,P.S. 246 POE CENTER,2641 Grand Concourse
Bronx,7,Public,P.S. 340,25 West 195 Street
Bronx,7,Private,SAINT NICHOLAS OF TOLENTINE ELEMENTARY SCHOOL,2336 Andrews Avenue
Bronx,8,Public,SCIENCE SCHOOL FOR EXPLORATION & DISCOVERY,124 Eames Place
Brooklyn,1,Private,BETH CHANA SCHOOL & ANNEX,712 Bedford Avenue
Brooklyn,1,Public,P.S. 380 JOHN WAYNE ELEMENTARY SCHOOL,370 Marcy Avenue
Brooklyn,2,Private,BROOKLYN FRIENDS SCHOOL,375 Pearl Street
Brooklyn,2,Public,P.S. 38 THE PACIFIC SCHOOL,450 Pacific Street
Brooklyn,2,Public,P.S. 753,510 Clermont Avenue
Brooklyn,3,Public,J.H.S. 258 DAVID RUGGLES JUNIOR HIGH SCHOOL,141 Macon Street
Brooklyn,3,Public,P.S. 44 MARCUS GARVEY,432 Monroe Street
Brooklyn,3,Public,P.S. 308 CLARA CARDWELL SCHOOL,616 Quincy Street
Brooklyn,4,Public,P.S. 274 KOSCIUSKO SCHOOL,800 Bushwick Avenue
Brooklyn,5,Public,P.S. 13 ROBERTO CLEMENTE SCHOOL,557 Pennsylvania Avenue
