PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1
Reading & Writing,Adolescent Literacy,M.S. 860 Frederick Douglass Academy II ,New York,Creative Arts Team/CUNY,212.652.2800,grades 6 to 8,"215 114 Street
New York, NEW YORK 10026
(40.802154978703435, -73.9539796369881)"
Reading & Writing,Adolescent Literacy,M.S. 635- Academy for Enviornmental Sciences ,New York,Supportive Childrens Advocacy Network (SCAN),212.683.2522,grades 6 to 8,"410 100 Street
New York, NEW YORK 10029
(40.785470644533916, -73.94206586038047)"
Reading & Writing,Adolescent Literacy,MS 324 - Patria Mirabal School,New York,The Children's Aid Society,212.740.8655,grades 6 to 8,"21 Jumel Place
New York, NEW YORK 10032
(40.83932420490237, -73.93612610353428)"
Reading & Writing,Adolescent Literacy,JHS 22- Jordan L Mott School,Bronx,Supportive Childrens Advocacy Network (SCAN),212.683.2522,grades 6 to 8,"270 167th Street
Bronx, NEW YORK 10456
(40.83322765425807, -73.91408537225458)"
Reading & Writing,Adolescent Literacy,M.S. 368- IN-Tech Academy,Bronx,Creative Arts Team/CUNY,212.652.2800,grades 6 to 8,"Tibbett Avenue
Bronx, NEW YORK 10463
(40.87834957539748, -73.9112816097151)"
Reading & Writing,Adolescent Literacy,I.S.168 - Parsons School ,Queens,The Child Center of NY,718.458.4243 ext. 205,grades 6 to 8,"158 40 76th Road
Queens, NEW YORK 11366
(40.72816440726166, -73.79226817393703)"
Reading & Writing,Adolescent Literacy,Q 705- The Renaissance Charter School ,Queens,Creative Arts Team/CUNY,212.652.2800,grades 6 to 8,"35 59 81st Street
Queens, NEW YORK 11372
(40.75163073936716, -73.88361254528269)"
Reading & Writing,Adolescent Literacy,K 533- School for Democracy and Leadership 600 Kingston Avenue,Brooklyn,CAMBA,718.282.5575,grades 6 to 8,
Reading & Writing,Adolescent Literacy,I.S. 126- Astoria Intermediate School,Queens,Jacob Riis Neighborhood Settlement,718.204.6797,grades 6 to 8,"31 51 21st Street
Queens, NEW YORK 11101
(40.74570244980828, -73.93866902925225)"
Reading & Writing,Adolescent Literacy,MS 35- Decatur Clearpool School,Brooklyn,Stanton Heiskell Center,212.817.2106,grades 6 to 8,"272 McDonough Street
Brooklyn, NEW YORK 11233
(40.68189209294426, -73.93584163199317)"
