Type of Abuse of Authority Allegation,Substantiated Number,Sunstantiated rate,Exonerated number,Exonerated rate,Unsubstantiated number,Unsubstantiated rate,Unfounded number,Unfounded rate,Officer Unidentified number,Officer Unidentified rate,Miscellaneous,Miscellaneous rate
Question and/or stop**,6,10.7%,24,42.9%,6,10.7%,1,1.8%,17,30.4%,2,3.6%
Question ,5,2.9%,113,64.6%,36,20.6%,3,1.7%,14,8%,4,2.3%
Stop,45,6.2%,368,51%,236,32.7%,7,1%,49,6.8%,17,2.4%
Frisk and/or search*,0,0%,1,50%,0,0%,0,0%,0,0%,1,50%
Search,27,5.4%,112,22.4%,257,51.5%,23,4.6%,72,14.4%,8,1.6%
Frisk,35,9.9%,142,40.2%,113,32%,9,2.5%,48,13.6%,6,1.7%
Vehicle search,26,10.8%,93,38.8%,81,33.8%,7,2.9%,26,10.8%,7,2.9%
Vehicle stop,12,5.6%,121,56.5%,62,29%,0,0%,15,7%,4,1.9%
Premises entered or searched,26,5.5%,309,65.2%,90,19%,15,3.2%,24,5.1%,10,2.1%
Strip search,16,7.1%,63,28.1%,104,46.4%,21,9.4%,16,7.1%,4,1.8%
Gun drawn,1,1.4%,36,49.3%,24,32.9%,6,8.2%,4,5.5%,2,2.7%
Property seized,2,4.4%,17,37.8%,15,33.3%,4,8.9%,4,8.9%,3,6.7%
Property damaged,2,1.6%,30,23.4%,52,40.6%,16,12.5%,25,19.5%,3,2.3%
Threat to notify ACS,2,4.9%,15,36.6%,18,43.9%,3,7.3%,1,2.4%,2,4.9%
Threat of force,7,2.1%,34,10.4%,164,50.2%,68,20.8%,47,14.4%,7,2.1%
Threat to damage/seize property,0,0%,6,22.2%,15,55.6%,2,7.4%,4,14.8%,0,0%
Threat of arrest,5,1%,220,45.5%,156,32.3%,42,8.7%,51,10.6%,9,1.9%
Threat of summons,1,3.1%,12,37.5%,12,37.5%,5,15.6%,2,6.3%,0,0%
Retaliatory arrest,6,27.3%,6,27.3%,10,45.5%,0,0%,0,0%,0,0%
Retaliatory summons,9,25.7%,6,17.1%,16,45.7%,4,11.4%,0,0%,0,0%
Refusal to process complaint,5,8.8%,3,5.3%,35,61.4%,2,3.5%,11,19.3%,1,1.8%
Refusal to give name/shield number,19,3.9%,12,2.5%,287,58.8%,108,22.1%,53,10.9%,9,1.8%
Refusal to obtain medical treatment,5,4.3%,2,1.7%,54,46.2%,40,34.2%,13,11.1%,3,2.6%
Refusal to show search warrant***,1,3.6%,0,0%,21,75%,3,10.7%,3,10.7%,0,0%
Improper dissemination of medical info,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
Other,8,16.7%,11,22.9%,19,39.6%,5,10.4%,3,6.3%,2,4.2%
Total,271,5.5%,1756,35.8%,1883,38.4%,394,8%,502,10.2%,104,2.1%
"* Beginning in 2005, the CCRB captured ""frisk"" and ""search"" as distinct allegations.",,,,,,,,,,,,
"** Beginning in 2007, the CCRB captured ""question"" and ""stop"" as distinct allegations.",,,,,,,,,,,,
"*** The CCRB began to capture the allegation ""refusal to show search warrant"" on April 1, 2004.",,,,,,,,,,,,
