  Name of Borough,Name of Center,Center Address,Zip,Telephone Number
Bronx,Bronx-Lebanon Hospital Center,"1276 Fulton Avenue, Suite 401-402",10456,(718) 466-6072
Bronx,Comprehensive Family Care Center,1265 Franklin Avenue,10456,(718) 579-2500 
Bronx,Dr. Martin Luther King Jr. Health Center,(Montefiore) 1621 Eastchester Road,10461,(718) 503-7714 
Bronx,Montefiore Family Health Center,360 East 193rd Street,10458, (718) 933-2400
Bronx,Montefiore Medical Group Comprehensive HCC,305 East 161st Street,10451,(718) 579-2597 
Bronx,Morris Heights Health Center,Morris Heights Health Center,10453,(718) 716-4400 
Bronx,Soundview Health Center,731 White Plains Road,10473,(718) 589-2232 
Bronx,Urban Health Plan,1065 Southern Boulevard,10459, (718) 991-4833
Brooklyn,Bedford/Stuyvesant Family Health Center,1413 Fulton Street,11216,(718) 636-4500
Brooklyn,Brooklyn Plaza Medical Center,650 Fulton Street,11217,(718) 596-9896
Brooklyn,Brownsville Multi-Service Family Health Center,592 Rockaway Avenue,11212,(718) 345-5000 
Brooklyn,Community Health Care Network - CABS Health Center,94-98 Manhattan Ave.,11206,(718) 388-0390
Brooklyn,Community Health Care Network ,Caribbean House Health Center,11225,(718) 778-0198 
Brooklyn,Community Health Care Network ,Dr. Betty Shabazz Health Center,11208,(718) 277-8303 
Brooklyn,Ezra Medical Center,571 McDonald Avenue,11213,(718) 686-7600 
Brooklyn,ODA Primary Care Health Center,14-16 Heyward Street,11211,(718) 260-4600 
Brooklyn,Sunset Park Family Health Center,150 55th Street,11220,(718) 630-7095 
Brooklyn,Sunset Park Family Health Center,9711 Third Avenue,11209,(718) 759-9126 
Brooklyn,Sunset Park Family Health Center Brooklyn-Chinese Family Health Center,812 54th Street,11220,(718) 686-2680 
Brooklyn,Sunset Park Family Health Center Caribbean-American Family Health Center,3414 Church Avenue,12203,(718) 940-9425 
Brooklyn,Sunset Park Family Health Center Family Physician Family Health Center,5616 6th Avenue,11220,(718) 439-5440 
Brooklyn,Sunset Park Family Health Center Park Ridge Family Health Center,6317 4th Avenue,11220,(718) 907-8100 
Brooklyn,Sunset Park Family Health Center,220 13th Street,11215,(718) 832-5980 
Brooklyn,Sunset Park Family Health Center,9000 Shore Road,11209,(718) 630-8878 
Brooklyn,Sunset Park Family Health Center,514 49th Street,11220,(718) 854-1851 
Manhattan,Betances Health Center,280 Henry Street,10002,(212) 227-8408 
Manhattan,Boriken Neighborhood Health Center,2253 Third Avenue,10035,(212) 289-6650 
Manhattan,Callen-Lorde Community Health Center,356 West 18th Street,10011,(212) 271-7200 
Manhattan,Charles B. Wang Community Health Center,268 Canal Street,10013,(212) 379-6988 
Manhattan,Community Health Care Network,79 Madison Avenue,10016,(212) 366-4500 
Manhattan,Heritage Health Care,1727 Amsterdam Avenue,10031,(212) 862-0054 
Manhattan,Institute for Urban Family Health,16 East 16th Street,10003,(212) 633-0800 
Manhattan,Ryan/Chelsea-Clinton Community Health Center,645 Tenth Avenue,10036,(212) 265-4500 
Manhattan,Settlement Health & Medical Services,212 East 106th Street,10029,(212) 360-2661
Manhattan,William F. Ryan Community Health Center,110 West 97th Street,10025,(212) 316-7906 
Queens,Charles B. Wang Community Health Center,136-26 37th Ave - 2nd Fl,11345,(718) 886-1200 
Queens,Community Health Care Network,97-04 Sutphin Blvd,11435,(718) 657-7088
Queens,The Floating Hospital,41-40 27th Street,11101,(718) 784-2240
Queens,Joseph P. Addabbo Family Health Center,6200 Beach Channel Drive,11692,(718) 634-2155 
Queens,Project Samaritan Health Services /,137-50 Jamaica Avenue,11435,(718) 298-5100 
Staten Island,Staten Island ,235 Port Richmond Avenue,10302,(718) 876-1732
