BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Address,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Total Units,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Year Built,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Estimated Gross Income,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Estimated Expense,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Expense per SqFt,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Net Operating Income,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 – Boro-Block-Lot,COMPARABLE RENTAL – 1 – Address,COMPARABLE RENTAL – 1 – Neighborhood,COMPARABLE RENTAL – 1 – Building Classification,COMPARABLE RENTAL – 1 – Total Units,COMPARABLE RENTAL – 1 – Year Built,COMPARABLE RENTAL – 1 – Gross SqFt,COMPARABLE RENTAL – 1 – Estimated Gross Income,COMPARABLE RENTAL – 1 – Gross Income per SqFt,COMPARABLE RENTAL – 1 – Estimated Expense,COMPARABLE RENTAL – 1 – Expense per SqFt,COMPARABLE RENTAL – 1 – Net Operating Income,COMPARABLE RENTAL – 1 – Full Market Value,COMPARABLE RENTAL – 1 – Market Value per SqFt,COMPARABLE RENTAL – 1 – Distance from Coop in miles,COMPARABLE RENTAL – 2 – Boro-Block-Lot,COMPARABLE RENTAL – 2 – Address,COMPARABLE RENTAL – 2 – Neighborhood,COMPARABLE RENTAL – 2 – Building Classification,COMPARABLE RENTAL – 2 – Total Units,COMPARABLE RENTAL – 2 – Year Built,COMPARABLE RENTAL – 2 – Gross SqFt,COMPARABLE RENTAL – 2 – Estimated Gross Income,COMPARABLE RENTAL – 2 – Gross Income per SqFt,COMPARABLE RENTAL – 2 – Estimated Expense,COMPARABLE RENTAL – 2 – Expense per SqFt,COMPARABLE RENTAL – 2 – Net Operating Income,COMPARABLE RENTAL – 2 – Full Market Value,COMPARABLE RENTAL – 2 – Market Value per SqFt,COMPARABLE RENTAL – 2 – Distance from Coop in miles,COMPARABLE RENTAL – 3 – Boro-Block-Lot,COMPARABLE RENTAL – 3 – Address,COMPARABLE RENTAL – 3 – Neighborhood,COMPARABLE RENTAL – 3 – Building Classification,COMPARABLE RENTAL – 3 – Total Units,COMPARABLE RENTAL – 3 – Year Built,COMPARABLE RENTAL – 3 – Gross SqFt,COMPARABLE RENTAL – 3 – Estimated Gross Income,COMPARABLE RENTAL – 3 – Gross Income per SqFt,COMPARABLE RENTAL – 3 – Estimated Expense,COMPARABLE RENTAL – 3 – Expense per SqFt,COMPARABLE RENTAL – 3 – Net Operating Income,COMPARABLE RENTAL – 3 – Full Market Value,COMPARABLE RENTAL – 3 – Market Value per SqFt,COMPARABLE RENTAL – 3 – Distance from Coop in miles
3-00216-0003,"55 HICKS STREET
Brooklyn, NY
(40.69999955232276, -73.99355388877717)",BROOKLYN HEIGHTS,C6-WALK-UP,30,1900,17245,543218,31.5,170208,9.87,373010,2783000,161.38,3-00210-0016,"42 HICKS STREET
Brooklyn, NY
(40.70066554255303, -73.99331620111502)",BROOKLYN HEIGHTS,C1-WALK-UP,12,1900,7935,249926,31.5,78300,9.87,171626,1281000,161.44,0.08,3-00230-0011,"104 HICKS STREET
Brooklyn, NY
(40.698523237732125, -73.99433285828702)",BROOKLYN HEIGHTS,C1-WALK-UP,14,1840,6750,220851,32.72,79356,11.76,141495,1052000,155.85,0.16,3-00235-0061,"158 HICKS STREET
Brooklyn, NY
(40.69684367293235, -73.99513888236173)",BROOKLYN HEIGHTS,C1-WALK-UP,12,1855,"6,345","196,697",31.00,"65,523",10.33,"131,174","980,000",154.45,0.25
3-00217-0001,"75 HENRY STREET
Brooklyn, NY
(40.69864349455783, -73.99240031433479)",BROOKLYN HEIGHTS,D4-ELEVATOR,370,1967,593599,9301696,15.67,5188055,8.74,4113641,28151000,47.42,3-00220-0016,"35 ORANGE STREET
Brooklyn, NY
(40.69926512445069, -73.99416551586926)",BROOKLYN HEIGHTS,D1-ELEVATOR,48,1924,47136,744258,15.79,392493,8.33,351765,2405000,51.02,0.13,3-00208-0310,"204 COLUMBIA HEIGHTS
Brooklyn, NY
(40.6969475039558, -73.99702618868176)",BROOKLYN HEIGHTS,D1-ELEVATOR,16,1925,14120,245070,17.36,126336,8.95,118734,857000,60.69,0.24,,, , , , , , , , , , , , , 
3-00226-0001,"45 PINEAPPLE STREET
Brooklyn, NY
(40.698530901381154, -73.99417640609872)",BROOKLYN HEIGHTS,D4-ELEVATOR,68,1939,52012,936216,18,437421,8.41,498795,3594000,69.1,3-00208-0310,"204 COLUMBIA HEIGHTS
Brooklyn, NY
(40.6969475039558, -73.99702618868176)",BROOKLYN HEIGHTS,D1-ELEVATOR,16,1925,14120,245070,17.36,126336,8.95,118734,857000,60.69,0.16,3-00241-0020,"2 PIERREPONT STREET
Brooklyn, NY
(40.69628435740964, -73.99708255540466)",BROOKLYN HEIGHTS,D1-ELEVATOR,41,1949,40178,748577,18.63,316121,7.87,432456,3109000,77.38,0.26,,, , , , , , , , , , , , , 
3-00226-0006,"87 HICKS STREET
Brooklyn, NY
(40.69891402104446, -73.99407377081789)",BROOKLYN HEIGHTS,C6-WALK-UP,20,1900,9435,136483,14.47,62458,6.62,74025,433000,45.89,3-00226-0003,"93 HICKS STREET
Brooklyn, NY
(40.698728886611505, -73.99415999781407)",BROOKLYN HEIGHTS,C1-WALK-UP,16,1900,7900,226208,28.63,93800,11.87,132408,995000,125.95,0,3-00236-0082,"167 HICKS STREET
Brooklyn, NY
(40.696629322313726, -73.99516407618576)",BROOKLYN HEIGHTS,C1-WALK-UP,11,1920,9665,305317,31.59,96457,9.98,208860,928000,96.02,0.14,,, , , , , , , , , , , , , 
3-00226-0010,"54 ORANGE STREET
Brooklyn, NY
(40.69906112728849, -73.99362720463242)",BROOKLYN HEIGHTS,D4-ELEVATOR,24,1963,34391,619038,18,289228,8.41,329810,2376000,69.09,3-00208-0310,"204 COLUMBIA HEIGHTS
Brooklyn, NY
(40.6969475039558, -73.99702618868176)",BROOKLYN HEIGHTS,D1-ELEVATOR,16,1925,14120,245070,17.36,126336,8.95,118734,857000,60.69,0.16,3-00241-0020,"2 PIERREPONT STREET
Brooklyn, NY
(40.69628435740964, -73.99708255540466)",BROOKLYN HEIGHTS,D1-ELEVATOR,41,1949,40178,748577,18.63,316121,7.87,432456,3109000,77.38,0.26,,, , , , , , , , , , , , , 
3-00226-0013,"66 ORANGE STREET
Brooklyn, NY
(40.69897096818847, -73.99330662612624)",BROOKLYN HEIGHTS,D4-ELEVATOR,21,1913,32135,578430,18,270255,8.41,308175,2221000,69.11,3-00208-0310,"204 COLUMBIA HEIGHTS
Brooklyn, NY
(40.6969475039558, -73.99702618868176)",BROOKLYN HEIGHTS,D1-ELEVATOR,16,1925,14120,245070,17.36,126336,8.95,118734,857000,60.69,0.16,3-00241-0020,"2 PIERREPONT STREET
Brooklyn, NY
(40.69628435740964, -73.99708255540466)",BROOKLYN HEIGHTS,D1-ELEVATOR,41,1949,40178,748577,18.63,316121,7.87,432456,3109000,77.38,0.26,,, , , , , , , , , , , , , 
3-00226-0018,"72 ORANGE STREET
Brooklyn, NY
(40.698925399919986, -73.99314644675825)",BROOKLYN HEIGHTS,D4-ELEVATOR,41,1938,32418,650953,20.08,260965,8.05,389988,2788000,86,3-00236-0007,"75 PIERREPONT STREET
Brooklyn, NY
(40.695649532469446, -73.99458830702218)",BROOKLYN HEIGHTS,D1-ELEVATOR,36,1925,25818,555648,21.52,245668,9.52,309980,2273000,88.04,0.2,3-00241-0020,"2 PIERREPONT STREET
Brooklyn, NY
(40.69628435740964, -73.99708255540466)",BROOKLYN HEIGHTS,D1-ELEVATOR,41,1949,40178,748577,18.63,316121,7.87,432456,3109000,77.38,0.26,,, , , , , , , , , , , , , 
3-00229-0001,"15 CLARK STREET
Brooklyn, NY
(40.698203135508585, -73.99564774766235)",BROOKLYN HEIGHTS,D4-ELEVATOR,31,1920,45600,1369368,30.03,827640,18.15,541728,4058000,88.99,3-00234-0039,"8 CLARK STREET
Brooklyn, NY
(40.698253312215094, -73.99602654013022)",BROOKLYN HEIGHTS,D1-ELEVATOR,42,1931,19392,734725,37.89,502427,25.91,232298,1199000,61.83,0.1,3-00235-0042,"36 CLARK STREET
Brooklyn, NY
(40.69791574707, -73.99482062564938)",BROOKLYN HEIGHTS,D1-ELEVATOR,33,1910,24570,663708,27.01,322003,13.11,341705,2467000,100.41,0.11,,, , , , , , , , , , , , , 
3-00229-0006,"129 COLUMBIA HEIGHTS
Brooklyn, NY
(40.69857538579133, -73.99616495121167)",BROOKLYN HEIGHTS,D4-ELEVATOR,37,1900,48450,872100,18,407465,8.41,464635,3348000,69.1,3-00208-0310,"204 COLUMBIA HEIGHTS
Brooklyn, NY
(40.6969475039558, -73.99702618868176)",BROOKLYN HEIGHTS,D1-ELEVATOR,16,1925,14120,245070,17.36,126336,8.95,118734,857000,60.69,0.04,3-00241-0020,"2 PIERREPONT STREET
Brooklyn, NY
(40.69628435740964, -73.99708255540466)",BROOKLYN HEIGHTS,D1-ELEVATOR,41,1949,40178,748577,18.63,316121,7.87,432456,3109000,77.38,0.2,,, , , , , , , , , , , , , 
3-00230-0017,"35 CLARK STREET
Brooklyn, NY
(40.69796731290799, -73.99479607327795)",BROOKLYN HEIGHTS,D4-ELEVATOR,34,1923,37800,839538,22.21,377792,9.99,461746,2321000,61.4,3-00254-0006,"141 JORALEMON STREET
Brooklyn, NY
(40.6929985611618, -73.99397694982594)",BROOKLYN HEIGHTS,D3-ELEVATOR,47,1923,46410,1030973,22.21,391551,8.44,639422,4677000,100.78,0.34,3-00235-0046,"136 HICKS STREET
Brooklyn, NY
(40.697494602253265, -73.99482891601845)",BROOKLYN HEIGHTS,D9-ELEVATOR,46,1920,48414,1129535,23.33,395281,8.16,734254,5357000,110.65,0.1,,, , , , , , , , , , , , , 
3-00231-0017,"41 CLARK STREET
Brooklyn, NY
(40.697904808835304, -73.99456897615033)",BROOKLYN HEIGHTS,D4-ELEVATOR,307,1911,25407,474095,18.66,210370,8.28,263725,1896000,74.63,3-00220-0016,"35 ORANGE STREET
Brooklyn, NY
(40.69926512445069, -73.99416551586926)",BROOKLYN HEIGHTS,D1-ELEVATOR,48,1924,47136,744258,15.79,392493,8.33,351765,2405000,51.02,0.12,3-00236-0007,"75 PIERREPONT STREET
Brooklyn, NY
(40.695649532469446, -73.99458830702218)",BROOKLYN HEIGHTS,D1-ELEVATOR,36,1925,25818,555648,21.52,245668,9.52,309980,2273000,88.04,0.15,,, , , , , , , , , , , , , 
3-00231-0019,"44 PINEAPPLE STREET
Brooklyn, NY
(40.69849423262695, -73.9942544696548)",BROOKLYN HEIGHTS,D4-ELEVATOR,275,1929,441063,6854119,15.54,4031316,9.14,2822803,15950000,36.16,3-00220-0016,"35 ORANGE STREET
Brooklyn, NY
(40.69926512445069, -73.99416551586926)",BROOKLYN HEIGHTS,D1-ELEVATOR,48,1924,47136,744258,15.79,392493,8.33,351765,2405000,51.02,0.12,3-00234-0043,"12 CLARK STREET
Brooklyn, NY
(40.69820259044586, -73.99584995322994)",BROOKLYN HEIGHTS,D1-ELEVATOR,12,1936,17184,239136,13.92,134809,7.85,104327,687000,39.98,0.15,3-00241-0011,"63 MONTAGUE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,D1-ELEVATOR,12,1923,"9,972","185,778",18.63,"78,480",7.87,"107,298","771,000",77.32,0.22
3-00231-0030,"60 PINEAPPLE STREET
Brooklyn, NY
(40.69837149848775, -73.99381362866504)",BROOKLYN HEIGHTS,D4-ELEVATOR,74,1899,114445,1778475,15.54,1046027,9.14,732448,5017000,43.84,3-00220-0016,"35 ORANGE STREET
Brooklyn, NY
(40.69926512445069, -73.99416551586926)",BROOKLYN HEIGHTS,D1-ELEVATOR,48,1924,47136,744258,15.79,392493,8.33,351765,2405000,51.02,0.12,3-00234-0043,"12 CLARK STREET
Brooklyn, NY
(40.69820259044586, -73.99584995322994)",BROOKLYN HEIGHTS,D1-ELEVATOR,12,1936,17184,239136,13.92,134809,7.85,104327,687000,39.98,0.15,3-00241-0011,"63 MONTAGUE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,D1-ELEVATOR,12,1923,"9,972","185,778",18.63,"78,480",7.87,"107,298","771,000",77.32,0.22
3-00232-0001,"79 CLARK STREET
Brooklyn, NY
(40.69746994376421, -73.9929718159236)",BROOKLYN HEIGHTS,D4-ELEVATOR,301,1971,450503,8307275,18.44,3987492,8.85,4319783,20250000,44.95,3-00236-0015,"55 PIERREPONT STREET
Brooklyn, NY
(40.695829631477615, -73.99523151776565)",BROOKLYN HEIGHTS,D7-ELEVATOR,191,1928,157042,2896321,18.44,2093637,13.33,802684,5773000,36.76,0.17,3-00221-0020,"80 CRANBERRY STREET
Brooklyn, NY
(40.69950947330707, -73.99261917815464)",BROOKLYN HEIGHTS,D6-ELEVATOR,137,1900,108780,2458853,22.6,985722,9.06,1473131,10766000,98.97,0.12,3-00250-0030,"182 MONTAGUE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,D6-ELEVATOR,187,1999,"182,000","7,877,134",43.28,"2,312,949",12.71,"5,564,185","41,924,000",230.35,0.27
3-00234-0008,"1 PIERREPONT STREET
Brooklyn, NY
(40.69633666172248, -73.99706089096321)",BROOKLYN HEIGHTS,D4-ELEVATOR,26,1924,75120,1508410,20.08,604716,8.05,903694,6461000,86.01,3-00241-0020,"2 PIERREPONT STREET
Brooklyn, NY
(40.69628435740964, -73.99708255540466)",BROOKLYN HEIGHTS,D1-ELEVATOR,41,1949,40178,748577,18.63,316121,7.87,432456,3109000,77.38,0.1,3-00236-0007,"75 PIERREPONT STREET
Brooklyn, NY
(40.695649532469446, -73.99458830702218)",BROOKLYN HEIGHTS,D1-ELEVATOR,36,1925,25818,555648,21.52,245668,9.52,309980,2273000,88.04,0.12,,, , , , , , , , , , , , , 
3-00234-0019,"177 COLUMBIA HEIGHTS
Brooklyn, NY
(40.6971186231755, -73.99686648415509)",BROOKLYN HEIGHTS,C6-WALK-UP,29,1925,16250,334263,20.57,162175,9.98,172088,1265000,77.85,3-00263-0045,"20 SIDNEY PLACE
Brooklyn, NY
(40.69240748219202, -73.99451263242155)",BROOKLYN HEIGHTS,C1-WALK-UP,26,1900,12024,436067,36.27,161687,13.45,274380,2023000,168.25,0.36,3-00254-0073,"124 REMSEN STREET
Brooklyn, NY
(40.69384504967015, -73.99373002116667)",BROOKLYN HEIGHTS,C1-WALK-UP,17,1900,14608,445398,30.49,111167,7.61,334231,4601000,314.96,0.28,3-00243-0029,"90 PIERREPONT STREET
Brooklyn, NY
(40.695378933137825, -73.99381858206065)",BROOKLYN HEIGHTS,C1-WALK-UP,20,1900,"11,580","365,810",31.59,"115,524",9.98,"250,286","1,867,000",161.23,0.23
