Organized Crime Control Bureau,2005,2006,2007,2008,2009,Total
Queens Narcotics,5%,1%,2%,11%,6%,25%
Manhattan North Narcotics,12%,3%,2%,4%,0%,21%
Manhattan South Narcotics,2%,1%,2%,0%,0%,5%
Bronx Narcotics,5%,4%,3%,10%,10%,32%
Staten Island Narcotics,0%,2%,2%,0%,2%,6%
Brooklyn South Narcotics,9%,2%,6%,3%,5%,25%
Brooklyn North Narcotics,8%,6%,9%,8%,2%,33%
Narcotics Headquarters,0%,0%,0%,0%,0%,0%
Auto Crime,0%,0%,1%,0%,0%,1%
Vice Enforcement,1%,2%,0%,1%,1%,5%
Drug Enforcement,0%,0%,0%,0%,0%,0%
Organized Crime Headquarters,1%,2%,0%,0%,1%,4%
Organized Crime Control Bureau Total,43%,23%,27%,37%,27%,157%
Percent of All Subject Officers Against Whom Allegations were Substantiated,14.6%,5.8%,4.9%,10%,7.8%,8%
