BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Address,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Total Units,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Year Built,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Est. Gross Income,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 –Boro-Block-Lot,COMPARABLE RENTAL – 1 –Address,COMPARABLE RENTAL – 1 –Neighborhood,COMPARABLE RENTAL – 1 –Building Classification,COMPARABLE RENTAL – 1 –Total Units,COMPARABLE RENTAL – 1 –Year Built,COMPARABLE RENTAL – 1 –Gross SqFt,COMPARABLE RENTAL – 1 –Est. Gross Income,COMPARABLE RENTAL – 1 –Gross Income per SqFt,COMPARABLE RENTAL – 1 –Full Market Value,COMPARABLE RENTAL – 1 –Market Value per SqFt,COMPARABLE RENTAL – 1 –Dist. from Coop in miles,COMPARABLE RENTAL – 2 –Boro-Block-Lot,COMPARABLE RENTAL – 2 –Address,COMPARABLE RENTAL – 2 –Neighborhood,COMPARABLE RENTAL – 2 –Building Classification,COMPARABLE RENTAL – 2 –Total Units,COMPARABLE RENTAL – 2 –Year Built,COMPARABLE RENTAL – 2 –Gross SqFt,COMPARABLE RENTAL – 2 –Est. Gross Income,COMPARABLE RENTAL – 2 –Gross Income per SqFt,COMPARABLE RENTAL – 2 –Full Market Value,COMPARABLE RENTAL – 2 –Market Value per SqFt,COMPARABLE RENTAL – 2 –Dist. from Coop in miles
3-05338-0075,"240 OCEAN PARKWAY
Brooklyn, NY
(40.643984501014714, -73.97453777493587)",KENSINGTON,D4-ELEVATOR,55,1938,52872,364288,6.89,1120000,21.18,3-05324-0001,"333 MC DONALD AVENUE
Brooklyn, NY
(40.64598984257792, -73.98000412227515)",KENSINGTON,D1-ELEVATOR,268,1960,245202,3263686,13.31,12300000,50,0.3,3-05325-0065,"199 2 STREET
Brooklyn, NY
(40.67632138505274, -73.98876445040001)",KENSINGTON,D1-ELEVATOR,48,1937,49800,316318,6.35,971000,19.5,0.25
3-05339-0001,"205 OCEAN PARKWAY
Brooklyn, NY
(40.644976817393065, -73.97409072369189)",KENSINGTON,D4-ELEVATOR,63,1963,55800,674064,12.08,2380000,42.7,3-05324-0001,"333 MC DONALD AVENUE
Brooklyn, NY
(40.64598984257792, -73.98000412227515)",KENSINGTON,D1-ELEVATOR,268,1960,245202,3263686,13.31,12300000,50,0.35,3-05325-0065,"199 2 STREET
Brooklyn, NY
(40.67632138505274, -73.98876445040001)",KENSINGTON,D1-ELEVATOR,48,1937,49800,316318,6.35,971000,19.5,0.3
3-05339-0061,"225 OCEAN PARKWAY
Brooklyn, NY
(40.64436880649482, -73.97398017625584)",KENSINGTON,D4-ELEVATOR,75,1963,61920,440251,7.11,1350000,21.8,3-05324-0001,"333 MC DONALD AVENUE
Brooklyn, NY
(40.64598984257792, -73.98000412227515)",KENSINGTON,D1-ELEVATOR,268,1960,245202,3263686,13.31,12300000,50,0.35,3-05325-0065,"199 2 STREET
Brooklyn, NY
(40.67632138505274, -73.98876445040001)",KENSINGTON,D1-ELEVATOR,48,1937,49800,316318,6.35,971000,19.5,0.3
3-05340-0015,"192 8 STREET
Brooklyn, NY
(40.67134301292147, -73.98908293730801)",KENSINGTON,D4-ELEVATOR,30,1940,34200,370728,10.84,1310000,38.3,3-05324-0001,"333 MC DONALD AVENUE
Brooklyn, NY
(40.64598984257792, -73.98000412227515)",KENSINGTON,D1-ELEVATOR,268,1960,245202,3263686,13.31,12300000,50,0.4,3-05325-0065,"199 2 STREET
Brooklyn, NY
(40.67632138505274, -73.98876445040001)",KENSINGTON,D1-ELEVATOR,48,1937,49800,316318,6.35,971000,19.5,0.35
3-05355-0001,"302 BEVERLY ROAD
Brooklyn, NY
(40.64293232033628, -73.97726054496248)",OCEAN PARKWAY-NORTH,D4-ELEVATOR,88,1961,80604,973696,12.08,3430000,42.6,3-05358-0071,"305 OCEAN PARKWAY
Brooklyn, NY
(40.64194783584434, -73.97352614705736)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,60,1941,62400,628055,10.06,2120000,34,0.2,3-05355-0012,"392 4 STREET
Brooklyn, NY
(40.67070827441155, -73.9807839972057)",OCEAN PARKWAY-NORTH,C1-WALK-UP,28,1928,22176,329120,14.84,1300000,59,0
3-05356-0042,"403 AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",OCEAN PARKWAY-NORTH,D4-ELEVATOR,72,1915,59600,646064,10.84,2280000,38.3,3-05362-0002,"4219 15 AVENUE
Brooklyn, NY
(40.636150237117384, -73.98371554144273)",BOROUGH PARK,C1-WALK-UP,12,1930,12800,130560,10.2,441000,34.5,0.6,3-05360-0082,"285 8 STREET
Brooklyn, NY
(40.669738544001085, -73.98563549829144)",OCEAN PARKWAY-NORTH,C1-WALK-UP,16,1930,11000,125359,11.4,442000,40.2,0.25
3-05357-0005,"260 OCEAN PARKWAY
Brooklyn, NY
(40.64327203238717, -73.97440491020109)",OCEAN PARKWAY-NORTH,D4-ELEVATOR,77,1930,86946,599057,6.89,1840000,21.16,3-05360-0082,"285 8 STREET
Brooklyn, NY
(40.669738544001085, -73.98563549829144)",OCEAN PARKWAY-NORTH,C1-WALK-UP,16,1930,11000,125359,11.4,442000,40.2,0.2,3-05362-0002,"4219 15 AVENUE
Brooklyn, NY
(40.636150237117384, -73.98371554144273)",BOROUGH PARK,C1-WALK-UP,12,1930,12800,130560,10.2,441000,34.5,0.65
3-05357-0017,"280 OCEAN PARKWAY
Brooklyn, NY
(40.64261334382366, -73.97428236004953)",OCEAN PARKWAY-NORTH,D4-ELEVATOR,114,1941,132200,910858,6.89,2800000,21.18,3-05360-0082,"285 8 STREET
Brooklyn, NY
(40.669738544001085, -73.98563549829144)",OCEAN PARKWAY-NORTH,C1-WALK-UP,16,1930,11000,125359,11.4,442000,40.2,0.2,3-05362-0002,"4219 15 AVENUE
Brooklyn, NY
(40.636150237117384, -73.98371554144273)",BOROUGH PARK,C1-WALK-UP,12,1930,12800,130560,10.2,441000,34.5,0.65
3-05357-0030,"300 OCEAN PARKWAY
Brooklyn, NY
(40.642039868038786, -73.97416812184537)",OCEAN PARKWAY-NORTH,D4-ELEVATOR,94,1941,106500,733785,6.89,2250000,21.13,3-05360-0082,"285 8 STREET
Brooklyn, NY
(40.669738544001085, -73.98563549829144)",OCEAN PARKWAY-NORTH,C1-WALK-UP,16,1930,11000,125359,11.4,442000,40.2,0.2,3-05362-0002,"4219 15 AVENUE
Brooklyn, NY
(40.636150237117384, -73.98371554144273)",BOROUGH PARK,C1-WALK-UP,12,1930,12800,130560,10.2,441000,34.5,0.65
3-05358-0063,"315 OCEAN PARKWAY
Brooklyn, NY
(40.641659545529095, -73.9734708733503)",OCEAN PARKWAY-NORTH,D4-ELEVATOR,90,1961,90000,620100,6.89,1900000,21.11,3-05355-0012,"392 4 STREET
Brooklyn, NY
(40.67070827441155, -73.9807839972057)",OCEAN PARKWAY-NORTH,C1-WALK-UP,28,1928,22176,329120,14.84,1300000,59,0.2,3-05360-0082,"285 8 STREET
Brooklyn, NY
(40.669738544001085, -73.98563549829144)",OCEAN PARKWAY-NORTH,C1-WALK-UP,16,1930,11000,125359,11.4,442000,40.2,0.1
3-05363-0061,"1529 42 STREET
Brooklyn, NY
(40.635913733826264, -73.98295751338144)",BOROUGH PARK,D4-ELEVATOR,29,1927,46000,498640,10.84,1760000,38.3,3-05360-0082,"285 8 STREET
Brooklyn, NY
(40.669738544001085, -73.98563549829144)",OCEAN PARKWAY-NORTH,C1-WALK-UP,16,1930,11000,125359,11.4,442000,40.2,0.75,3-05362-0002,"4219 15 AVENUE
Brooklyn, NY
(40.636150237117384, -73.98371554144273)",BOROUGH PARK,C1-WALK-UP,12,1930,12800,130560,10.2,441000,34.5,0.05
3-05374-0010,"340 OCEAN PARKWAY
Brooklyn, NY
(40.640810926762235, -73.9739235103725)",OCEAN PARKWAY-NORTH,D4-ELEVATOR,77,1962,73026,883615,12.1,3110000,42.6,3-08805-0036,"2790 COYLE STREET
Brooklyn, NY
(40.58544918254991, -73.93426996123446)",SHEEPSHEAD BAY,D1-ELEVATOR,76,1961,73000,887570,12.16,3130000,42.9,4.35,3-08805-0134,"2815 COYLE STREET
Brooklyn, NY
(40.58549289297475, -73.93420547446699)",SHEEPSHEAD BAY,D1-ELEVATOR,78,1961,67000,806455,12.04,2840000,42.4,4.35
3-05374-0017,"354 OCEAN PARKWAY
Brooklyn, NY
(40.64040783717023, -73.97384433205978)",OCEAN PARKWAY-NORTH,D4-ELEVATOR,41,1941,40200,343509,8.55,1130000,28.1,3-05390-0080,"441 OCEAN PARKWAY
Brooklyn, NY
(40.63787338125351, -73.97273385270135)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,42,1936,43200,334817,7.75,1030000,23.84,0.2,3-05409-0001,"202 AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,48,1930,47600,444784,9.34,1470000,30.9,0.5
3-05374-0021,"370 OCEAN PARKWAY
Brooklyn, NY
(40.63994716327124, -73.9737538425439)",OCEAN PARKWAY-NORTH,D4-ELEVATOR,133,1961,111861,1296469,11.59,4570000,40.9,3-07155-0004,"2250 4 STREET
Brooklyn, NY
(40.595289023248796, -73.96737509409358)",OCEAN PARKWAY-SOUTH,D1-ELEVATOR,116,1962,125160,1256775,10.04,4250000,34,3.1,3-07179-0058,"2375 3 STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",OCEAN PARKWAY-SOUTH,D1-ELEVATOR,135,1957,112320,1476059,13.14,5550000,49.4,3.3
3-05374-0030,"386 OCEAN PARKWAY
Brooklyn, NY
(40.639486053551614, -73.97367148779689)",OCEAN PARKWAY-NORTH,C6-WALK-UP,30,1922,31104,243855,7.84,749000,24.08,3-06497-0038,"788 10 STREET
Brooklyn, NY
(40.66408483345361, -73.97757139540676)",OCEAN PARKWAY-NORTH,C1-WALK-UP,38,1926,28800,238476,8.28,786000,27.3,0.7,3-06501-0018,"402 FOSTER AVENUE
Brooklyn, NY
(40.62902205410877, -73.97349563499142)",OCEAN PARKWAY-NORTH,C1-WALK-UP,40,1928,32000,236455,7.39,726000,22.69,0.75
3-05375-0049,"415 OCEAN PARKWAY
Brooklyn, NY
(40.63869069244368, -73.97291016524493)",OCEAN PARKWAY-NORTH,D4-ELEVATOR,59,1900,60000,633000,10.55,2140000,35.7,3-05389-0034,"470 OCEAN PARKWAY
Brooklyn, NY
(40.63697712964424, -73.97319540309607)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,72,1931,72600,612202,8.43,2020000,27.8,0.2,3-05389-0067,"623 5 STREET
Brooklyn, NY
(40.66761257580861, -73.97598131123515)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,48,1932,41963,490021,11.68,1730000,41.2,0.2
3-05375-0058,"399 OCEAN PARKWAY
Brooklyn, NY
(40.639151956948076, -73.97299686909915)",OCEAN PARKWAY-NORTH,D4-ELEVATOR,68,1963,54000,674460,12.49,2540000,47,3-06382-0006,"2225 BENSON AVENUE
Brooklyn, NY
(40.59976930426334, -73.99476703168558)",GRAVESEND,D1-ELEVATOR,69,1960,52542,641337,12.21,2260000,43,2.95,3-06383-0006,"2255 BENSON AVENUE
Brooklyn, NY
(40.599318372950364, -73.99400824789245)",GRAVESEND,D1-ELEVATOR,69,1960,54210,691887,12.76,2600000,48,2.95
3-05376-0058,"515 7 STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",OCEAN PARKWAY-NORTH,D4-ELEVATOR,123,1961,114780,1096149,9.55,3700000,32.2,3-05390-0066,"465 OCEAN PARKWAY
Brooklyn, NY
(40.637200345587395, -73.97258515877513)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,98,1951,88728,948891,10.69,3210000,36.2,0.2,3-05425-0001,"340 WEBSTER AVENUE
Brooklyn, NY
(40.63368390158169, -73.96895281888925)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,80,1956,87411,735049,8.41,2420000,27.7,0.45
3-05376-0068,"495 7 STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",OCEAN PARKWAY-NORTH,D4-ELEVATOR,85,1962,84000,1181880,14.07,4690000,56,3-06104-0004,"9303 SHORE ROAD
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BAY RIDGE,D1-ELEVATOR,70,1957,81200,1059393,13.05,3980000,49,3.8,3-07011-0011,"2828 29 STREET
Brooklyn, NY
(40.575561808540485, -73.99542786996214)",CONEY ISLAND,D1-ELEVATOR,122,1972,102000,1538672,15.09,4350000,42.6,4.55
3-05376-0076,"465 7 STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",OCEAN PARKWAY-NORTH,D4-ELEVATOR,125,1963,102550,979353,9.55,3310000,32.3,3-05390-0066,"465 OCEAN PARKWAY
Brooklyn, NY
(40.637200345587395, -73.97258515877513)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,98,1951,88728,948891,10.69,3210000,36.2,0.2,3-05425-0001,"340 WEBSTER AVENUE
Brooklyn, NY
(40.63368390158169, -73.96895281888925)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,80,1956,87411,735049,8.41,2420000,27.7,0.45
3-05377-0043,"811 CORTELYOU ROAD
Brooklyn, NY
(40.63883206689374, -73.97061879830233)",OCEAN PARKWAY-NORTH,D4-ELEVATOR,84,1941,96000,900960,9.39,2970000,30.9,3-05412-0014,"602 OCEAN PARKWAY
Brooklyn, NY
(40.63362850213272, -73.9725660501141)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,78,1930,78718,813592,10.34,2750000,34.9,0.5,3-05389-0034,"470 OCEAN PARKWAY
Brooklyn, NY
(40.63697712964424, -73.97319540309607)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,72,1931,72600,612202,8.43,2020000,27.8,0.25
3-05380-0001,"4217 16 AVENUE
Brooklyn, NY
(40.634831751581395, -73.98150816799397)",BOROUGH PARK,D4-ELEVATOR,48,1931,47820,527455,11.03,1860000,38.9,3-05389-0067,"623 5 STREET
Brooklyn, NY
(40.66761257580861, -73.97598131123515)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,48,1932,41963,490021,11.68,1730000,41.2,0.4,3-06126-0036,"368 97 STREET
Brooklyn, NY
(40.614957121420154, -74.03253999667379)",BAY RIDGE,D1-ELEVATOR,53,1937,42168,437890,10.38,1480000,35.1,3.05
3-05389-0010,"430 OCEAN PARKWAY
Brooklyn, NY
(40.63813029103388, -73.97342516833537)",OCEAN PARKWAY-NORTH,D4-ELEVATOR,84,1941,88277,887625,10.05,3000000,34,3-05389-0034,"470 OCEAN PARKWAY
Brooklyn, NY
(40.63697712964424, -73.97319540309607)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,72,1931,72600,612202,8.43,2020000,27.8,0,3-05389-0067,"623 5 STREET
Brooklyn, NY
(40.66761257580861, -73.97598131123515)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,48,1932,41963,490021,11.68,1730000,41.2,0
3-05389-0041,"488 OCEAN PARKWAY
Brooklyn, NY
(40.63645820690524, -73.97309200871575)",OCEAN PARKWAY-NORTH,D4-ELEVATOR,49,1958,43116,444310,10.3,1500000,34.8,3-07128-0005,"380 AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",OCEAN PARKWAY-SOUTH,D1-ELEVATOR,60,1962,54100,492922,9.11,1620000,29.9,2.85,3-07198-0006,"410 AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",OCEAN PARKWAY-SOUTH,D1-ELEVATOR,45,1957,43974,505899,11.5,1780000,40.5,3.3
3-05389-0046,"490 OCEAN PARKWAY
Brooklyn, NY
(40.63640054884219, -73.97308052045507)",OCEAN PARKWAY-NORTH,C6-WALK-UP,32,1931,37400,281996,7.54,866000,23.16,3-06498-0055,"1001 AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",OCEAN PARKWAY-NORTH,C1-WALK-UP,38,1927,32200,246787,7.66,758000,23.54,0.55,3-05390-0053,"493 OCEAN PARKWAY
Brooklyn, NY
(40.63640993871012, -73.97244762607802)",OCEAN PARKWAY-NORTH,C1-WALK-UP,31,1919,37400,277643,7.42,852000,22.78,0.1
3-05390-0084,"435 OCEAN PARKWAY
Brooklyn, NY
(40.63804164017004, -73.97277102618291)",OCEAN PARKWAY-NORTH,D4-ELEVATOR,60,1942,65400,613779,9.39,2020000,30.9,3-05412-0014,"602 OCEAN PARKWAY
Brooklyn, NY
(40.63362850213272, -73.9725660501141)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,78,1930,78718,813592,10.34,2750000,34.9,0.3,3-05389-0034,"470 OCEAN PARKWAY
Brooklyn, NY
(40.63697712964424, -73.97319540309607)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,72,1931,72600,612202,8.43,2020000,27.8,0.1
3-05391-0061,"599 7 STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",OCEAN PARKWAY-NORTH,D4-ELEVATOR,114,1961,104100,1464697,14.07,5810000,56,3-06104-0004,"9303 SHORE ROAD
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BAY RIDGE,D1-ELEVATOR,70,1957,81200,1059393,13.05,3980000,49,3.75,3-07011-0011,"2828 29 STREET
Brooklyn, NY
(40.575561808540485, -73.99542786996214)",CONEY ISLAND,D1-ELEVATOR,122,1972,102000,1538672,15.09,4350000,42.6,4.4
3-05392-0001,"800 CORTELYOU ROAD
Brooklyn, NY
(40.63876743212043, -73.97069438825896)",OCEAN PARKWAY-NORTH,D4-ELEVATOR,93,1960,80604,920901,11.43,3250000,40.3,3-05399-0015,"514 OCEAN PARKWAY
Brooklyn, NY
(40.63570548311081, -73.97294692978583)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,74,1962,64800,785184,12.12,2770000,42.7,0.25,3-05428-0031,"250 PARKVILLE AVENUE
Brooklyn, NY
(40.63163916150648, -73.96980502027783)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,63,1963,57660,618862,10.73,2090000,36.2,0.45
3-05392-0042,"478 9 STREET
Brooklyn, NY
(40.666324045453436, -73.98048796348259)",OCEAN PARKWAY-NORTH,C6-WALK-UP,17,1916,21964,263348,11.99,928000,42.3,3-05421-0035,"312 WEBSTER AVENUE
Brooklyn, NY
(40.633304241480836, -73.9697463603527)",OCEAN PARKWAY-NORTH,C1-WALK-UP,38,1930,25500,318759,12.5,1200000,47.1,0.35,3-05422-0050,"49 PARKVILLE AVENUE
Brooklyn, NY
(40.62872001386529, -73.97597158771549)",OCEAN PARKWAY-NORTH,C1-WALK-UP,37,1931,28000,321446,11.48,1130000,40.4,0.65
3-05399-0007,"510 OCEAN PARKWAY
Brooklyn, NY
(40.63579724552758, -73.97296406829169)",OCEAN PARKWAY-NORTH,D4-ELEVATOR,39,1931,30850,318681,10.33,1080000,35,3-05389-0034,"470 OCEAN PARKWAY
Brooklyn, NY
(40.63697712964424, -73.97319540309607)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,72,1931,72600,612202,8.43,2020000,27.8,0.15,3-05389-0067,"623 5 STREET
Brooklyn, NY
(40.66761257580861, -73.97598131123515)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,48,1932,41963,490021,11.68,1730000,41.2,0.15
