JURISDICTION NAME,COUNT PARTICIPANTS,COUNT FEMALE,PERCENT FEMALE,COUNT MALE,PERCENT MALE,COUNT GENDER UNKNOWN,PERCENT GENDER UNKNOWN,COUNT GENDER TOTAL,PERCENT GENDER TOTAL,COUNT PACIFIC ISLANDER,PERCENT PACIFIC ISLANDER,COUNT HISPANIC LATINO,PERCENT HISPANIC LATINO,COUNT AMERICAN INDIAN,PERCENT AMERICAN INDIAN,COUNT ASIAN NON HISPANIC,PERCENT ASIAN NON HISPANIC,COUNT WHITE NON HISPANIC,PERCENT WHITE NON HISPANIC,COUNT BLACK NON HISPANIC,PERCENT BLACK NON HISPANIC,COUNT OTHER ETHNICITY,PERCENT OTHER ETHNICITY,COUNT ETHNICITY UNKNOWN,PERCENT ETHNICITY UNKNOWN,COUNT ETHNICITY TOTAL,PERCENT ETHNICITY TOTAL,COUNT PERMANENT RESIDENT ALIEN,PERCENT PERMANENT RESIDENT ALIEN,COUNT US CITIZEN,PERCENT US CITIZEN,COUNT OTHER CITIZEN STATUS,PERCENT OTHER CITIZEN STATUS,COUNT CITIZEN STATUS UNKNOWN,PERCENT CITIZEN STATUS UNKNOWN,COUNT CITIZEN STATUS TOTAL,PERCENT CITIZEN STATUS TOTAL,COUNT RECEIVES PUBLIC ASSISTANCE,PERCENT RECEIVES PUBLIC ASSISTANCE,COUNT NRECEIVES PUBLIC ASSISTANCE,PERCENT NRECEIVES PUBLIC ASSISTANCE,COUNT PUBLIC ASSISTANCE UNKNOWN,PERCENT PUBLIC ASSISTANCE UNKNOWN,COUNT PUBLIC ASSISTANCE TOTAL,PERCENT PUBLIC ASSISTANCE TOTAL
State Senate District 010,20,10,0.5,10,0.5,0,0,20,100,0,0,2,0.1,0,0,0,0,10,0.5,5,0.25,2,0.1,1,0.05,20,100,2,0.1,18,0.9,0,0,0,0,20,100,7,0.35,13,0.65,0,0,20,100
State Senate District 011,4,2,0.5,2,0.5,0,0,4,100,0,0,1,0.25,0,0,1,0.25,0,0,2,0.5,0,0,0,0,4,100,1,0.25,3,0.75,0,0,0,0,4,100,0,0,4,1,0,0,4,100
State Senate District 012,1,0,0,1,1,0,0,1,100,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,100,0,0,1,1,0,0,0,0,1,100,0,0,1,1,0,0,1,100
State Senate District 013,7,5,0.71,2,0.29,0,0,7,100,0,0,5,0.71,0,0,1,0.14,1,0.14,0,0,0,0,0,0,7,99,1,0.14,6,0.86,0,0,0,0,7,100,1,0.14,6,0.86,0,0,7,100
State Senate District 014,37,12,0.32,25,0.68,0,0,37,100,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,37,100,0,0,37,1,0,0,0,0,37,100,3,0.08,34,0.92,0,0,37,100
State Senate District 015,5,3,0.6,2,0.4,0,0,5,100,0,0,0,0,0,0,0,0,3,0.6,2,0.4,0,0,0,0,5,100,0,0,5,1,0,0,0,0,5,100,1,0.2,4,0.8,0,0,5,100
State Senate District 016,8,3,0.38,5,0.63,0,0,8,100,0,0,3,0.38,0,0,0,0,1,0.13,3,0.38,1,0.13,0,0,8,100,2,0.25,6,0.75,0,0,0,0,8,100,1,0.13,7,0.88,0,0,8,100
State Senate District 017,18,8,0.44,10,0.56,0,0,18,100,0,0,0,0,0,0,0,0,17,0.94,0,0,1,0.06,0,0,18,100,0,0,18,1,0,0,0,0,18,100,12,0.67,6,0.33,0,0,18,100
State Senate District 018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Senate District 019,14,8,0.57,6,0.43,0,0,14,100,0,0,0,0,0,0,0,0,1,0.07,12,0.86,1,0.07,0,0,14,100,1,0.07,13,0.93,0,0,0,0,14,100,4,0.29,10,0.71,0,0,14,100
