Cohort Year,Cohort Category,Demographic,Total Cohort Num,Total Grads Num,Total Grads Pct of cohort,Total Regents Num,Total Regents Pct of cohort,Total Regents Pct of grads,Advanced Regents Num,Advanced Regents Pct of cohort,Advanced Regents Pct of grads,Regents w/o Advanced Num,Regents w/o Advanced Pct of cohort,Regents w/o Advanced Pct of grads,Local Num,Local Pct of cohort,Local Pct of grads,Still Enrolled Num,Still Enrolled Pct of cohort,Dropped Out Num,Dropped Out Pct of cohort
2001,4 Year  June,Female,"36,069","19,424",53.90%,"12,455",34.50%,64.10%,"5,147",14.30%,26.50%,"7,308",20.30%,37.60%,"6,985",19.40%,36.00%,"9,075",25.20%,"6,699",18.60%
2001,5 Year,Female,"36,069","22,680",62.90%,"13,210",36.60%,58.20%,"5,243",14.50%,23.10%,"7,967",22.10%,35.10%,"9,501",26.30%,41.90%,"3,265",9.10%,"8,931",24.80%
2001,6 Year,Female,"36,069","23,594",65.40%,"13,365",37.10%,56.60%,"5,249",14.60%,22.20%,"8,116",22.50%,34.40%,"10,292",28.50%,43.60%,"1,302",3.60%,"9,893",27.40%
2002,4 Year  June,Female,"37,040","20,565",55.50%,"13,986",37.80%,68.00%,"5,155",13.90%,25.10%,"8,831",23.80%,42.90%,"6,601",17.80%,32.10%,"9,628",26.00%,"5,810",15.70%
2002,5 Year,Female,"37,040","24,040",64.90%,"15,053",40.60%,62.60%,"5,283",14.30%,22.00%,"9,770",26.40%,40.60%,"9,116",24.60%,37.90%,"3,818",10.30%,"7,845",21.20%
2002,6 Year,Female,"37,040","25,053",67.60%,"15,231",41.10%,60.80%,"5,290",14.30%,21.10%,"9,941",26.80%,39.70%,"9,951",26.90%,39.70%,"1,958",5.30%,"8,590",23.20%
2003,4 Year  June,Female,"36,829","21,942",59.60%,"15,381",41.80%,70.10%,"6,375",17.30%,29.10%,"9,006",24.50%,41.00%,"6,561",17.80%,29.90%,"9,253",25.10%,"4,862",13.20%
2003,5 Year,Female,"36,829","25,263",68.60%,"16,371",44.50%,64.80%,"6,465",17.60%,25.60%,"9,906",26.90%,39.20%,"8,892",24.10%,35.20%,"3,597",9.80%,"6,782",18.40%
2003,6 Year,Female,"36,893","26,309",71.30%,"16,590",45.00%,63.10%,"6,471",17.50%,24.60%,"10,119",27.40%,38.50%,"9,719",26.30%,36.90%,"1,665",4.50%,"7,383",20.00%
2004,4 Year  June,Female,"37,275","23,485",63.00%,"16,970",45.50%,72.30%,"6,910",18.50%,29.40%,"10,060",27.00%,42.80%,"6,515",17.50%,27.70%,"9,040",24.30%,"4,145",11.10%
2004,4 Year August,Female,"37,275","24,990",67.00%,"17,572",47.10%,70.30%, n/a , n/a , n/a , n/a , n/a , n/a ,"7,421",19.90%,29.70%,"7,536",20.20%,"4,144",11.10%
2004,5 Year,Female,"37,530","27,044",72.10%,"18,281",48.70%,67.60%,"7,024",18.70%,26.00%,"11,257",30.00%,41.60%,"8,763",23.30%,32.40%,"2,984",8.00%,"5,722",15.20%
