No.(#),FISCAL YEAR   ,EST. BID PERIOD   ,TRADE   ,FMS ID   ,DESCRIPTION   ,BUDGET RANGE (X $1000)   
1,2012,Apr 01 - Jun 30,Construction,MED598,"INSTALL TRUNK WATER MAINS IN 10TH AVE. FROM WEST 30TH ST. TO WEST 31ST ST.,ETC., TO CONNECT SHAFT 26B OF CITY TUNNEL #3 TO THE DISTRIBUTION SYSTEM, BOROUGH OF MANHATTAN",Over 10 mil
2,2013,Jan 01 - Mar 31,"Plumbing, HVAC, Elec, GC",C75AMKCAC,"NEW HVAC SYSTEM AT ANNA M. KROSS CENTER K-DORMITORIES, RIKERS ISLAND",5000-10000
3,2013,Jul 01 - Sep 30,Construction,CONISPH01,"INSTALL STORM AND SANITARY SEWERS, AND TRUNK AND DISTRIBUTION WATER MAINS -- CONEY ISLAND AREA, BROOKLYN",Over 10 mil
4,2013,Jul 01 - Sep 30,"Plumbing, HVAC, Elec, GC",EP6-KENTD,"PERFORM A FULL FUNCTIONAL UPGRADE OF THE INTERIOR AND EXTERIOR OF THIS CENTURY OLD STRUCTURE, PROVIDING ALL NEW BUILDING SYSTEMS. THE DESIGN WILL INCLUDE ADA COMPLIANCE, AND LEED AND HISTORIC PRESERVATION STANDARDS.",Over 10 mil
5,2013,Jul 01 - Sep 30,"Plumbing, HVAC, Elec, GC",F175AF292,REPLACE APPARATUS FLOOR AND PERFORM OTHER BUILDING UPGRADES,1000-2500
6,2013,Jul 01 - Sep 30,"Plumbing, HVAC, Elec, GC",F175AFE60,"APPARATUS FLOOR REPLACEMENT, HOUSE WATCH UPGRADE, ADA BATHROOM INSTALLATION AND RELATED PLUMBING, MECHANICAL AND ELECTRICAL WORK IN THE BASEMENT AND ON THE FIRST FLOOR",1000-2500
7,2013,Jul 01 - Sep 30,Construction,GE351,"RELOCATE AND REPLACE BROKEN WATER MAINS, ON AN EMERGENCY BASIS, CITYWIDE",Over 10 mil
8,2013,Jan 01 - Mar 31,Construction,GQNC77-01,GREEN INFRASTRUCTURE IN NEWTOWN CREEK AREA,5000-10000
9,2013,Jan 01 - Mar 31,Construction,GXHP24-01,GREEN INFRASTRUCTURE IN HUTCHINSON RIVER AREA,5000-10000
10,2013,Oct 01 - Dec 31,Construction,HBPED100Q,"DEMOLISH AND REPLACE THREE PEDESTRIAN BRIDGES, MANHATTAN AND QUEENS",Over 10 mil
11,2013,Jan 01 - Mar 31,Construction,HBPED700Q,RECONSTRUCT PASSERELLE OVERPASS IN FLUSHING MEADOWS - CORONA PARK,1000-2500
12,2013,Jan 01 - Mar 31,Construction,HED564,INSTALL NEW 20 SUB-AQUEOUS WATER MAIN ON CITY ISLAND ROAD BETWEEN PARK ROAD AND CITY ISLAND AVENUE,Over 10 mil
13,2013,Jan 01 - Mar 31,Construction,HED568,INSTALL NEW 20 SUB-AQUEOUS WATER MAIN EXTENSION TO RANDALL'S ISLAND CONNECTING TO A 36 MAIN AT ST. ANN'S AVE AND BRUCKNER BOULEVARD IN THE BRONX,2500-5000
14,2013,Jul 01 - Sep 30,"Plumbing, HVAC, Elec, GC",HR25FACA,FACADE RESTORATION AT MULTIPLE SITES,2500-5000
15,2013,Jul 01 - Sep 30,"Plumbing, HVAC, Elec, GC",HRCN303ER,"NEW 11,000 SF FACILITY WITH PROGRAM AND OFFICE SPACE",2500 -5000
16,2013,Jan 01 - Mar 31,Construction,HWC988M2,RECONSTRUCT ROADWAY,1000-2500
17,2013,Jul 01 - Sep 30,Construction,HWC988QB4,IMPLEMENT PEDESTRIAN SAFETY AND TRAFFIC FLOW IMPROVEMENTS AT 12 INTERSECTIONS ALONG QUEENS BOULEVARD BETWEEN 32ND PLACE AND 65TH PLACE,1000-2500
18,2013,Jul 01 - Sep 30,Construction,HWD10501A-R,"INSTALL TRAFFIC NECKDOWNS AND PEDESTRIAN RAMPS, STREET LIGHTING, TRAFFIC SIGNALS, PAVEMENT MARKINGS, AND PERFORM RELATED WORK",250-500
19,2013,Jan 01 - Mar 31,Construction,HWK1048A,"RECONFIGURE WEST STREET FROM EAGLE TO QUAY STREETS, INCLUDING A TWO-WAY, CLASS 1 SEPARATED BIKE PATH; PLANTED BUFFER, SPEED TABLES AND IMPROVED PAVEMENT MARKINGS AT INTERSECTIONS; PLUS UNDERGROUND RELOCATION OF EXISTING ABOVE-GROUND UTILITIES",5000-10000
20,2013,Oct 01 - Dec 31,"Plumbing, HVAC, Elec, GC",HWKF2007,UPGRADE EQUIPMENT -- HAMILTON AVENUE ASPHALT PLANT,5000-10000
21,2013,Apr 01 - Jun 30,Construction,HWKKP005,"RECONSTRUCT AND RESTORE BELGIAN BLOCK ROADWAYS IN THE DUMBO AND VINEGAR HILL COMMUNITIES CONCURRENT WITH INSTALLATION OF NEW WATER MAIN, COMBINED SEWERS AND STORM SEWERS, PLUS CONSTRUCTION OF THE PEARL STREET TRIANGLE PLAZA",Over 10 mil
22,2013,Apr 01 - Jun 30,Construction,HWKP166A,"RECONSTRUCT MALBONE STREET FROM NEW YORK AVENUE TO CLOVE ROAD, AND CLOVE ROAD FROM MONTGOMERY STREET TO EMPIRE BOULEVARD. INCLUDES AN ARCHEOLOGICAL STUDY OF SOME OF THE AREA.",1000-2500
23,2013,Jan 01 - Mar 31,Construction,HWKP2027,RECONSTRUCT SIDEWALKS AND TRAFFIC NECKDOWNS ALONG CHURCH AVENUE IN BROOKLYN,2500-5000
24,2013,Oct 01 - Dec 31,Construction,HWM215,RECONSTRUCT THE STEP STREET AT WEST 215TH STREET BETWEEN BROADWAY AND PARK TERRACE EAST,1000-2500
25,2013,Jan 01 - Mar 31,Construction,HWMBRT5A,"INSTALL TRANSITWAY ELEMENTS ALONG 34TH STREET FROM 5TH AVENUE TO THE FDR DRIVE, INCLUDING MEDIAN ISLANDS AND TRAFFIC NECKDOWNS, ESTABLISHING A SEPARATE RIGHT-OF-WAY FOR SELECT BUS SERVICE. THIS PROJECT INCLUDES REPLACEMENT OF TRUNK AND DISTRIBUTION WAT",Over 10 mil
26,2013,Oct 01 - Dec 31,Construction,HWMP116,"STREET RECONSTRUCTION AND RECONFIGURATION, INCLUDING THE EXPANSION OF COOPER PARK AND CREATION OF NEW PEDESTRIAN PLAZAS",Over 10 mil
27,2013,Jul 01 - Sep 30,Construction,HWMP2012,"STREET RECONSTRUCTION, INCLUDING SEWER AND WATER MAIN WORK",Over 10 mil
28,2013,Apr 01 - Jun 30,Construction,HWMP2017,"ROADWAY RECONSTRUCTION: WADSWORTH TERRACE FROM FAIRVIEW AVENUE TO WEST 190TH STREET, MANHATTAN",2500-5000
