Borough,Address,Building ,Custodial Borough Supervisor Name,Custodial Borough Supervisor Phone ,Custodial ,Engineering,DCAS Security ? ,Security
Bronx,"1118 Grand Concourse
",Bronx Housing Court,Ann Wilson,347-386-2979,718-590-7466,718-590-1061,N,718-466-3102
Bronx,"1932 Arthur Ave.
",Bergen Building,Ann Wilson,347-386-2980,718-579-6730,718-590-3234,Y,718-579-6733
Bronx,"198 E. 161 St.
",Concourse Plaza,Ann Wilson,347-386-2981,718-590-7232,718-590-1814,N,718-590-2030
Bronx,"215 E. 161 St.
",Bronx Family & Criminal Court,Ann Wilson,347-386-2982,718-590-3232,718-590-3234,N,718-618-2410
Bronx,"4101 White Plains Rd.
",Bronx Neighborhood Building,Ann Wilson,347-386-2983,718-655-4893,718-590-3835,N,"718-881-4455 (9-5, M-F)"
Bronx,"851 Grand Concourse
",Bronx County Courthouse,Ann Wilson,347-386-2984,718-590-3486,718-590-3835,N,718-618-1701
Bronx,"265 E. 161 Street
",Bronx Hall of Justice,Ann Wilson,347-386-2985,718-537-1273,718-537-5870,N,718-618-1850
Brooklyn,"120 Schermerhorn St.
",Brooklyn Criminal Court,Robert Pittman, 347-386-2986,718-643-2006,718-643-2008,N,347-404-9485
Brooklyn,"141 Livingston St. (Leased)
",Brooklyn Civil Court,Robert Pittman, 347-386-2987,347-404-9142,N/A,N,347-404-9333
Brooklyn,"209 Joralemon St.
",Brooklyn Borough Hall,Robert Pittman, 347-386-2988,718-802-3887,718-643-7856,N,718-802-3887
Brooklyn,"210 Joralemon St.
",Brooklyn Municipal Building,Robert Pittman, 347-386-2989,718-802-3509,718-643-7856,Y,718-802-3599
Brooklyn,"345 Adams St.
",345 Adams St.,Robert Pittman, 347-386-2990,718-403-4194,718-403-4197,N,"718-404-4399, 718-403-4100"
Brooklyn,"360 Adams St.
",Brooklyn Supreme Court,Robert Pittman, 347-386-2991,718-643-5196,718-643-5224,N,347-296-1183
Brooklyn,"390 Kent Ave.
",DFMC Shops,Robert Pittman, 347-386-2992,N/A,718-643-5224,N,
Brooklyn,"45 Monroe Pl.
",Brooklyn Appellate Court,Robert Pittman, 347-386-2993,"718-875-1300, x 26211","718-875-1300, x26210",N,718-722-6604
Brooklyn,"330 Jay Street
",Brooklyn Supreme & Family Court,Robert Pittman, 347-386-2994,718-802-2510,718-802-2515,N,347-401-9650
Brooklyn,"165 Cadman Plaza East
",OEM Building,Robert Pittman, 347-386-2995,718-422-8580,718-422-8590,N,718-442-4700 (24/7)
Brooklyn,"Navy and Sand
",OTS Building,Robert Pittman, 347-386-2996,718-643-8413,718-802-2815,Y,718-797-6881
Manhattan,"1 Centre St.
",Manhattan Municipal Building,"Tammy Newkirk, Richard McCarthy","917-337-6309,  347-386-2974",212-669-4673,212-669-2062,Y,212-669-4300/4944
Manhattan,"100 Centre St.
",Manhattan Criminal Court,"Tammy Newkirk, Richard McCarthy","917-337-6309,  347-386-2975",212-442-8500,212-442-8527,N,646-386-4766
Manhattan,"111 Centre St.
",Manhattan Civil Court,"Tammy Newkirk, Richard McCarthy","917-337-6309,  347-386-2976",212-513-0605,212-442-8533,N,646-386-5572
