Age of Case in Months,2005 Number of Cases,2005 Percent of Docket,2006 Number of Cases,2006 Percent of Docket,2007 Number of Cases,2007 Percent of Docket,2008 Number of Cases,2008 Percent of Docket,2009 Number of Cases,2009 Percent of Docket
0 - 4 months,2225,64.2%,2370,63.4%,2068,61.6%,2113,57%,2014,60%
5 - 7 months,623,18%,610,16.3%,567,16.9%,638,17.2%,497,14.8%
8 months,140,4%,167,4.5%,135,4%,155,4.2%,147,4.4%
9 months,98,2.8%,131,3.5%,129,3.8%,145,3.9%,154,4.6%
10 months,84,2.4%,89,2.4%,102,3%,122,3.3%,162,4.8%
11 months,73,2.1%,97,2.6%,77,2.3%,134,3.6%,86,2.6%
12 months,51,1.5%,71,1.9%,60,1.8%,81,2.2%,63,1.9%
13 months,27,0.8%,52,1.4%,52,1.5%,73,2%,60,1.8%
14 months,28,0.8%,31,0.8%,37,1.1%,54,1.5%,60,1.8%
15 months,31,0.9%,38,1%,34,1%,53,1.4%,31,0.9%
16 or older,84,2.4%,83,2.2%,77,2.3%,115,3.1%,73,2.2%
Unknown,4,0.1%,0,0%,19,0.6%,26,0.7%,11,0.3%
Total Docket,3468,100%,3739,100%,3357,100%,3709,100%,3358,100%
