DEVELOPMENT NAME,BUILDING NUMBER,STAIR HALL NUMBER,ADDRESS,BOROUGH_CODE,CITY,ZIP CODE,NEW TENANT DATA SYSTEM,FACILITY,COMMENTS,MONTH,YEAR
ADAMS,1,1,755 EAST 152ND STREET,2,BRONX,10455,118,RESIDENT EMPLOYMENT SERVICES BRONX OFFICE/ GED/ COMPUTER PROGRAMS,CO,December,2012
LEHMAN VILLAGE,1,1,1641 MADISON AVENUE,1,NEW YORK,10029,101,SENIOR CENTER,CO,December,2012
LAFAYETTE,1,1,442 DEKALB AVENUE,3,BROOKLYN,11205,122,COMMUNITY CENTER,CO,December,2012
WISE TOWERS,1,1,114 WEST 91ST STREET,1,NEW YORK,10024,127,DAY CARE CENTER,CO,December,2012
WILSON,1,1,405 EAST 105TH STREET,1,NEW YORK,10029,112,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
WOODSON,1,1,460 DUMONT AVENUE,3,BROOKLYN,11212,182,SENIOR CENTER,CO,December,2012
ASTORIA,1,1,4-25 ASTORIA BOULEVARD,4,ASTORIA,11102,26,NYCHA SOCIAL SERVICES OFFICE,CO,December,2012
LAFAYETTE,1,1,434 DEKALB AVENUE,3,BROOKLYN,11205,122,CHILD HEALTH CLINIC,CO,December,2012
WILLIAMSBURG,1,1,174 LEONARD STREET,3,BROOKLYN,11206,2,COMMERCIAL SPACE  (STORES #48-50),FP,December,2012
LAFAYETTE,1,1,333 CLASSON AVENUE,3,BROOKLYN,11205,122,DAY CARE CENTER,CO,December,2012
BAILEY AVENUE-WEST 193RD STREET,1,1,2660 BAILEY AVENUE,2,BRONX,10463,202,SENIOR CENTER,CO,December,2012
RANGEL,1,1,159-12 HARLEM RIVER DRIVE,1,NEW YORK,10039,37,COMMERCIAL SPACE (STORE #5),FP,December,2012
BARUCH,1,1,605 FDR DRIVE,1,NEW YORK,10002,60,COMMUNITY CENTER,CO,December,2012
WILLIAMS PLAZA,1,1,333 ROEBLING STREET,3,BROOKLYN,11211,128,CHILD HEALTH CLINIC,CO,December,2012
