Provider,Hotline #,Borough
Barrier Free Living ,212-533-4358,All
HELP R.O.A.D.S,718-922-7980,Brooklyn
JBFCS Bronx DV Programs,718-367-0605,Bronx
New York Asian Women's Center,212- 732-5230 888-888-7702,Queens & Brooklyn
FEGS Center for Women & Families ,888-242-5838,Manhanttan
NYC Gay & Lesbian Anti-Violence Project,212-714-1141,All
Queens Legal Services Corporatino,718-657-0424,Queens
Safe Horizon,718-889-1233,Queens
Sanctuary for Families,718-993-5990,Bronx
Seamen's Society for Children and Families,888-837-6687 ext.4792,Staten Island
STEPS to End Family Violence,888-STEPS-94 (888-783-7794,Manhanttan & Staten Island
Urban Justice Center Domestic Violence Project,718-875-5062,Brooklyn
Violence Intervention Program,800-664-5880,Bronx
NYC Domestic Violence Hotline,800-621-HOPE,All 
