Affiliated Base License Number,License Number,Name of Licensee,License Type,DMV License Plate,VIN,Model Year,License Expiration Date
B90005,,HOPE AMBULETTE SERVICE INC,Paratransit Vehicle,T427929C,1FTNE24W09DA18988,2009,04/28/2013 07:00:00 AM +0000
B90005,,HOPE AMBULETTE SERVICE INC,Paratransit Vehicle,T427931C,1FTNE24W19DA18983,2009,04/29/2013 07:00:00 AM +0000
B90005,,HOPE AMBULETTE SERVICE INC,Paratransit Vehicle,T427927C,1FTNE24W16HA12850,2006,06/03/2013 07:00:00 AM +0000
B90005,,HOPE AMBULETTE SERVICE INC,Paratransit Vehicle,T427913C,1FTNS24W28DA96471,2008,05/01/2012 07:00:00 AM +0000
B90005,5022426,HOPE AMBULETTE SERVICE INC,Paratransit Vehicle,T431314C,1FTNS24W68DA74604,2008,10/26/2011 07:00:00 AM +0000
B90005,5183698,HOPE AMBULETTE SERVICE INC,Paratransit Vehicle,T408032C,1FTNS24W48DA96472,2008,11/03/2012 07:00:00 AM +0000
B90005,5183700,HOPE AMBULETTE SERVICE INC,Paratransit Vehicle,T408038C,1FTNS24W98DA92384,2008,11/03/2012 07:00:00 AM +0000
B90005,5264533,HOPE AMBULETTE SERVICE INC,Paratransit Vehicle,T492011C,1FTNE24W66DB26267,2006,06/05/2013 07:00:00 AM +0000
B90005,5282114,HOPE AMBULETTE SERVICE INC,Paratransit Vehicle,T497438C,1FTNE24W76DB25192,2006,12/11/2011 08:00:00 AM +0000
B90005,5351140,HOPE AMBULETTE SERVICE INC,Paratransit Vehicle,T526019C,1FTNE24WX9DA06556,2009,01/15/2012 08:00:00 AM +0000
B90005,5366023,HOPE AMBULETTE SERVICE INC,Paratransit Vehicle,T529156C,1FTNS2EW9ADA68980,2010,06/04/2012 07:00:00 AM +0000
B90005,5375126,HOPE AMBULETTE SERVICE INC,Paratransit Vehicle,T529568C,1FBNE3BL3ADA97743,2010,10/01/2012 07:00:00 AM +0000
B90005,5381597,HOPE AMBULETTE SERVICE INC,Paratransit Vehicle,T602057C,1FTNS2EW4BDA00491,2011,12/09/2012 08:00:00 AM +0000
B90005,5381598,HOPE AMBULETTE SERVICE INC,Paratransit Vehicle,T602084C,1FTNS2EW4BDA00488,2011,12/09/2012 08:00:00 AM +0000
B90005,5392159,HOPE AMBULETTE SERVICE INC,Paratransit Vehicle,T602410C,1FTSS3ELXBDA09596,2011,03/15/2013 07:00:00 AM +0000
B90005,5399640,HOPE AMBULETTE SERVICE INC,Paratransit Vehicle,T606884C,1FTNE2EW7BDA00475,2011,05/17/2013 07:00:00 AM +0000
B90010,5395046,COLING AMBULETTE SERVICE INC,Paratransit Vehicle,T601872C,1FTNE2EW3BDA45722,2011,04/15/2013 07:00:00 AM +0000
B90010,5395091,COLING AMBULETTE SERVICE INC,Paratransit Vehicle,T607967C,1FTNE2EW5BDA48735,2011,04/15/2013 07:00:00 AM +0000
B90010,5395092,COLING AMBULETTE SERVICE INC,Paratransit Vehicle,T607966C,1FTNE2EW8BDA53928,2011,04/15/2013 07:00:00 AM +0000
B90010,5395100,COLING AMBULETTE SERVICE INC,Paratransit Vehicle,T601873C,1FTNE2EW4BDA42862,2011,04/15/2013 07:00:00 AM +0000
B90018,5385262,LEONS AMBULETTE INC,Paratransit Vehicle,T607673C,1FTNE14WX8DB52657,2008,01/12/2013 08:00:00 AM +0000
B90028,5121734,AMERICAN BIOMED AMBULETTE INC,Paratransit Vehicle,T481488C,1FTNE2EW3ADA30555,2010,08/09/2012 07:00:00 AM +0000
B90028,5220314,AMERICAN BIOMED AMBULETTE INC,Paratransit Vehicle,T468779C,1FMRE11W73HA49165,2003,02/24/2012 08:00:00 AM +0000
B90028,5246948,AMERICAN BIOMED AMBULETTE INC,Paratransit Vehicle,T490114C,1FMRE11W53HA49195,2003,12/13/2012 08:00:00 AM +0000
B90028,5347522,AMERICAN BIOMED AMBULETTE INC,Paratransit Vehicle,T525274C,1FBNE31L68DA49844,2008,11/02/2011 07:00:00 AM +0000
B90032,,RICHMOND COUNTY AMBULANCE SERVICE INC,Paratransit Vehicle,T438953C,1FTNE24L93HA49842,2003,06/30/2012 07:00:00 AM +0000
B90032,,RICHMOND COUNTY AMBULANCE SERVICE INC,Paratransit Vehicle,T438923C,1FTNE24L33HA42207,2003,06/30/2012 07:00:00 AM +0000
B90032,,RICHMOND COUNTY AMBULANCE SERVICE INC,Paratransit Vehicle,T438958C,1FTNE24L23HB06074,2003,06/15/2012 07:00:00 AM +0000
B90032,,RICHMOND COUNTY AMBULANCE SERVICE INC,Paratransit Vehicle,T438932C,1FTNE24L43HB06075,2003,09/30/2011 07:00:00 AM +0000
B90032,5100989,RICHMOND COUNTY AMBULANCE SERVICE INC,Paratransit Vehicle,T409027C,1FTNE24LX2HA23054,2002,01/16/2012 08:00:00 AM +0000
B90032,5100992,RICHMOND COUNTY AMBULANCE SERVICE INC,Paratransit Vehicle,T409026C,1FTNE24L22HA25199,2002,01/16/2012 08:00:00 AM +0000
B90032,5158783,RICHMOND COUNTY AMBULANCE SERVICE INC,Paratransit Vehicle,T459668C,1FTNE24L03HB06073,2003,12/04/2011 08:00:00 AM +0000
B90032,5234866,RICHMOND COUNTY AMBULANCE SERVICE INC,Paratransit Vehicle,T483432C,1FTNE24LX3HA48215,2003,07/24/2012 07:00:00 AM +0000
B90032,5287183,RICHMOND COUNTY AMBULANCE SERVICE INC,Paratransit Vehicle,T498338C,1FTNE24WX8DA59711,2008,02/07/2012 08:00:00 AM +0000
B90032,5287185,RICHMOND COUNTY AMBULANCE SERVICE INC,Paratransit Vehicle,T608745C,1FTNE24W18DA59712,2008,02/07/2012 08:00:00 AM +0000
B90032,5287186,RICHMOND COUNTY AMBULANCE SERVICE INC,Paratransit Vehicle,T498339C,1FTNE24W58DA59714,2008,02/07/2012 08:00:00 AM +0000
B90032,5287188,RICHMOND COUNTY AMBULANCE SERVICE INC,Paratransit Vehicle,T498336C,1FTNE24W38DA59713,2008,02/07/2012 08:00:00 AM +0000
B90032,5335760,RICHMOND COUNTY AMBULANCE SERVICE INC,Paratransit Vehicle,T519317C,1FTNE24W49DA32019,2009,06/26/2013 07:00:00 AM +0000
B90032,5335766,RICHMOND COUNTY AMBULANCE SERVICE INC,Paratransit Vehicle,T519319C,1FTNE24WX9DA39816,2009,06/26/2013 07:00:00 AM +0000
B90032,5335773,RICHMOND COUNTY AMBULANCE SERVICE INC,Paratransit Vehicle,T519318C,1FTNE24W79DA28689,2009,06/26/2013 07:00:00 AM +0000
B90032,5357209,RICHMOND COUNTY AMBULANCE SERVICE INC,Paratransit Vehicle,T527988C,1FTNE2EW8ADA00368,2010,03/12/2012 07:00:00 AM +0000
B90032,5357210,RICHMOND COUNTY AMBULANCE SERVICE INC,Paratransit Vehicle,T527987C,1FTNE2EW4ADA00366,2010,04/05/2012 07:00:00 AM +0000
B90032,5376919,RICHMOND COUNTY AMBULANCE SERVICE INC,Paratransit Vehicle,T601434C,1FTNE2EW5ADB02663,2010,10/15/2012 07:00:00 AM +0000
B90032,5376921,RICHMOND COUNTY AMBULANCE SERVICE INC,Paratransit Vehicle,T601432C,1FTNE2EWXADB02660,2010,10/15/2012 07:00:00 AM +0000
B90032,5376923,RICHMOND COUNTY AMBULANCE SERVICE INC,Paratransit Vehicle,T601433C,1FTNE2EW0ADB02649,2010,10/15/2012 07:00:00 AM +0000
B90034,,AMBULETTE PRN INC_ D/B/A/ NEW YORK CITY AMBULETTE,Paratransit Vehicle,T433492C,1FTNE24W06DA28822,2006,06/16/2012 07:00:00 AM +0000
B90034,,AMBULETTE PRN INC_ D/B/A/ NEW YORK CITY AMBULETTE,Paratransit Vehicle,T433540C,1FTNE24W26DA28823,2006,06/04/2012 07:00:00 AM +0000
