BRONX – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Address,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Total Units,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Year Built,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Est. Gross Income,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 –Boro-Block-Lot,COMPARABLE RENTAL – 1 –Address,COMPARABLE RENTAL – 1 –Neighborhood,COMPARABLE RENTAL – 1 –Building Classification,COMPARABLE RENTAL – 1 –Total Units,COMPARABLE RENTAL – 1 –Year Built,COMPARABLE RENTAL – 1 –Gross SqFt,COMPARABLE RENTAL – 1 –Est. Gross Income,COMPARABLE RENTAL – 1 –Gross Income per SqFt,COMPARABLE RENTAL – 1 –Full Market Value,COMPARABLE RENTAL – 1 –Market Value per SqFt,COMPARABLE RENTAL – 1 –Dist. from Coop in miles,COMPARABLE RENTAL – 2 –Boro-Block-Lot,COMPARABLE RENTAL – 2 –Address,COMPARABLE RENTAL – 2 –Neighborhood,COMPARABLE RENTAL – 2 –Building Classification,COMPARABLE RENTAL – 2 –Total Units,COMPARABLE RENTAL – 2 –Year Built,COMPARABLE RENTAL – 2 –Gross SqFt,COMPARABLE RENTAL – 2 –Est. Gross Income,COMPARABLE RENTAL – 2 –Gross Income per SqFt,COMPARABLE RENTAL – 2 –Full Market Value,COMPARABLE RENTAL – 2 –Market Value per SqFt,COMPARABLE RENTAL – 2 –Dist. from Coop in miles
2-02868-0121,"1966 DR
Bronx, NY
(40.82557699997852, -73.91844899972153)",HIGHBRIDGE/MORRIS HEIGHTS,C6-WALK-UP,11,1914,17100,169461,9.91,397000,23.22,2-02876-0067,"1600 DR
Bronx, NY
(40.82557699997852, -73.91844899972153)",HIGHBRIDGE/MORRIS HEIGHTS,C1-WALK-UP,32,1922,29315,290385,9.91,828000,28.2,0.55,2-02876-0065,"1592 DR
Bronx, NY
(40.82557699997852, -73.91844899972153)",HIGHBRIDGE/MORRIS HEIGHTS,C1-WALK-UP,32,1922,29315,290385,9.91,828000,28.2,0.55
2-02869-0143,"2015 GRAND AVENUE
Bronx, NY
(40.82557699997852, -73.91844899972153)",HIGHBRIDGE/MORRIS HEIGHTS,C6-WALK-UP,31,1924,25000,247750,9.91,580000,23.2,2-02876-0065,"1592 DR
Bronx, NY
(40.82557699997852, -73.91844899972153)",HIGHBRIDGE/MORRIS HEIGHTS,C1-WALK-UP,32,1922,29315,290385,9.91,828000,28.2,0.55,,,,,,,,,,,,
2-02870-0007,"1986 GRAND AVENUE
Bronx, NY
(40.82557699997852, -73.91844899972153)",HIGHBRIDGE/MORRIS HEIGHTS,C6-WALK-UP,26,1924,18000,178380,9.91,418000,23.22,2-02876-0067,"1600 DR
Bronx, NY
(40.82557699997852, -73.91844899972153)",HIGHBRIDGE/MORRIS HEIGHTS,C1-WALK-UP,32,1922,29315,290385,9.91,828000,28.2,0.65,2-02876-0065,"1592 DR
Bronx, NY
(40.82557699997852, -73.91844899972153)",HIGHBRIDGE/MORRIS HEIGHTS,C1-WALK-UP,32,1922,29315,290385,9.91,828000,28.2,0.65
2-02872-0001,"1372 SHAKESPEARE AVENUE
Bronx, NY
(40.84154338123717, -73.92154367927968)",HIGHBRIDGE/MORRIS HEIGHTS,C6-WALK-UP,57,1926,39745,393872,9.91,922000,23.2,2-02876-0065,"1592 DR
Bronx, NY
(40.82557699997852, -73.91844899972153)",HIGHBRIDGE/MORRIS HEIGHTS,C1-WALK-UP,32,1922,29315,290385,9.91,828000,28.2,0.4,2-02876-0067,"1600 DR
Bronx, NY
(40.82557699997852, -73.91844899972153)",HIGHBRIDGE/MORRIS HEIGHTS,C1-WALK-UP,32,1922,29315,290385,9.91,828000,28.2,0.4
2-02876-0001,"1600 NELSON AVENUE
Bronx, NY
(40.84607242799119, -73.9196704835723)",HIGHBRIDGE/MORRIS HEIGHTS,C6-WALK-UP,32,1912,26650,264101,9.91,618000,23.19,2-02876-0065,"1592 DR
Bronx, NY
(40.82557699997852, -73.91844899972153)",HIGHBRIDGE/MORRIS HEIGHTS,C1-WALK-UP,32,1922,29315,290385,9.91,828000,28.2,0.05,2-02876-0067,"1600 DR
Bronx, NY
(40.82557699997852, -73.91844899972153)",HIGHBRIDGE/MORRIS HEIGHTS,C1-WALK-UP,32,1922,29315,290385,9.91,828000,28.2,0.05
2-02876-0131,"1713 NELSON AVENUE
Bronx, NY
(40.84808317856258, -73.91721947172982)",HIGHBRIDGE/MORRIS HEIGHTS,D4-ELEVATOR,48,1927,58350,481971,8.26,1130000,19.37,2-02870-0016,"2010 GRAND AVENUE
Bronx, NY
(40.82557699997852, -73.91844899972153)",HIGHBRIDGE/MORRIS HEIGHTS,D1-ELEVATOR,48,1924,50400,416156,8.26,1070000,21.23,0.5,2-02870-0020,"2020 GRAND AVENUE
Bronx, NY
(40.82557699997852, -73.91844899972153)",HIGHBRIDGE/MORRIS HEIGHTS,D1-ELEVATOR,55,1925,50400,353882,7.02,828000,16.43,0.5
2-02878-0061,"1641 ANDREWS AVENUE
Bronx, NY
(40.84826788598777, -73.91941539299374)",HIGHBRIDGE/MORRIS HEIGHTS,C6-WALK-UP,61,1925,55750,485025,8.7,1140000,20.45,2-02865-0032,"1566 MACOMBS ROAD
Bronx, NY
(40.82557699997852, -73.91844899972153)",HIGHBRIDGE/MORRIS HEIGHTS,C1-WALK-UP,56,1925,60000,521891,8.7,1220000,20.33,0.35,2-02879-0080,"1834 PHELAN PLACE
Bronx, NY
(40.853071904670976, -73.91656272399923)",HIGHBRIDGE/MORRIS HEIGHTS,C1-WALK-UP,60,1926,55700,481500,8.64,1240000,22.26,0.35
2-02931-0098,"605 169 STREET
Bronx, NY
(40.83190131863027, -73.90234429859225)",MORRISANIA/LONGWOOD,D4-ELEVATOR,35,1931,41580,339708,8.17,795000,19.12,2-03237-0097,"160 KINGSBRIDGE ROAD
Bronx, NY
(40.87026634542542, -73.90444024198291)",KINGSBRIDGE HTS/UNIV HTS,D1-ELEVATOR,36,1927,39600,305614,7.72,715000,18.06,2.45,2-03298-0028,"2986 BRIGGS AVENUE
Bronx, NY
(40.87164829343862, -73.8849488800076)",BEDFORD PARK/NORWOOD,D1-ELEVATOR,36,1938,40381,283893,7.03,665000,16.47,2.75
2-02933-0029,"1372 FRANKLIN AVENUE
Bronx, NY
(40.833338103365634, -73.9007112846625)",MORRISANIA/LONGWOOD,D4-ELEVATOR,48,1931,48852,470408,9.63,1100000,22.52,2-03352-0012,"3312 HULL AVENUE
Bronx, NY
(40.87694083877874, -73.87430056721519)",BEDFORD PARK/NORWOOD,D1-ELEVATOR,48,1927,52000,470408,9.05,1340000,25.8,3.4,2-03356-0178,"3510 DECATUR AVENUE
Bronx, NY
(40.878941463589534, -73.87245099800796)",BEDFORD PARK/NORWOOD,D1-ELEVATOR,49,1929,49700,428929,8.63,1110000,22.33,3.55
2-02935-0001,"625 JEFFERSON PLACE
Bronx, NY
(40.833442676336155, -73.89999329445317)",MORRISANIA/LONGWOOD,D4-ELEVATOR,16,1906,17100,189925,11.11,445000,26,2-02556-0017,"364 ST ANNS AVENUE
Bronx, NY
(40.80993790328429, -73.91543817713595)",MOTT HAVEN/PORT MORRIS,D1-ELEVATOR,17,1905,12830,189925,14.8,693000,54,1.85,2-03335-0142,"171 MOSHOLU PARKWAY
Bronx, NY
(40.87560603427182, -73.88146926286912)",BEDFORD PARK/NORWOOD,D1-ELEVATOR,18,1923,21000,189875,9.04,542000,25.8,3.05
2-02948-0025,"705 CROTONA PARK
Bronx, NY
(40.84212104413827, -73.89395187588254)",CROTONA PARK,C6-WALK-UP,20,1916,15000,190500,12.7,446000,29.7,2-02968-0014,"1347 PROSPECT AVENUE
Bronx, NY
(40.829812178032824, -73.89744128426666)",MORRISANIA/LONGWOOD,C1-WALK-UP,20,1913,14325,186225,13,680000,47.5,0.9,2-03369-0034,"125 233 STREET
Bronx, NY
(40.8797037324041, -73.901284738288)",WOODLAWN,C1-WALK-UP,20,1929,14798,190036,12.84,656000,44.3,3.9
2-02948-0028,"701 CROTONA PARK
Bronx, NY
(40.84219591912022, -73.89408109560947)",CROTONA PARK,C6-WALK-UP,25,1916,17860,218701,12.25,512000,28.7,2-02754-0044,"1145 LONGFELLOW AVENUE
Bronx, NY
(40.82763007430754, -73.88801396036853)",MORRISANIA/LONGWOOD,C1-WALK-UP,25,1915,17270,245091,14.19,895000,52,1,2-03082-0031,"650 182 STREET
Bronx, NY
(40.85108440047094, -73.88838193383748)",EAST TREMONT,C1-WALK-UP,25,1911,17835,218701,12.26,755000,42.3,0.6
2-02961-0015,"757 169 STREET
Bronx, NY
(40.830871349109934, -73.89977098100283)",MORRISANIA/LONGWOOD,C6-WALK-UP,32,1926,26347,320335,12.16,1110000,42.1,2-03225-0169,"2333 LORING PLACE
Bronx, NY
(40.861611275826476, -73.90851272444)",KINGSBRIDGE HTS/UNIV HTS,C7-WALK-UP,26,1927,26556,330091,12.43,1140000,42.9,2.15,2-02998-0166,"985 174 STREET
Bronx, NY
(40.836428279258726, -73.8848780309087)",CROTONA PARK,C7-WALK-UP,28,1931,24750,320512,12.95,1170000,47.3,0.9
2-02962-0044,"1409 PROSPECT AVENUE
Bronx, NY
(40.83230653479862, -73.89666101747062)",MORRISANIA/LONGWOOD,C6-WALK-UP,11,1904,14175,161878,11.42,379000,26.7,2-02754-0061,"1120 BRYANT AVENUE
Bronx, NY
(40.826822836763306, -73.888810796517)",MORRISANIA/LONGWOOD,C4-WALK-UP,11,1910,10030,114601,11.43,395000,39.4,0.6,,,,,,,,,,,,
2-02966-0017,"1500 BOSTON ROAD
Bronx, NY
(40.834951561901086, -73.89404595125656)",CROTONA PARK,C6-WALK-UP,43,1933,30000,312212,10.41,970000,32.3,2-02683-0043,"567 SOUTHERN BOULEVARD
Bronx, NY
(40.81241876142073, -73.90324592498636)",MORRISANIA/LONGWOOD,C7-WALK-UP,41,1907,25926,208548,8.04,488000,18.82,1.6,2-03974-0004,"1410 ROWLAND STREET
Bronx, NY
(40.83789699744085, -73.84576155801867)",WESTCHESTER,C1-WALK-UP,39,1928,32000,312212,9.76,890000,27.8,2.45
2-02967-0006,"1574 BOSTON ROAD
Bronx, NY
(40.83573221556757, -73.89140585524403)",CROTONA PARK,D4-ELEVATOR,54,1929,50000,632154,12.64,1480000,29.6,2-02453-0030,"1210 SHERMAN AVENUE
Bronx, NY
(40.83394461859277, -73.91575865169428)",MELROSE/CONCOURSE,D7-ELEVATOR,56,1938,53000,706835,13.34,2580000,48.7,1.25,2-03197-0001,"2280 GRAND AVENUE
Bronx, NY
(40.82557699997852, -73.91844899972153)",KINGSBRIDGE HTS/UNIV HTS,D7-ELEVATOR,55,1927,53662,632154,11.78,2180000,40.6,1.8
2-02968-0035,"810 RITTER PLACE
Bronx, NY
(40.830850271595146, -73.89844746313217)",MORRISANIA/LONGWOOD,C6-WALK-UP,21,1910,17520,194753,11.12,456000,26,2-02422-0048,"299 162 STREET
Bronx, NY
(40.826180186611026, -73.91678942669984)",MELROSE/CONCOURSE,C1-WALK-UP,21,1910,17550,159556,9.09,412000,23.48,1.05,2-02955-0005,"1912 PROSPECT AVENUE
Bronx, NY
(40.843421401140446, -73.88980294777713)",EAST TREMONT,C1-WALK-UP,21,1910,18250,194753,10.67,605000,33.2,1
2-02985-0023,"1922 CROTONA PARKWAY
Bronx, NY
(40.841576707924695, -73.88544205219551)",EAST TREMONT,D4-ELEVATOR,17,1911,27691,243957,8.81,571000,20.62,2-03214-0080,"2533 AQUEDUCT AVENUE
Bronx, NY
(40.86553520131429, -73.90206874587018)",KINGSBRIDGE HTS/UNIV HTS,D1-ELEVATOR,18,1929,24500,163100,6.66,382000,15.59,1.9,2-03335-0142,"171 MOSHOLU PARKWAY
Bronx, NY
(40.87560603427182, -73.88146926286912)",BEDFORD PARK/NORWOOD,D1-ELEVATOR,18,1923,21000,189875,9.04,542000,25.8,2.35
2-02992-0018,"1898 DALY AVENUE
Bronx, NY
(40.84090147653475, -73.88441762119892)",EAST TREMONT,C6-WALK-UP,16,1993,15840,260295,16.43,1030000,65,2-03077-0050,"2463 HUGHES AVENUE
Bronx, NY
(40.85647324862814, -73.88585763255445)",BELMONT,C1-WALK-UP,16,2004,13520,260295,19.25,1130000,84,1.1,2-03199-0007,"2392 GRAND AVENUE
Bronx, NY
(40.82557699997852, -73.91844899972153)",KINGSBRIDGE HTS/UNIV HTS,C1-WALK-UP,16,2005,15712,302456,19.25,1310000,83,1.8
2-02992-0073,"1883 VYSE AVENUE
Bronx, NY
(40.839548757803456, -73.88393502210386)",EAST TREMONT,C6-WALK-UP,16,1993,15840,260295,16.43,1030000,65,2-03077-0050,"2463 HUGHES AVENUE
Bronx, NY
(40.85647324862814, -73.88585763255445)",BELMONT,C1-WALK-UP,16,2004,13520,260295,19.25,1130000,84,1.1,2-03199-0007,"2392 GRAND AVENUE
Bronx, NY
(40.82557699997852, -73.91844899972153)",KINGSBRIDGE HTS/UNIV HTS,C1-WALK-UP,16,2005,15712,302456,19.25,1310000,83,1.8
2-02998-0145,"1003 174 STREET
Bronx, NY
(40.836161091367636, -73.88411859798565)",CROTONA PARK,C6-WALK-UP,43,1923,28165,320475,11.38,750000,26.6,2-02609-0046,"1175 FULTON AVENUE
Bronx, NY
(40.829668127062035, -73.90520245684763)",MORRISANIA/LONGWOOD,C1-WALK-UP,43,1925,28800,383020,13.3,1400000,48.6,1.2,2-02754-0005,"1134 FARMS ROAD
Bronx, NY
(40.82722285127296, -73.8895463815305)",MORRISANIA/LONGWOOD,C1-WALK-UP,43,1926,30540,320475,10.49,996000,32.6,0.75
2-03010-0004,"1670 LONGFELLOW AVENUE
Bronx, NY
(40.834674504393995, -73.88511321810832)",CROTONA PARK,D4-ELEVATOR,60,1928,66258,534978,8.07,1250000,18.87,2-02453-0045,"1254 SHERMAN AVENUE
Bronx, NY
(40.83455108779677, -73.91539926253637)",MELROSE/CONCOURSE,D1-ELEVATOR,60,1927,60360,372224,6.17,871000,14.43,1.6,2-03909-0081,"1230 TREMONT AVENUE
Bronx, NY
(40.83970896311618, -73.8724248115558)",EAST TREMONT,D1-ELEVATOR,60,1932,62400,534978,8.57,1380000,22.12,0.7
2-03016-0005,"1898 LONGFELLOW AVENUE
Bronx, NY
(40.839101161616846, -73.88208739886875)",EAST TREMONT,C6-WALK-UP,17,1914,19250,176908,9.19,414000,21.51,2-03055-0014,"540 187 STREET
Bronx, NY
(40.85657376686306, -73.88954653431146)",BELMONT,C1-WALK-UP,17,1910,13600,117831,8.66,304000,22.35,1.25,2-03282-0042,"2679 DECATUR AVENUE
Bronx, NY
(40.86444294107542, -73.88930820482072)",BEDFORD PARK/NORWOOD,C1-WALK-UP,17,1912,18839,138137,7.33,323000,17.15,1.85
2-03016-0007,"1900 LONGFELLOW AVENUE
Bronx, NY
(40.83910851940562, -73.882078475593)",EAST TREMONT,C6-WALK-UP,28,1931,27550,222577,8.08,521000,18.91,2-03287-0066,"314 196 STREET
Bronx, NY
(40.86647092744072, -73.8901708632767)",BEDFORD PARK/NORWOOD,C1-WALK-UP,28,1922,27000,208427,7.72,538000,19.93,1.9,2-03346-0017,"3220 PERRY AVENUE
Bronx, NY
(40.875089828219494, -73.87676006037117)",BEDFORD PARK/NORWOOD,C1-WALK-UP,28,1927,25250,216152,8.56,506000,20.04,2.5
2-03030-0143,"2250 WEBSTER AVENUE
Bronx, NY
(40.85540424276108, -73.8960923540169)",BATHGATE,C6-WALK-UP,20,1913,16120,194407,12.06,455000,28.2,2-03050-0089,"509 182 STREET
Bronx, NY
(40.85351751149919, -73.8934981106762)",BATHGATE,C1-WALK-UP,15,1914,11200,154336,13.78,563000,50,0.15,2-03030-0138,"2242 WEBSTER AVENUE
Bronx, NY
(40.85504140373227, -73.89632262356649)",BATHGATE,C1-WALK-UP,25,1916,19500,235197,12.06,811000,41.6,0
2-03035-0048,"463 178 STREET
Bronx, NY
(40.848505008290445, -73.89783092578962)",BATHGATE,D4-ELEVATOR,38,1935,32200,265972,8.26,623000,19.35,2-03046-0003,"2028 WASHINGTON AVENUE
Bronx, NY
(40.82557699997852, -73.91844899972153)",BATHGATE,D1-ELEVATOR,34,1928,29300,214769,7.33,503000,17.17,0.15,,,,,,,,,,,,
2-03038-0046,"4554 PARK AVENUE
Bronx, NY
(40.85589858764452, -73.89431906811966)",BATHGATE,C6-WALK-UP,35,1915,33663,326867,9.71,765000,22.73,2-03050-0008,"2235 BASSFORD AVENUE
Bronx, NY
(40.853977562477745, -73.8934183874378)",BATHGATE,C1-WALK-UP,33,1925,28000,297360,10.62,924000,33,0.15,2-02927-0050,"1485 FULTON AVENUE
Bronx, NY
(40.83634866612074, -73.90075778298512)",BATHGATE,C7-WALK-UP,46,1931,41474,402716,9.71,1040000,25.1,1.4
2-03044-0027,"1993 BATHGATE AVENUE
Bronx, NY
(40.84879050958924, -73.89613002053754)",BATHGATE,C6-WALK-UP,16,1908,15175,154481,10.18,362000,23.86,2-03044-0029,"1991 BATHGATE AVENUE
Bronx, NY
(40.84874765843693, -73.89615421540584)",BATHGATE,C1-WALK-UP,17,1908,15175,130353,8.59,305000,20.1,0,2-02927-0033,"545 ST PAUL'S PLACE
Bronx, NY
(40.83573286961898, -73.90208916243223)",BATHGATE,C7-WALK-UP,20,1928,17020,173277,10.18,447000,26.3,0.9
2-03044-0040,"495 178 STREET
Bronx, NY
(40.84814214919991, -73.89669446945464)",BATHGATE,D4-ELEVATOR,56,1941,55137,351774,6.38,824000,14.94,2-03044-0035,"1975 BATHGATE AVENUE
Bronx, NY
(40.84840484931321, -73.89634777429882)",BATHGATE,D1-ELEVATOR,54,1928,49500,315612,6.38,739000,14.93,0,2-02929-0024,"1605 FULTON AVENUE
Bronx, NY
(40.838930060581916, -73.89930001792655)",BATHGATE,D1-ELEVATOR,49,1928,45444,429194,9.44,1000000,22.01,0.75
2-03045-0019,"2068 BATHGATE AVENUE
Bronx, NY
(40.85030943589351, -73.89518716595535)",BATHGATE,C6-WALK-UP,40,1911,32700,317844,9.72,744000,22.75,2-03031-0069,"4575 PARK AVENUE
Bronx, NY
(40.85678685878994, -73.89418005704759)",BATHGATE,C1-WALK-UP,62,1926,52547,510563,9.72,1460000,27.8,0.5,2-03038-0055,"450 184 STREET
Bronx, NY
(40.85620728374734, -73.89361627969845)",BATHGATE,C1-WALK-UP,47,1926,40715,377738,9.28,1080000,26.5,0.4
2-03047-0014,"490 181 STREET
Bronx, NY
(40.82557699997852, -73.91844899972153)",BATHGATE,C6-WALK-UP,24,1927,26000,235820,9.07,552000,21.23,2-03047-0067,"503 180 STREET
Bronx, NY
(40.85106402056885, -73.89469932665685)",BATHGATE,C1-WALK-UP,21,1911,20050,181791,9.07,519000,25.9,0.05,2-03048-0030,"546 182 STREET
Bronx, NY
(40.853069547130616, -73.89278334161752)",BATHGATE,C1-WALK-UP,25,1913,21200,292136,13.78,1070000,50,0.1
2-03061-0070,"565 178 STREET
Bronx, NY
(40.84740740068527, -73.89418068252056)",EAST TREMONT,C6-WALK-UP,20,1907,16100,185150,11.5,433000,26.9,2-03070-0026,"2119 HUGHES AVENUE
Bronx, NY
(40.84958393892202, -73.89011899405855)",EAST TREMONT,C1-WALK-UP,25,1911,22000,253106,11.5,593000,27,0.2,2-03070-0028,"2115 HUGHES AVENUE
Bronx, NY
(40.849448680909454, -73.89020092920079)",EAST TREMONT,C1-WALK-UP,27,1911,22000,250847,11.4,587000,26.7,0.2
2-03068-0006,"1974 LA FONTAINE AVENUE
Bronx, NY
(40.8470585809831, -73.89397140073956)",EAST TREMONT,C6-WALK-UP,49,1925,46800,538200,11.5,1860000,39.7,2-03070-0026,"2119 HUGHES AVENUE
Bronx, NY
(40.84958393892202, -73.89011899405855)",EAST TREMONT,C1-WALK-UP,25,1911,22000,253106,11.5,593000,27,0.25,2-03070-0028,"2115 HUGHES AVENUE
Bronx, NY
(40.849448680909454, -73.89020092920079)",EAST TREMONT,C1-WALK-UP,27,1911,22000,250847,11.4,587000,26.7,0.25
2-03069-0024,"2089 ARTHUR AVENUE
Bronx, NY
(40.8492155463867, -73.89173891376029)",EAST TREMONT,C6-WALK-UP,72,1925,55920,646994,11.57,1510000,27,2-03110-0063,"786 182 STREET
Bronx, NY
(40.84885932399732, -73.8841263779149)",EAST TREMONT,C1-WALK-UP,52,1924,41550,480893,11.57,1660000,40,0.4,2-03119-0037,"2136 SOUTHERN BOULEVARD
Bronx, NY
(40.84690922465688, -73.88363268363692)",EAST TREMONT,C1-WALK-UP,66,1931,43910,1433595,32.6,6870000,156,0.5
2-03069-0090,"2039 HUGHES AVENUE
Bronx, NY
(40.847947946162385, -73.8911030292157)",EAST TREMONT,D4-ELEVATOR,12,1911,13200,138732,10.51,325000,24.62,2-03061-0032,"2005 MONTEREY AVENUE
Bronx, NY
(40.84776886297071, -73.89466191323608)",EAST TREMONT,D1-ELEVATOR,18,1913,17407,182932,10.51,428000,24.59,0.15,2-03061-0034,"547 MONTEREY AVENUE
Bronx, NY
(40.82557699997852, -73.91844899972153)",EAST TREMONT,D7-ELEVATOR,20,1913,18800,219517,11.68,514000,27.3,0.15
2-03073-0041,"2386 ARTHUR AVENUE
Bronx, NY
(40.855246380614965, -73.88779091887343)",BELMONT,C6-WALK-UP,15,1905,10776,106143,9.85,249000,23.11,2-03078-0010,"2500 ARTHUR AVENUE
Bronx, NY
(40.85757555082069, -73.88581527259753)",BELMONT,C7-WALK-UP,16,1903,13600,154851,11.39,534000,39.3,0.2,2-03086-0007,"643 182 STREET
Bronx, NY
(40.851216932019405, -73.88849698166378)",BELMONT,C7-WALK-UP,17,1907,11232,109224,9.72,312000,27.8,0.2
2-03080-0082,"2076 BELMONT AVENUE
Bronx, NY
(40.84814976712944, -73.8901137069794)",EAST TREMONT,C6-WALK-UP,16,1925,14850,141817,9.55,332000,22.36,2-03080-0038,"2037 BELMONT AVENUE
Bronx, NY
(40.84787590368671, -73.89042106701291)",EAST TREMONT,C1-WALK-UP,17,1909,11629,125843,10.82,295000,25.4,0.05,2-03081-0048,"666 181 STREET
Bronx, NY
(40.82557699997852, -73.91844899972153)",EAST TREMONT,C1-WALK-UP,20,1927,20250,168284,8.31,394000,19.46,0.05
2-03081-0013,"2121 BELMONT AVENUE
Bronx, NY
(40.84922718352818, -73.88943727683987)",EAST TREMONT,C6-WALK-UP,21,1910,17000,183600,10.8,430000,25.3,2-03080-0038,"2037 BELMONT AVENUE
Bronx, NY
(40.84787590368671, -73.89042106701291)",EAST TREMONT,C1-WALK-UP,17,1909,11629,125843,10.82,295000,25.4,0.1,2-03081-0045,"2120 BELMONT AVENUE
Bronx, NY
(40.84920347242967, -73.8893719309378)",EAST TREMONT,C1-WALK-UP,25,1914,18113,184429,10.18,432000,23.85,0.05
2-03081-0042,"2114 BELMONT AVENUE
Bronx, NY
(40.84902802159298, -73.88948319244398)",EAST TREMONT,C6-WALK-UP,16,1927,12200,132370,10.85,310000,25.4,2-03080-0038,"2037 BELMONT AVENUE
Bronx, NY
(40.84787590368671, -73.89042106701291)",EAST TREMONT,C1-WALK-UP,17,1909,11629,125843,10.82,295000,25.4,0.1,2-03111-0040,"2136 MAPES AVENUE
Bronx, NY
(40.84754261029299, -73.8847064210658)",EAST TREMONT,C1-WALK-UP,20,1931,16840,187065,11.11,438000,26,0.25
2-03083-0001,"661 181 STREET
Bronx, NY
(40.82557699997852, -73.91844899972153)",EAST TREMONT,D4-ELEVATOR,281,1959,272000,2937600,10.8,6880000,25.3,2-03138-0001,"999 180 STREET
Bronx, NY
(40.843235160415034, -73.8791946738251)",EAST TREMONT,D1-ELEVATOR,237,1974,276135,3056850,11.07,7160000,25.9,0.65,2-03113-0009,"769 GROTE STREET
Bronx, NY
(40.850670895589055, -73.88400930702491)",BELMONT,D1-ELEVATOR,249,1973,207850,2764094,13.3,6470000,31.1,0.25
2-03083-0045,"2167 CROTONA AVENUE
Bronx, NY
(40.84970066063368, -73.8872654938604)",EAST TREMONT,D4-ELEVATOR,22,1926,21000,210000,10,492000,23.43,2-03129-0029,"2131 VYSE AVENUE
Bronx, NY
(40.844716333165664, -73.87976513410588)",EAST TREMONT,D1-ELEVATOR,20,1931,26700,267330,10.01,626000,23.45,0.5,2-03169-0053,"2075 CRESTON AVENUE
Bronx, NY
(40.853573276560695, -73.90409043383974)",FORDHAM,D7-ELEVATOR,32,1921,29000,290305,10.01,828000,28.6,0.9
2-03090-0049,"684 189 STREET
Bronx, NY
(40.85624141277491, -73.88375597556042)",BELMONT,C6-WALK-UP,37,1928,33984,395913,11.65,1370000,40.3,2-03102-0029,"724 187 STREET
Bronx, NY
(40.8538755682653, -73.88362214002325)",BELMONT,C7-WALK-UP,41,1927,28000,408084,14.57,1490000,53,0.2,2-03115-0001,"751 187 STREET
Bronx, NY
(40.85366469818333, -73.88267540945277)",BELMONT,C7-WALK-UP,31,1931,22500,258473,11.49,892000,39.6,0.1
2-03092-0006,"1974 CROTONA AVENUE
Bronx, NY
(40.84595886451802, -73.89062738892538)",EAST TREMONT,C6-WALK-UP,25,1927,24100,234975,9.75,550000,22.82,2-03096-0052,"2120 CROTONA AVENUE
Bronx, NY
(40.848828938944386, -73.88822348894998)",EAST TREMONT,C1-WALK-UP,35,1914,24540,255131,10.4,793000,32.3,0.2,2-03107-0016,"800 179 STREET
Bronx, NY
(40.84517355137441, -73.88673616680222)",EAST TREMONT,C1-WALK-UP,29,1912,20300,233417,11.5,805000,39.7,0.2
2-03095-0001,"705 179 STREET
Bronx, NY
(40.84673418600808, -73.88977701093172)",EAST TREMONT,C6-WALK-UP,35,1916,30000,292500,9.75,685000,22.83,2-03096-0052,"2120 CROTONA AVENUE
Bronx, NY
(40.848828938944386, -73.88822348894998)",EAST TREMONT,C1-WALK-UP,35,1914,24540,255131,10.4,793000,32.3,0.1,2-03119-0052,"2144 CROTONA PARKWAY
Bronx, NY
(40.84713585039986, -73.88300737552176)",EAST TREMONT,C1-WALK-UP,44,1931,33200,323595,9.75,923000,27.8,0.35
2-03095-0007,"700 OAKLAND PLACE
Bronx, NY
(40.84734181573608, -73.88945310233484)",EAST TREMONT,D4-ELEVATOR,30,1931,25176,245466,9.75,575000,22.84,2-03129-0018,"938 BRONX PARK
Bronx, NY
(40.84574406126421, -73.87987515035022)",EAST TREMONT,D1-ELEVATOR,38,1931,37000,390248,10.55,1210000,32.7,0.45,2-03198-0110,"15 EVELYN PLACE
Bronx, NY
(40.85927089196039, -73.90416964407677)",KINGSBRIDGE HTS/UNIV HTS,D1-ELEVATOR,30,1931,29892,291248,9.74,831000,27.8,1.2
2-03097-0053,"2141 PROSPECT AVENUE
Bronx, NY
(40.84810021476886, -73.88587405630514)",EAST TREMONT,C6-WALK-UP,15,1910,10560,105600,10,247000,23.39,2-03080-0038,"2037 BELMONT AVENUE
Bronx, NY
(40.84787590368671, -73.89042106701291)",EAST TREMONT,C1-WALK-UP,17,1909,11629,125843,10.82,295000,25.4,0.25,2-03119-0058,"2150 CROTONA PARKWAY
Bronx, NY
(40.847212004164334, -73.88296823376224)",EAST TREMONT,C1-WALK-UP,11,1914,9815,94374,9.62,221000,22.52,0.2
