Category,ID,Metric,2030 target,Base data year,Most recent data year,Value in base year,Value in most recent year,Change from base year (if applicable),Arrow Direction,Status for 2012 PlaNYC update,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,Agency,Additional source 1,Additional source 2,Additional source 3
Housing and Neighborhoods,1a1,Increase in new housing units since January 2007,"~314,000",2006,2011,0,"122,969",N/A,Up,Updated,,,,,,,,"* 26,382","* 50,427","* 74,879","* 98,924","* 122,969",,,DCP,,,
Housing and Neighborhoods,1a2,Total units of housing in NYC,Increase,2005,2011,"3,260,856","3,352,041","91,185",Up,Updated,,,"3,208,587",,,"3,260,856",,,"3,328,395",,,"3,352,041",,,DCP,,,
Housing and Neighborhoods,1b1,% of housing affordable to median-income NYC household,Increase,2008,2011,64.10%,60.00%,-4.10%,Down,Updated,,,76.10%,,,68.50%,,,64.10%,,,60.00%,,,HPD,,,
Housing and Neighborhoods,1b2,Vacancy rate of least expensive rental apartments,Increase,2008,2011,0.98%,1.04%,0.06%,Up,Updated,,,1.38%,,,1.91%,,,0.98%,,,1.04%,,,HPD,,,
Housing and Neighborhoods,1c1,% of new units built within a 1/2 mile of transit,> 70%,2007,2011,86.00%,85.50%,-0.5%,Neutral,Updated,,,,,,,,86%,88%,88%,78%,86%,,,DCP,,,
Housing and Neighborhoods,1c2,Residential building energy use per capita (source MMBTU) (3 yr rolling avg),Decrease,2008,2010,50.55735022810682,49.335256918924813,-1.2220933091820072,Neutral,Updated,,,,,,,,* 49.52,* 50.56,* 50.38,* 49.34,,,,OLTPS,,,
Parks and Public Space,2,% of New Yorkers that live within a 1/4 mile of a park ,0.85,2007,2011,70.0%,75.6%,6%,Up,Updated,,,,,,,,70.0%,,,73.0%,75.6%,,,DPR,David Barker,DPR,
Brownfields,3a1,Number of vacant tax lots presumed to be contaminated,Decrease,2009,2011,0,1500-2000,0,Neutral,Updated,,,,,,,,,,,1500-2000,1500-2000,,,OER,,,
Brownfields,3a2,Number of tax lots remediated in NYC annually through the Brownfield Cleanup Program,Increase,2009,2011,0,0,0,Neutral,Updated,,,,,,,,,,,0,0,,,OER,,,
Waterways,4a,Fecal coliform rates in New York Harbor (cells/100mL) (5 yr rolling avg),Decrease below 200,2007,2011,28.12,35.32,* 7.20,Up,Updated,,,,,* 35.54,* 33.98,* 32.06,* 28.12,* 22.88,* 19.22,* 21.06,* 35.32,,,DEP,William Morris,DEP,
