Brooklyn South,2005,2006,2007,2008,2009,Total
60th Precinct,0%,4%,0%,2%,2%,8%
61st Precinct,1%,1%,3%,3%,0%,8%
62nd Precinct,0%,1%,0%,0%,1%,2%
63rd Precinct,1%,0%,0%,0%,1%,2%
66th Precinct,0%,0%,0%,0%,0%,0%
67th Precinct,13%,11%,3%,0%,2%,29%
68th Precinct,1%,1%,1%,2%,2%,7%
69th Precinct,5%,4%,1%,1%,3%,14%
70th Precinct,6%,3%,10%,2%,9%,30%
71st Precinct,6%,7%,2%,1%,4%,20%
72nd Precinct,2%,3%,0%,1%,1%,7%
76th Precinct,3%,1%,0%,1%,1%,6%
78th Precinct,2%,2%,0%,0%,0%,4%
Precincts Total,40%,38%,20%,13%,26%,137%
Task Force,0%,2%,2%,0%,0%,4%
Borough Headquarters,0%,0%,0%,0%,0%,0%
Anti-crime Unit,0%,0%,0%,4%,0%,4%
Impact Response Team,0%,0%,0%,0%,3%,3%
Patrol Borough Brooklyn South Total,40%,40%,22%,17%,29%,148%
Percent of All Subject Officers Against Whom Allegations were Substantiated,13.6%,10.2%,4%,4.6%,8.4%,7.5%
