NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
ALPHABET CITY            ,03 THREE FAMILY HOMES                      ,2,$3200000.00,$3275000.00,$3275000.00,$3350000.00
CHELSEA                  ,01 ONE FAMILY HOMES                        ,1,$3800000.00,$3800000.00,$3800000.00,$3800000.00
CHELSEA                  ,02 TWO FAMILY HOMES                        ,1,$4388888.00,$4388888.00,$4388888.00,$4388888.00
CHELSEA                  ,03 THREE FAMILY HOMES                      ,2,$4280000.00,$4640000.00,$4640000.00,$5000000.00
CHINATOWN                ,02 TWO FAMILY HOMES                        ,1,$9425000.00,$9425000.00,$9425000.00,$9425000.00
EAST VILLAGE             ,01 ONE FAMILY HOMES                        ,1,$5300000.00,$5300000.00,$5300000.00,$5300000.00
EAST VILLAGE             ,02 TWO FAMILY HOMES                        ,1,$3300000.00,$3300000.00,$3300000.00,$3300000.00
FASHION                  ,02 TWO FAMILY HOMES                        ,1,$4125000.00,$4125000.00,$4125000.00,$4125000.00
GRAMERCY                 ,02 TWO FAMILY HOMES                        ,3,$3450000.00,$7630000.00,$6240000.00,$13200000.00
GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY HOMES                        ,1,$5529097.00,$5529097.00,$5529097.00,$5529097.00
GREENWICH VILLAGE-CENTRAL,02 TWO FAMILY HOMES                        ,2,$4575000.00,$5687500.00,$5687500.00,$6800000.00
GREENWICH VILLAGE-CENTRAL,03 THREE FAMILY HOMES                      ,4,$3054750.00,$6888688.00,$5500000.00,$13500000.00
GREENWICH VILLAGE-WEST   ,01 ONE FAMILY HOMES                        ,3,$3525000.00,$10583333.00,$13825000.00,$14400000.00
GREENWICH VILLAGE-WEST   ,02 TWO FAMILY HOMES                        ,9,$4600000.00,$8665000.00,$6500000.00,$17000000.00
GREENWICH VILLAGE-WEST   ,03 THREE FAMILY HOMES                      ,5,$3975000.00,$6140000.00,$4525000.00,$9500000.00
HARLEM-CENTRAL           ,01 ONE FAMILY HOMES                        ,4,$850000.00,$1459250.00,$1368500.00,$2250000.00
HARLEM-CENTRAL           ,02 TWO FAMILY HOMES                        ,12,$271500.00,$1149048.00,$955500.00,$2200000.00
HARLEM-CENTRAL           ,03 THREE FAMILY HOMES                      ,8,$175000.00,$858420.00,$746180.00,$1750000.00
HARLEM-EAST              ,02 TWO FAMILY HOMES                        ,1,$1250000.00,$1250000.00,$1250000.00,$1250000.00
HARLEM-EAST              ,03 THREE FAMILY HOMES                      ,3,$589915.00,$1036638.00,$1100000.00,$1420000.00
