PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1
After-School Programs,Out of School Time,Baychester Center-HS,Bronx,Baychester Youth Council,(718) 325-9484,High School,"1220 229th Street
10466
(40.88459636702252, -73.84273298546154)"
After-School Programs,Out of School Time,Baychester Center- MS,Bronx,Baychester Youth Council,(718) 325-9484,Middle School,"1220 229th Street
10466
(40.88459636702252, -73.84273298546154)"
After-School Programs,Out of School Time,C.E.S. 109 SEDGWICK SCHOOL,Bronx,Bronx Arts Ensemble,(718) 601-7399,Elementary,"1771 Popham Avenue
10453
(40.85138296287355, -73.91861180792235)"
After-School Programs,Out of School Time,Bronx River Center 1,Bronx,"Bronx River Art Center, Inc.",(718) 589-5819,High School,"1087 Tremont Avenue
10460
(40.84006972385026, -73.87771805339278)"
After-School Programs,Out of School Time,C.S. 50 CLARA BARTON SCHOOL,Bronx,"Casita Maria, Inc.",(718) 589-2230,Elementary,"1550 Vyse Ave
10460
(40.83380386816254, -73.88769223705626)"
After-School Programs,Out of School Time,Marble Hill,Bronx,"Childrens Arts & Science Workshops, Inc.",(718) 562-8560,Elementary,"5365 Broadway
10463
(40.87613227500245, -73.90794257582351)"
After-School Programs,Out of School Time,Avenue St. John,Bronx,"Citizens Advice Bureau, Inc.",(718) 401-1227,Elementary,"666 Southern Boulevard
10455
(40.813196493255205, -73.90025458164148)"
After-School Programs,Out of School Time,Girls Club-HS,Bronx,"Citizens Advice Bureau, Inc.",(718) 508-3044,High School,"1130 Grand
Concourse 10456
(40.8304366800088, -73.9077651995043)"
After-School Programs,Out of School Time,CAB-Elem,Bronx,"Citizens Advice Bureau, Inc.",(718) 508-3178,Elementary,"1130 Grand
Concourse 10456
(40.8304366800088, -73.9077651995043)"
After-School Programs,Out of School Time,H.S. 427 COMMUNITY SCHOOL FOR,Bronx,"Citizens Advice Bureau, Inc.",(718) 402-8481,High School,"350 Gerard Avenue
10451
(40.81592907979086, -73.93038870033499)"
After-School Programs,Out of School Time,P.S. 130 ABRAM STEVENS HEWITT,Bronx,"Citizens Advice Bureau, Inc.",(718) 292-3452,Elementary,"750 Prospect Avenue
10455
(40.817645641432385, -73.90243336634529)"
After-School Programs,Out of School Time,Claremont Centers,Bronx,"Claremont Neighborhood Centers, Inc.",(718) 588-1000,High School,"489 169th Street
10456
(40.83300943887456, -73.90573521731622)"
After-School Programs,Out of School Time,I.S. 254,Bronx,Community Association of Progressive Dominicans,(718) 220-8700,Middle School,"2452 Washington Avenue
10458
(40.8587909626625, -73.89024245060607)"
After-School Programs,Out of School Time,P.S./I.S. 31 WILLIAM LLOYD GAR,Bronx,Community Association of Progressive Dominicans,(718) 293-4397,Middle School,"250 156 STREET
10451
(40.82298359886116, -73.9211309650046)"
After-School Programs,Out of School Time,P.S. 72 DR. WILLIAM P. DORNEY,Bronx,"Directions For Our Youth, Inc.",(212) 362-4020,Elementary,"2951 DEWEY AVENUE
10465
(40.822539080023574, -73.81850425419442)"
After-School Programs,Out of School Time,C.I.S./H.S. 670 HEALTH OPPORTU,Bronx,"East Side House, Inc.",(718) 401-1826,High School,"350 Gerard Avenue
10451
(40.81592907979086, -73.93038870033499)"
After-School Programs,Out of School Time,Mill Brook Center,Bronx,"East Side House, Inc.",(718) 585-1254,Elementary,"201 St Ann's Avenue
10454
(40.805947017286975, -73.91814002633369)"
After-School Programs,Out of School Time,Mott Haven Village Prep,Bronx,"East Side House, Inc.",(718) 993-4719,High School,"701 St Ann's Avenue
10455
(40.81836051393385, -73.91100909095124)"
After-School Programs,Out of School Time,P.S. 49 WILLIS AVENUE SCHOOL,Bronx,"East Side House, Inc.",(718) 292-4623,Elementary,"383 139 STREET
10454
(40.81003681928754, -73.92291940124291)"
After-School Programs,Out of School Time,Patterson Center,Bronx,"East Side House, Inc.",(718) 993-2744,Elementary,"340 Morris Avenue
10451
(40.81356923686474, -73.92532170932613)"
After-School Programs,Out of School Time,P.S./M.S. 75 P.S. 75,Bronx,Episcopal Social Services,(718) 328-5626,Elementary,"984 FAILE STREET
10459
(40.822818392634325, -73.88942113898915)"
After-School Programs,Out of School Time,BRONX LAB SCHOOL,Bronx,Federation Employment & Guidance Services (FEGS),(718) 696-3700,High School,"800 Gun Hill Road
10467
(40.875978648353474, -73.8621066953495)"
After-School Programs,Out of School Time,P.S. 291,Bronx,Good Shepherd Services,(718) 563-0473,Elementary,"2195 Andrews Avenue
10453
(40.85943762921713, -73.90921175066248)"
After-School Programs,Out of School Time,P.S. 79 CRESTON SCHOOL,Bronx,Good Shepherd Services,(718) 933-7439,Elementary,"125 181st Street
10453
(40.854878793912164, -73.90342336565232)"
After-School Programs,Out of School Time,School of Science & (X300),Bronx,Good Shepherd Services,(917) 709-1378,Elementary,"2050 PROSPECT AVENUE
10457
(40.84601505288815, -73.8875760252464)"
After-School Programs,Out of School Time,Eastchester Community Center,Bronx,Inwood House,(718) 943-0520,Middle School,"3016 Yates Avenue
10469
(40.86968869307537, -73.8545817263335)"
After-School Programs,Out of School Time,Boys To Men,Bronx,Inwood House,(718) 742-8100,Middle School,"522 Courtland Avenue
10451
(40.81592647019083, -73.91980347212069)"
After-School Programs,Out of School Time,M.S. 399 ELIZABETH BARRET BROW,Bronx,Inwood House,(718) 563-6214,Middle School,"120 184th Street
10468
(40.859718306516946, -73.9001023348563)"
After-School Programs,Out of School Time,P.S. 33 TIMOTHY DWIGHT SCHOOL,Bronx,Inwood House,(718) 563-4268,Elementary,"2424 Jerome Avenue
10468
(40.86194912850306, -73.90165549892143)"
After-School Programs,Out of School Time,x343,Bronx,"Just Us, Inc.",(718) 292-3883,Middle School,"345 Brook Avenue
10454
(40.81004862442692, -73.91782345430987)"
After-School Programs,Out of School Time,C.S. 102 JOSEPH LORETAN SCHOOL,Bronx,Kips Bay Boys & Girls Club,(718) 893-8600,Elementary,"1827 Archer Street
10460
(40.83764441248863, -73.86608075814186)"
After-School Programs,Out of School Time,Kips Bay Boys and Girls Club -,Bronx,Kips Bay Boys & Girls Club,(718) 828-4518,Elementary,"625 Castle Hill Avenue
10473
(40.81966351590638, -73.8482153043378)"
After-School Programs,Out of School Time,P.S. 140 EAGLE SCHOOL,Bronx,Kips Bay Boys & Girls Club,(718) 585-1205,Elementary,"916 Eagle Avenue
10456
(40.8225940875459, -73.90821769281324)"
After-School Programs,Out of School Time,Action Center,Bronx,"Latino Pastoral Action Center, Inc.",(718) 681-2361,High School,"14 170th Street
10452
(40.840099195480995, -73.91742697304375)"
After-School Programs,Out of School Time,C.I.S. 22 JORDAN L. MOTT SCHOOL,Bronx,"Learning Thru An Expanded Arts Program, Inc.",(646) 280-8939,Middle School,"270 167th Street
10456
(40.83322765425807, -73.91408537225458)"
After-School Programs,Out of School Time,Columbus Clubhouse Elem.,Bronx,Madison Square Boys & Girls Club,(718) 733-5500,Elementary,"543 189 Street
10458
(40.858390156400105, -73.88786591803597)"
After-School Programs,Out of School Time,Columbus Clubhouse 1 H.S.,Bronx,Madison Square Boys & Girls Club,(718) 733-5500,High School,"543 189th Street
10458
(40.858390156400105, -73.88786591803597)"
After-School Programs,Out of School Time,Colombus Clubhouse 2 M.S.,Bronx,Madison Square Boys & Girls Club,(718) 733-5500,Middle School,"543 189 Street
10458
(40.858390156400105, -73.88786591803597)"
After-School Programs,Out of School Time,Joel E. Smilow,Bronx,Madison Square Boys & Girls Club,(718) 328-3900,High School,"1665 Hoe Avenue
10460
(40.836095735535444, -73.88743624188753)"
After-School Programs,Out of School Time,Mosholu Center 1 H.S.,Bronx,"Mosholu Montefiore Community Center, Inc.",(718) 882-4000,High School,"3450 Dekalb Avenue
10467
(40.8811069447426, -73.88170846616941)"
After-School Programs,Out of School Time,P.S. 153 HELEN KELLER SCHOOL,Bronx,"Mosholu Montefiore Community Center, Inc.",(917) 482-5030,Elementary,"650 Baychester Ave
10475
(40.87307710549371, -73.83372499824766)"
After-School Programs,Out of School Time,P.S. 160 WALT DISNEY SCHOOL,Bronx,"Mosholu Montefiore Community Center, Inc.",(917) 482-5016,Elementary,"4140 HUTCHINSON RIVER PKWY
10475
(40.86466106194175, -73.8242748469253)"
After-School Programs,Out of School Time,P.S. 21 PHILIP H. SHERIDAN SCHOOL,Bronx,"Mosholu Montefiore Community Center, Inc.",(917) 570-3561,Elementary,"715 225th Street
10466
(40.88782430615607, -73.86044891659131)"
After-School Programs,Out of School Time,P.S. 8 P.S. 008 ISSAC VARIAN,Bronx,"Mosholu Montefiore Community Center, Inc.",(718) 365-3857,Elementary,"3010 Briggs Avenue
10458
(40.87251195855579, -73.88368793320858)"
After-School Programs,Out of School Time,P.S. 94 KINGS COLLEGE SCHOOL,Bronx,"Mosholu Montefiore Community Center, Inc.",(718) 405-6345,Elementary,"3530 KINGS COLLEGE PLACE
10467
(40.880417464175785, -73.87572677578406)"
After-School Programs,Out of School Time,P.S./I.S. 20 GEORGE WERDANN II,Bronx,"Mosholu Montefiore Community Center, Inc.",(718) 325-0764,Elementary,"3050 WEBSTER AVENUE
10467
(40.869978613709804, -73.87875396652446)"
After-School Programs,Out of School Time,P.S./I.S. 95 SHEILA MENCHER SC,Bronx,"Mosholu Montefiore Community Center, Inc.",(718) 548-7680,Elementary,"3961 HILLMAN AVENUE
10463
(40.883162755141505, -73.89107454904517)"
After-School Programs,Out of School Time,Mount Hope Housing After Schoo,Bronx,Mount Hope Housing Company,(718) 585-7133,Elementary,"1822 Davidson Avenue
10453
(40.8492107022485, -73.9123795014778)"
After-School Programs,Out of School Time,P.S. 96 RICHARD RODGERS SCHOOL,Bronx,Neighborhood Initiatives Development Corporation,(718) 231-9800,Elementary,"650 Waring Avenue
10467
(40.86135447490094, -73.86940947575572)"
After-School Programs,Out of School Time,C.E.S. 88 THE SIDNEY SILVERSTE,Bronx,New Settlement Apartments,(718) 538-8051,Elementary,"1340 Sheridan Avenue
10456
(40.83733516081591, -73.91345234189333)"
After-School Programs,Out of School Time,Apartments,Bronx,New Settlement Apartments,(718) 716-8000,Elementary,"1512 Townsend Avenue
10452
(40.842289963686326, -73.9150263058931)"
