Borough,Facility Name,Street Address,City,State,Zip Code,Phone Number(s),Comments
Bronx,Rider,305 Rider Avenue,Bronx,NY,10451,718-742-3811/718-742-3924,Applicants / participants must enter the building at 300 Canal Place.
Bronx,Crotona,1910 Monterey Avenue,Bronx,NY,10457,718-901-0201/718-901-5596,
Bronx,Melrose,260 East 161st Street,Bronx,NY,10451,718-664-2143/718-664-1140,
Bronx,Fordham,2541-2549 Bainbridge Ave.,Bronx,NY,10458,718-220-6622/718-220-7012,
Bronx,Family Services Call Center,260 East 161st Street,Bronx,NY,10451,718-664-1056/718-883-8296,Primarily handles face to face recertifications and emergency walk-in activities for the Family Call Center's active child only cases whose payees are not in receipt of cash assistance
Brooklyn,Veterans' Service Center ,25 Chapel Street,Brooklyn,NY,11201,718-473-8313/718-222-2430,Primarily services cash assistance recipient cases in which at least one household member is a Veteran.
Brooklyn,Coney Island,3050 West 21st Street,Brooklyn,NY,11224,718-333-3100/718-333-3014,Telephone line is temporary out of order due to hurricane Sandy. At this time a temporary phone number has been establish for Coney Island (718) 637-2554.
Brooklyn,Dekalb,500 Dekalb Avenue,Brooklyn,NY,11205,718-636-2626/718-636-2495,
Brooklyn,Bushwick ,30 Thornton Street,Brooklyn,NY,11206,718-963-5120/718-963-5117,
Brooklyn,Clinton Hill Center #67,495 Clermont Ave,Brooklyn,NY,11238,929-221-0922/929-221-2809,
Brooklyn,Bayridge,6740 Fourth Avenue,Brooklyn,NY,11220,718-921-2084/718-921-2000,
Brooklyn,Family Services Call Center Brooklyn Satellite,275 Bergen Street 1st Floor,Brooklyn,NY,11217,718-694-8647/718-883-8296,Primarily handles face to face recertifications and emergency walk-in activities for the Family Call Center's active child only cases whose payees are not in receipt of cash assistance
Brooklyn,Refugee,88 3rd Ave 1st Floor,Brooklyn,NY,11217,718-250-4443/718-250-4040,
Manhattan,Waverly ,12 West 14th Street,New York,NY,10011,212-620-9890/212-620-9421,
Manhattan,East End,2322 Third Avenue,New York,NY,10035,212-860-2749/212-860-6801,
Manhattan,Union Square ,109 E. 16th Street,New York,NY,10003,212-835-8300/212-835-7361,Primarily serves individuals identified as having significant barriers to employment and needing specialized services.
Manhattan,Intensive Services Center ,109 E. 16th Street,New York,NY,10003,212-835-8261/212-835-7682,Primarily services active cases not engaged in employment or related activities.
Manhattan,Residential Treatment Service Center,109 E. 16th Street,New York,NY,10003,212-835-7937/212-835-7671,
Manhattan,Family Services Call Center Manhattan Satellite,132 W. 125th Street,New York,NY,10027,212-666-7566/718-883-8296,Primarily handles face to face recertifications and emergency walk-in activities for the Family Call Center’s active child only cases whose payees are not in receipt of cash assistance.
Manhattan,St. Nicholas Job Center,132 W. 125th Street,New York,NY,10027,212-666-5678/212-666-5576,Primarily serves SNCA individuals who reside in targeted zip codes associated with the Melrose and Rider Job Centers
Manhattan,Dyckman,4055 10th Avenue,New York,NY,10034,212-569-9543/212-569-9626,
Manhattan,Senior Works Center,109 E. 16th Street,New York,NY,10003,212-835-8445/212-835-7691,Primarily services public assistance recipients who are age 60 or over.
Queens,Family Service Call Center,"165-08 88th Avenue, 5th Floor",Jamaica,NY,11432,718-752-3937/718-883-8296,Primarily a mail and phone operation servicing active child only cases whose payees are not in receipt of cash assistance.
Queens,Jamaica,165-08 88th Avenue,Jamaica,NY,11432,718-523-2146/718-883-8250,
Queens,Queens ,34-00 Northern Blvd,LIC,NY,11101,718-752-7017/718-784-5919,
Queens,East River,One Honeywell Street,LIC,NY,11101,"718-784-2922/718-752-7001
","The East River Job Center serves homeless individuals and families citywide, by conducting application interviews; executing eligibility determinations; offering employment services; affording linkages to employment; and, working collaboratively with the Department of Homeless Services (DHS)."
Queens,Rockaway,219 Beach 59th St,Rockaway,NY,11692,718-637-2144/718-637-2140,
Queens,Family Services Call Center Queens Satellite,34-00 Northern Blvd.,LIC,NY,11101,718-610-2927/718-883-8296,Primarily handles face to face recertifications and emergency walk-in activities for the Family Call Center's active child only cases whose payees are not in receipt of cash assistance.
Staten Island,Richmond,201 Bay Street,S.I.,NY,10301,718-556-7334/718-390-5103,
,,,,NY,,,
