BN,SCHOOL NAME,PROGRESS REPORT TYPE,2009-10 PROGRESS REPORT GRADE,2008-09 PROGRESS REPORT GRADE,2007-08 PROGRESS REPORT GRADE,2006-07 PROGRESS REPORT GRADE
K567,Brooklyn Theatre Arts High School,HS,None,None,None,None
K568,Brownsville Academy High School,HS,None,None,None,B
K568,Brownsville Academy High School,HST,B,A,B,None
K569,Kurt Hahn Expeditionary Learning School,HS,None,None,None,None
K571,M.S. 571,EMS,D,B,B,C
K572,Expeditionary Learning School for Community Leader,HS,None,None,None,None
K575,Bedford Stuyvesant Preparatory High School,HS,None,None,None,B
K575,Bedford Stuyvesant Preparatory High School,HST,B,A,B,None
K576,Victory Collegiate High School,HS,None,None,None,None
K577,Conselyea Preparatory School,EMS,B,A,B,A
K578,Brooklyn Bridge Academy,HST,C,C,None,None
K581,East Flatbush Community Research School,EMS,C,A,None,None
K582,M.S. 582,EMS,B,A,D,C
K583,Multicultural High School,HS,None,None,None,None
K584,M.S. 584,EMS,C,A,B,B
K585,Brooklyn Comprehensive Night High School,HS,None,None,None,F
K585,Brooklyn Comprehensive Night High School,HST,None,None,None,None
K586,Lyons Community School,EMS,C,A,None,None
K586,Lyons Community School,HS,None,None,None,None
K587,Middle School for the Arts,EMS,C,A,C,C
K588,Middle School for Art and Philosophy,EMS,C,A,None,None
K589,Arts & Media Preparatory Academy,HS,None,None,None,None
K590,Medgar Evers College Preparatory School,EMS,B,A,C,C
K590,Medgar Evers College Preparatory School,HS,B,A,B,B
K592,Khalil Gibran International Academy,EMS,C,A,None,None
K593,Excellence Charter School of Bedford Stuyvesant,EMS,C,A,A,None
K594,Gotham Professional Arts Academy,HS,None,None,None,None
K595,Bedford Academy High School,HS,A,A,A,A
K596,Knowledge and Power Preparatory Academy VII Middle,EMS,D,C,None,None
K598,Middle School of Marketing and Legal Studies,EMS,C,A,None,None
K600,Clara Barton High School,HS,C,B,B,B
K605,George Westinghouse Career and Technical Education,HS,D,B,B,C
K608,Kings Collegiate Charter School,EMS,A,A,None,None
K609,Urban Assembly School for Criminal Justice,EMS,B,A,None,None
K610,Automotive High School,HS,C,B,B,F
K614,Young Women's Leadership School of Brooklyn,EMS,C,None,None,None
K615,Transit Tech Career and Technical Education High S,HS,B,B,B,B
K616,Brooklyn High School for Leadership and Community ,HST,C,None,None,None
K617,High School for Innovation in Advertising and Medi,HS,None,None,None,None
K618,Academy of Innovative Technology,HS,None,None,None,None
K620,William E. Grady Career and Technical Education Hi,HS,D,C,B,C
K625,Paul Robeson High School,HS,C,C,C,C
K627,Brighter Choice Community School,EC,D,None,None,None
K629,Cultural Academy for the Arts and Sciences,HS,None,None,None,None
K631,General D. Chappie James Elementary School of Scie,EMS,D,None,None,None
K632,Frances Perkins Academy,HS,None,None,None,None
K633,High School for Medical Professions,HS,None,None,None,None
K634,General D. Chappie James Middle School of Science,EMS,D,None,None,None
K635,Olympus Academy,HST,None,None,None,None
K636,Young Scholars' Academy for Discovery and Explorat,EMS,A,None,None,None
K637,Academy for Conservation and the Environment,HS,None,None,None,None
K639,Brooklyn Lab School,HS,None,None,None,None
K642,Urban Action Academy,HS,None,None,None,None
K643,Brooklyn Democracy Academy,HST,A,None,None,None
K644,Eagle Academy for Young Men II,EMS,A,None,None,None
K645,EBC/ENY High School for Public Safety & Law,HS,None,None,None,D
K646,Aspirations Diploma Plus High School,HST,F,None,None,None
K647,Metropolitan Diploma Plus High School,HST,C,None,None,None
K648,Bedford Stuyvesant Collegiate Charter School,EMS,A,None,None,None
K652,Brooklyn Ascend Charter School,EC,B,None,None,None
K656,Brooklyn High School of the Arts,HS,C,B,B,C
K657,Region 8 YABC,YABC,C,None,None,None
K658,Franklin Delano Roosevelt YABC,YABC,A,None,None,None
K659,Cypress Hills Collegiate Preparatory School,HS,F,None,None,None
K660,W. H. Maxwell Career and Technical Education High ,HS,B,D,D,F
K667,SUNSET PARK HIGH SCHOOL,HS,None,None,None,None
K670,Benjamin Banneker Academy,HS,B,B,A,B
K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,HST,None,None,None,None
K674,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHI",HS,None,None,None,None
K676,RED HOOK NEIGHBORHOOD SCHOOL,EC,None,None,None,None
K677,EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE,EC,None,None,None,None
K678,EAST NEW YORK MIDDLE SCHOOL OF EXCELLENCE,EMS,None,None,None,None
K683,"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, W",HS,None,None,None,None
K685,El Puente Academy for Peace and Justice,HS,A,A,A,B
K688,The Brooklyn Academy of Global Finance,HS,None,None,None,None
K690,Brooklyn Studio Secondary School,EMS,A,A,A,B
K690,Brooklyn Studio Secondary School,HS,A,B,B,B
K693,Believe Northside Charter High School,HS,None,None,None,None
K694,Believe Southside Charter High School,HS,None,None,None,None
K697,Teachers Preparatory High School,EMS,C,A,A,B
K697,Teachers Preparatory High School,HS,A,A,A,B
K698,South Brooklyn Community High School,HS,None,None,None,B
K698,South Brooklyn Community High School,HST,C,C,B,None
K701,Brooklyn Charter School,EMS,D,C,A,B
K702,Community Partnership Charter,EMS,B,A,B,None
K703,Beginning With Children Charter School,EMS,C,B,B,B
K704,Explore Charter School,EMS,B,A,A,B
K707,Brooklyn Prospect Charter School,EMS,None,None,None,None
K710,Brownsville Collegiate Charter School,EMS,None,None,None,None
K726,Fahari Academy Charter School,EMS,None,None,None,None
K728,Liberation Diploma Plus,HST,A,A,None,None
K730,Summit Academy Charter School,EMS,None,None,None,None
K731,Brooklyn Excelsior Charter,EMS,A,A,A,None
K740,Brooklyn Scholars Charter School,EMS,None,None,None,None
K744,Coney Island Preparatory Public Charter School,EMS,None,None,None,None
K771,P.S. K771,D75,A,None,None,None
K821,Sunset Park Prep,EMS,A,A,B,A
K922,South Shore Educational Complex YABC,YABC,C,None,None,None
K923,Automotive High School YABC,YABC,B,None,None,None
M001,P.S. 001 Alfred E. Smith,EMS,B,B,B,C
M002,P.S. 002 Meyer London,EMS,A,A,A,B
M003,P.S. 003 Charrette School,EMS,B,A,B,B
M004,P.S. 004 Duke Ellington,EMS,B,A,B,B
M005,P.S. 005 Ellen Lurie,EMS,B,A,A,B
M006,P.S. 006 Lillie D. Blake,EMS,B,A,B,B
M007,P.S. 007 Samuel Stern,EMS,A,A,B,F
M008,P.S. 008 Luis Belliard,EMS,A,A,A,C
M009,P.S. 009 Sarah Anderson,EMS,B,A,B,A
M011,P.S. 011 William T. Harris,EMS,A,A,B,C
M012,Tag Young Scholars,EMS,A,A,B,B
M013,J.H.S. 013 Jackie Robinson,EMS,C,A,B,F
M015,P.S. 015 Roberto Clemente,EMS,C,B,D,B
M018,P.S. 018 Park Terrace,EMS,B,A,B,B
M019,P.S. 019 Asher Levy,EMS,C,A,B,B
M020,P.S. 020 Anna Silver,EMS,A,A,A,B
M028,P.S. 028 Wright Brothers,EMS,A,A,A,C
M030,P.S. 030 Hernandez/Hughes,EMS,A,A,B,A
M033,P.S. 033 Chelsea Prep,EMS,A,A,A,F
M034,P.S. 034 Franklin D. Roosevelt,EMS,B,A,B,C
M036,P.S. 036 Margaret Douglas,EC,B,None,None,None
M037,River East Elementary,EMS,B,A,B,B
M038,P.S. 38 Roberto Clemente,EMS,C,A,C,C
M040,P.S. 040 Augustus Saint-Gaudens,EMS,A,A,B,A
M041,P.S. 041 Greenwich Village,EMS,B,A,A,B
M042,P.S. 042 Benjamin Altman,EMS,A,A,A,B
M044,J.H.S. M044 William J. O'Shea,EMS,None,None,D,B
M045,M.S. 45/S.T.A.R.S. Prep Academy,EMS,C,B,B,F
M046,P.S. 046 Arthur Tappan,EMS,C,A,B,A
M047,47 The American Sign Language and English Secondar,EMS,None,None,B,F
M047,47 The American Sign Language and English Secondar,HS,A,A,B,F
M048,P.S. 048 P.O. Michael J. Buczek,EMS,B,A,A,B
M050,P.S. 050 Vito Marcantonio,EMS,C,A,B,C
M051,P.S. 051 Elias Howe,EMS,B,A,A,B
M052,J.H.S. 052 Inwood,EMS,A,A,B,B
M054,J.H.S. 054 Booker T. Washington,EMS,B,A,C,A
M057,James Weldon Johnson,EMS,A,A,A,B
M059,P.S. 059 Beekman Hill International,EMS,B,A,C,B
M063,P.S. 063 William McKinley,EMS,B,B,F,C
M064,P.S. 064 Robert Simon,EMS,C,A,A,C
M072,The Lexington Academy,EMS,A,A,A,C
M075,P.S. 075 Emily Dickinson,EMS,C,A,B,B
M076,P.S. 076 A. Philip Randolph,EMS,C,A,B,C
M077,P.S. 77 Lower Lab School,EMS,A,A,A,A
M083,P.S. 083 Luis Munoz Rivera,EMS,A,A,A,B
M084,P.S. 084 Lillian Weber,EMS,C,A,B,C
M087,P.S. 087 William Sherman,EMS,B,A,B,B
M089,P.S. 89,EMS,B,A,B,C
M092,P.S. 092 Mary McLeod Bethune,EMS,B,B,B,C
M094,P.S. M094,D75,C,None,None,None
M096,P.S. 096 Joseph Lanzetta,EMS,C,A,B,B
M098,P.S. 098 Shorac Kappock,EMS,B,A,B,C
M101,P.S. 101 Andrew Draper,EMS,None,None,None,F
M102,P.S. 102 Jacques Cartier,EMS,A,B,A,C
M104,J.H.S. 104 Simon Baruch,EMS,B,A,B,B
M108,P.S. 108 Assemblyman Angelo Del Toro Educational C,EMS,B,A,A,A
M110,P.S. 110 Florence Nightingale,EMS,D,B,C,B
M111,P.S. 111 Adolph S. Ochs,EMS,B,A,B,A
M112,P.S. 112 Jose Celso Barbosa,EC,B,None,None,None
M114,East Side Middle School,EMS,A,A,B,A
M115,P.S. 115 Alexander Humboldt,EMS,C,A,B,B
M116,P.S. 116 Mary Lindley Murray,EMS,B,A,C,A
M117,Tito Puente Education Complex,EMS,None,None,None,D
M123,P.S. 123 Mahalia Jackson,EMS,C,A,B,B
M124,P.S. 124 Yung Wing,EMS,A,A,A,A
M125,P.S. 125 Ralph Bunche,EMS,B,A,B,C
M126,P.S. 126 Jacob August Riis,EMS,A,A,A,C
M128,P.S. 128 Audubon,EMS,B,A,A,B
M129,P.S. 129 John H. Finley,EMS,B,A,A,A
M130,P.S. 130 Hernando De Soto,EMS,A,A,A,A
M131,M.S. 131,EMS,B,A,A,B
M132,P.S. 132 Juan Pablo Duarte,EMS,B,A,B,B
M133,P.S. 133 Fred R Moore,EMS,C,A,B,C
M134,P.S. 134 Henrietta Szold,EMS,B,B,B,B
M137,P.S. 137 John L. Bernstein,EMS,C,A,B,B
M138,P.S. 138,D75,A,None,None,None
M140,P.S. 140 Nathan Straus,EMS,B,A,B,B
M142,P.S. 142 Amalia Castro,EMS,B,A,A,C
M143,J.H.S. 143 Eleanor Roosevelt,EMS,B,A,B,C
M145,"P.S. 145, The Bloomingdale School",EMS,B,A,B,B
M146,P.S. 146 Ann M. Short,EMS,C,A,B,C
M149,P.S. 149 Sojourner Truth,EMS,B,A,C,C
M150,P.S. 150,EMS,B,A,A,C
M152,P.S. 152 Dyckman Valley,EMS,B,A,A,B
M153,P.S. 153 Adam Clayton Powell,EMS,A,A,A,A
M154,P.S. 154 Harriet Tubman,EMS,C,A,B,C
M155,P.S. 155 William Paca,EMS,B,A,A,A
M158,P.S. 158 Bayard Taylor,EMS,A,A,B,B
M161,P.S. 161 Pedro Albizu Campos,EMS,B,A,A,B
M163,P.S. 163 Alfred E. Smith,EMS,C,A,B,B
M165,P.S. 165 Robert E. Simon,EMS,B,A,B,A
M166,P.S. 166 The Richard Rodgers School of The Arts an,EMS,D,B,B,C
M167,J.H.S. 167 Robert F. Wagner,EMS,B,A,B,C
M169,P.S. M169 - Robert F. Kennedy,D75,D,None,None,None
M171,P.S. 171 Patrick Henry,EMS,A,A,B,A
M172,Powell M.S. For Law & Social Justicice,EMS,None,None,None,None
M173,P.S. 173,EMS,B,A,C,B
M175,P.S. 175 Henry H Garnet,EMS,B,C,C,B
M178,Professor Juan Bosch Public School,EC,B,None,None,None
M180,P.S. 180 Hugo Newman,EMS,C,A,B,A
M182,The Bilingual Bicultural School,EMS,A,A,A,A
M183,P.S. 183 Robert L. Stevenson,EMS,B,A,A,A
M184,P.S. 184m Shuang Wen,EMS,A,A,A,B
M185,P.S. 185 John M. Langston,EC,C,None,None,None
M187,P.S./I.S. 187 Hudson Cliffs,EMS,A,A,B,B
M188,P.S. 188 The Island School,EMS,C,A,A,A
M189,P.S. 189,EMS,A,A,B,C
M191,P.S. 191 Amsterdam,EMS,C,A,B,A
M192,P.S. 192 Jacob H. Schiff,EMS,C,A,A,B
M194,P.S. 194 Countee Cullen,EMS,C,A,D,F
M195,I.S. 195 Roberto Clemente,EMS,D,B,B,C
M197,P.S. 197 John B. Russwurm,EMS,B,A,C,B
M198,P.S. 198 Isador E. Ida Straus,EMS,B,B,B,C
M199,P.S. 199 Jessie Isador Straus,EMS,A,A,A,A
M200,P.S. 200- The James Mccune Smith School,EMS,B,A,B,B
M206,P.S. 206 Jose Celso Barbosa,EMS,C,A,B,D
M208,P.S. 208 Alain L. Locke,EMS,C,A,B,B
M210,P.S./I.S. 210 - Twenty-first Century Academy for C,EMS,B,A,A,C
M212,P.S. 212 Midtown West,EMS,A,A,A,A
M217,P.S./I.S. 217 Roosevelt Island,EMS,B,B,C,B
M218,I.S. 218 Salome Urena,EMS,B,A,B,C
M223,The Mott Hall School,EMS,A,A,A,A
M224,M.S. 224 Manhattan East School for Arts & Academic,EMS,C,B,B,C
M225,Ella Baker School,EMS,B,A,C,B
M234,P.S. 234 Independence School,EMS,B,A,A,B
M241,P.S. 241 Family Academy,EMS,C,A,D,B
M242,P.S. M242 - Gwendolyn Powell Brown Computer School,EMS,C,A,C,C
M243,M.S. 243 Center School,EMS,B,A,A,D
M245,M.S. M245 The Computer School,EMS,B,A,A,B
M246,M.S. M246 Crossroads School,EMS,None,None,None,C
M247,M.S. M247 Dual Language Middle School,EMS,A,A,A,A
M250,M.S. 250 West Side Collaborative Middle School,EMS,A,A,A,A
M255,M.S. 255 Salk School of Science,EMS,B,B,B,C
M256,M.S. 256 Academic & Athletic Excellence,EMS,C,A,B,A
M258,Community Action School - MS 258,EMS,A,A,A,A
M260,M.S. 260 Clinton School Writers & Artists,EMS,A,A,A,A
M278,Paula Hedbavny School,EMS,B,A,A,A
M279,The Opportunity Charter School,EMS,C,A,C,None
M279,The Opportunity Charter School,HS,None,None,None,None
M283,Manhattan Theatre Lab High School,HS,C,B,F,None
M284,Harlem Children's Zone/Promise Academy Charter Sch,EMS,B,B,A,A
M284,Harlem Children's Zone/Promise Academy Charter Sch,HS,None,None,None,None
M285,Harlem Renaissance High School,HST,C,D,C,None
M286,I.S. M286 Renaissance Military Leadership Academy,EMS,C,A,B,F
M288,Food and Finance High School,HS,A,A,A,None
M289,I.S. 289,EMS,B,B,A,D
M290,P.S. 290 Manhattan New School,EMS,A,A,A,A
M292,Henry Street School for International Studies,EMS,C,B,C,B
M292,Henry Street School for International Studies,HS,D,B,B,None
M293,City College Academy of the Arts,EMS,A,A,A,B
M293,City College Academy of the Arts,HS,None,None,None,None
M294,Essex Street Academy,HS,A,A,A,None
M296,High School of Hospitality Management,HS,A,A,A,None
M298,Pace High School,HS,A,A,A,None
M299,"High School for Arts, Imagination and Inquiry",HS,B,B,None,None
M300,"Urban Assembly School of Design and Construction, ",HS,B,A,B,None
M301,"Technology, Arts, and Sciences Studio",EMS,C,A,C,B
M302,KAPPA IV,EMS,B,A,B,A
M303,"Facing History School, The",HS,B,A,None,None
M304,Mott Hall High School,HS,B,C,B,None
M305,"Urban Assembly Academy of Government and Law, The",HS,B,B,None,None
M307,"Urban Assembly School for Media Studies, The",HS,A,C,B,None
M308,Lower Manhattan Arts Academy,HS,A,A,None,None
M311,Amistad Dual Language School,EMS,A,A,B,A
M312,New York City Lab Middle School for Collaborative ,EMS,A,A,A,A
M313,"James Baldwin School, The: A School for Expedition",HST,D,B,None,None
M314,Muscota,EMS,B,A,B,F
M315,The East Village Community School,EMS,C,A,B,A
M316,"Urban Assembly School of Business for Young Women,",HS,B,A,None,None
M317,Kappa II,EMS,D,D,C,B
M318,Thurgood Marshall Academy Lower School,EMS,C,B,None,None
M319,M.S. 319 - Maria Teresa,EMS,A,A,A,A
M320,Manhattan Charter School,EMS,B,None,None,None
M321,M.S. 321 - Minerva,EMS,None,None,D,B
M322,Middle School 322,EMS,B,A,A,B
M324,M.S. 324 - Patria Mirabal,EMS,A,A,A,A
M325,P.S. 325,EMS,C,A,B,C
M326,M.S. 326 - Writers Today & Leaders Tomorrow,EMS,A,A,A,C
M328,M.S. 328 - Manhattan Middle School for Scientific ,EMS,B,A,B,A
M329,Harlem Link Charter School,EMS,D,F,None,None
M330,Girls Preparatory Charter School of New York,EMS,C,A,None,None
M332,University Neighborhood Middle School,EMS,B,A,B,C
M333,P.S. 333 Manhattan School for Children,EMS,C,B,C,A
M334,The Anderson School,EMS,A,A,A,A
M335,Leadership Village Academy Charter School,EMS,A,A,A,None
M335,Leadership Village Academy Charter School,HS,None,None,None,None
M336,Kipp Infinity Charter School,EMS,A,A,A,A
M336,Kipp Infinity Charter School,HS,None,None,None,None
M341,Harlem Children's Zone/Promise Academy II,EMS,C,B,None,None
M344,Academy of Collaborative Education,EMS,F,D,C,None
M345,"Collaborative Academy of Science, Technology, & La",EMS,B,A,B,None
M346,Community Health Academy of the Heights,EMS,C,A,B,None
M346,Community Health Academy of the Heights,HS,None,None,None,None
M347,The 47 American Sign Language & English Lower Scho,EMS,B,A,D,C
M348,Washington Heights Expeditionary Learning School,EMS,B,A,B,None
M348,Washington Heights Expeditionary Learning School,HS,None,None,None,None
M349,Harbor Heights,EMS,A,A,C,C
M350,Democracy Prep Charter School,EMS,A,A,A,None
M350,Democracy Prep Charter School,HS,None,None,None,None
M351,Harlem Success Academy 1 Charter School,EMS,A,None,None,None
M353,New Heights Academy Charter School,EMS,C,A,A,None
M353,New Heights Academy Charter School,HS,A,None,None,None
M355,Ross Global Academy Charter School,EMS,C,A,B,None
M361,The Children's Workshop School,EMS,C,B,B,B
M362,Columbia Secondary School,EMS,C,A,None,None
M363,Neighborhood School,EMS,C,B,D,B
M364,Earth School,EMS,D,B,A,B
M366,Washington Heights Academy,EMS,B,F,None,None
M367,Academy for Social Action: A College Board School,EMS,B,C,None,None
M367,Academy for Social Action: A College Board School,HS,None,None,None,None
M368,Hamilton Heights School,EMS,C,A,None,None
M369,Urban Assembly School for the Performing Arts,HS,A,None,None,None
M372,ESPERANZA PREPARATORY ACADEMY,EMS,A,None,None,None
M374,Gramercy Arts High School,HS,B,None,None,None
M375,Mosaic Preparatory Academy,EMS,B,None,None,None
M376,NYC iSchool,HS,None,None,None,None
M377,Renaissance School of the Arts,EMS,A,None,None,None
M378,School for Global Leaders,EMS,B,None,None,None
M381,Global Neighborhood Secondary School,EMS,C,None,None,None
M388,St. HOPE Leadership Academy Charter School,EMS,B,None,None,None
M392,MANHATTAN BUSINESS ACADEMY,HS,None,None,None,None
M393,BUSINESS OF SPORTS SCHOOL,HS,None,None,None,None
M394,EMMA LAZARUS HIGH SCHOOL,HST,None,None,None,None
M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,HS,None,None,None,None
M400,High School for Environmental Studies,HS,B,B,B,B
M402,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,HS,None,None,None,None
M403,THE GLOBAL LEARNING COLLABORATIVE,HS,None,None,None,None
M404,INNOVATION DIPLOMA PLUS,HST,None,None,None,None
M406,GLOBAL TECHNOLOGY PREPARATORY,EMS,None,None,None,None
M407,Institute for Collaborative Education,EMS,C,B,C,B
M407,Institute for Collaborative Education,HS,B,A,A,B
M408,Professional Performing Arts High School,EMS,A,B,A,B
M408,Professional Performing Arts High School,HS,A,A,A,B
M409,Coalition School for Social Change,HS,C,C,C,C
M410,THE URBAN ASSEMBLY INSTITUTE FOR NEW TECHNOLOGIES,EMS,None,None,None,None
M411,Baruch College Campus High School,HS,A,A,A,A
M412,N.Y.C. Lab School for Collaborative Studies,HS,A,A,A,A
M413,School of the Future High School,EMS,B,A,B,B
M413,School of the Future High School,HS,A,A,A,B
M414,N.Y.C. Museum School,HS,A,A,A,A
M415,Wadleigh Secondary School for the Performing & Vis,EMS,C,A,B,B
M415,Wadleigh Secondary School for the Performing & Vis,HS,B,A,A,A
M416,Eleanor Roosevelt High School,HS,A,A,A,A
M418,Millennium High School,HS,A,A,A,B
M419,Landmark High School,HS,C,C,B,A
M420,High School for Health Professions and Human Servi,HS,C,C,B,C
M421,WEST PREP ACADEMY,EMS,None,None,None,None
M422,Quest to Learn,EMS,None,None,None,None
M423,High School for Excellence and Innovation,HST,None,None,None,None
M425,Leadership and Public Service High School,HS,B,C,C,F
M429,Legacy School for Integrated Studies,HS,C,D,C,F
M430,The Equity Project Charter School (TEP),EMS,None,None,None,None
M435,Manhattan Center for Science and Mathematics,HS,B,B,B,A
M439,Manhattan Village Academy,HS,A,A,A,A
M440,Bayard Rustin Educational Complex,HS,None,None,F,None
M442,"Ballet Tech, NYC Public School for Dance",EMS,C,A,B,A
M448,University Neighborhood High School,HS,C,D,B,B
M449,Vanguard High School,HS,C,A,A,B
M450,East Side Community School,EMS,A,A,A,A
M450,East Side Community School,HS,A,A,A,A
M457,George Washington YABC,YABC,A,None,None,None
M459,Manhattan International High School,HS,A,A,B,B
M460,Washington Irving High School,HS,C,C,F,F
M462,High School for International Business and Finance,HS,A,A,A,A
M463,High School for Media and Communications,HS,B,B,A,A
M467,High School for Law and Public Service,HS,A,A,A,A
M468,High School for Health Careers and Sciences,HS,B,A,A,A
M469,Choir Academy of Harlem,EMS,C,A,B,C
M469,Choir Academy of Harlem,HS,B,D,C,D
M470,Louis D. Brandeis High School,HS,None,None,D,C
M473,Washington Irving YABC,YABC,B,None,None,None
M475,Stuyvesant High School,HS,A,A,A,A
M479,Beacon High School,HS,A,A,A,B
M485,Fiorello H. LaGuardia High School of Music & Art a,HS,A,A,A,A
M489,High School of Economics and Finance,HS,C,B,B,B
M492,"High School for Law, Advocacy and Community Justic",HS,A,A,B,C
M494,High School of Arts and Technology,HS,B,A,A,B
M495,Park East High School,HS,A,A,A,B
M497,Central Park East I,EMS,C,A,B,D
M499,Frederick Douglass Academy,EMS,C,A,C,A
M499,Frederick Douglass Academy,HS,D,C,B,B
M500,Unity Center for Urban Technologies,HS,A,A,B,C
M505,Edward A. Reynolds West Side High School,HS,None,None,None,B
M505,Edward A. Reynolds West Side High School,HST,B,B,B,None
M509,Marta Valle High School,EMS,None,None,None,D
M509,Marta Valle High School,HS,B,B,B,C
M515,Lower East Side Preparatory High School,HS,None,None,None,A
M515,Lower East Side Preparatory High School,HST,A,A,A,None
M519,Talent Unlimited High School,HS,A,A,A,B
M520,Murry Bergtraum High School for Business Careers,HS,D,D,C,C
M528,I.S. 528 Bea Fuller Rodgers School,EMS,C,A,B,B
M529,Jacqueline Kennedy Onassis High School,HS,B,C,B,C
M531,Repertory Company High School for Theatre Arts,HS,A,A,A,B
M539,"New Explorations into Science, Technology and Math",EMS,A,A,A,B
M539,"New Explorations into Science, Technology and Math",HS,B,A,A,A
M540,A. Philip Randolph Campus High School,HS,C,B,B,B
M541,Manhattan / Hunter Science High School,HS,B,A,A,A
M542,Manhattan Bridges High School,HS,A,A,A,A
M543,New Design High School,HS,A,A,A,B
M544,Independence High School,HS,None,None,None,C
M544,Independence High School,HST,C,C,A,None
M545,High School for Dual Language and Asian Studies,HS,A,A,A,A
M550,Liberty High School Academy for Newcomers,HS,None,None,None,B
M550,Liberty High School Academy for Newcomers,HST,A,A,A,None
M551,New York Harbor School,HS,A,A,B,B
M552,Gregorio Luperon High School for Science and Mathe,HS,A,A,A,A
M555,Central Park East High School,HS,A,A,A,B
M560,High School M560 - City As School,HS,None,None,None,A
M560,High School M560 - City As School,HST,B,B,B,None
M565,Urban Academy Laboratory High School,HS,None,None,None,A
M565,Urban Academy Laboratory High School,HST,A,A,A,None
M570,Satellite Academy High School,HS,None,None,None,B
M570,Satellite Academy High School,HST,F,C,B,None
M575,Manhattan Comprehensive Night and Day High School,HS,None,None,None,B
M575,Manhattan Comprehensive Night and Day High School,HST,A,A,A,None
M577,Brandeis YABC,YABC,C,None,None,None
M580,Richard R. Green High School of Teaching,HS,C,B,B,B
M586,Harvey Milk High School,HS,None,None,None,B
M586,Harvey Milk High School,HST,A,B,B,None
M600,The High School of Fashion Industries,HS,A,A,A,A
M605,Humanities Preparatory Academy,HS,None,None,None,A
M605,Humanities Preparatory Academy,HST,B,B,A,None
M610,Young Women's Leadership School,EMS,C,B,C,B
M610,Young Women's Leadership School,HS,A,A,A,A
M615,Chelsea Career and Technical Education High School,HS,C,C,F,F
M620,Norman Thomas High School,HS,F,D,D,D
M625,High School of Graphic Communication Arts,HS,D,C,C,C
M630,Art and Design High School,HS,B,B,B,B
M635,Academy of Environmental Science Secondary High Sc,EMS,None,None,None,F
M635,Academy of Environmental Science Secondary High Sc,HS,F,D,C,C
M650,Cascades High School,HS,None,None,None,B
M650,Cascades High School,HST,A,A,A,None
M655,Life Sciences Secondary School,EMS,C,B,C,D
M655,Life Sciences Secondary School,HS,A,B,B,B
M670,Thurgood Marshall Academy for Learning and Social ,EMS,D,B,F,C
M670,Thurgood Marshall Academy for Learning and Social ,HS,B,B,B,B
M680,"Heritage School, The",HS,C,A,A,A
M685,Bread & Roses Integrated Arts High School,HS,D,C,B,B
M690,School for the Physical City High School,HS,None,None,None,None
M692,"High School for Mathematics, Science and Engineeri",HS,A,A,A,A
M695,Urban Peace Academy,HS,None,None,None,None
M696,Bard High School Early College,HS,B,B,B,B
M702,Sisulu-Walker Charter School,EMS,C,A,A,None
M704,Harbor Sciences and Arts Charter School,EMS,C,A,B,None
M705,Amber Charter School,EMS,C,A,F,None
M707,John V. Lindsay Wildcat Academy Charter School,HST,A,B,B,None
M708,Harlem Day Charter School,EMS,C,A,D,None
M709,Harlem Village Academy Charter School,EMS,B,A,A,None
M709,Harlem Village Academy Charter School,HS,None,None,None,None
M726,KIPP S.T.A.R. College Preparatory,EMS,B,A,A,None
M726,KIPP S.T.A.R. College Preparatory,HS,None,None,None,None
M811,P.S. M811 - Mickey Mantle School,D75,F,None,None,None
M825,Isaac Newton Middle School for Math & Science,EMS,C,A,A,D
M839,Tompkins Square Middle School,EMS,A,A,A,A
M859,Special Music School,EMS,A,None,None,None
M860,Frederick Douglass Academy II Secondary School,EMS,C,A,B,C
M860,Frederick Douglass Academy II Secondary School,HS,C,C,B,B
M861,Future Leaders Institute Charter School,EMS,D,B,C,B
M862,Mott Hall II,EMS,A,A,A,C
M896,Lower Manhattan Community Middle School,EMS,C,A,B,A
M964,Central Park East II,EMS,B,A,C,B
Q002,P.S. 002 Alfred Zimberg,EMS,A,B,A,C
Q004,P.S. Q004,D75,A,None,None,None
Q005,I.S. 5 - The Walter Crowley Intermediate School,EMS,A,A,A,B
Q007,P.S. 007 Louis F. Simeone,EC,B,None,None,None
Q008,J.H.S. 008 Richard S. Grossley,EMS,C,A,B,D
Q009,P.S. 009,D75,B,None,None,None
Q010,I.S. 010 Horace Greeley,EMS,B,A,B,A
Q011,P.S. 011 Kathryn Phelan,EMS,B,A,A,A
Q012,P.S. 012 James B. Colgate,EMS,A,A,A,B
Q013,P.S. 013 Clement C. Moore,EMS,B,A,A,A
Q014,P.S. 014 Fairview,EMS,A,A,A,A
Q015,P.S. 015 Jackie Robinson,EMS,C,A,A,A
Q016,P.S. Q016,EMS,B,A,A,B
Q017,P.S. 017 Henry David Thoreau,EMS,C,A,B,B
Q018,P.S. 018 Winchester,EMS,A,A,B,B
Q019,P.S. 019 Marino Jeantet,EMS,B,A,A,A
Q020,P.S. 020 John Bowne,EMS,B,A,B,A
