Housing Bureau,2005,2006,2007,2008,2009,Total
Office of the Chief,0,0,0,0,0,0
HB Special operations Section,5,11,3,6,5,30
PSA 1,22,39,39,31,25,156
PSA 2,49,48,43,47,56,243
PSA 3,34,22,35,42,28,161
PSA 4,12,9,10,12,18,61
PSA 5,33,40,40,53,54,220
PSA 6,32,22,23,15,12,104
PSA 7,24,37,29,38,28,156
PSA 8,31,24,23,29,10,117
PSA 9,22,18,23,16,6,85
HB Brooklyn,4,15,1,2,1,23
HB Brooklyn Impact Response Team                                                                                                                                                                                                                   ,0,3,7,19,12,41
HB Manhattan,2,4,2,0,1,9
HB Manhattan Impact response Unit,0,2,9,7,5,23
HB Bronx/Queens,1,16,2,4,1,24
HB Bronx/Queens Impact response Unit,0,2,13,13,15,43
HB Investigation,0,0,1,0,0,1
HB Operations and Misc,0,0,0,0,0,0
HB Vandalism,1,0,0,0,0,1
Housing Bureau Total,272,312,303,334,277,1498
