BRONX – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Address,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Total Units,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Year Built,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Est. Gross Income,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 –Boro-Block-Lot,COMPARABLE RENTAL – 1 –Address,COMPARABLE RENTAL – 1 –Neighborhood,COMPARABLE RENTAL – 1 –Building Classification,COMPARABLE RENTAL – 1 –Total Units,COMPARABLE RENTAL – 1 –Year Built,COMPARABLE RENTAL – 1 –Gross SqFt,COMPARABLE RENTAL – 1 –Est. Gross Income,COMPARABLE RENTAL – 1 –Gross Income per SqFt,COMPARABLE RENTAL – 1 –Full Market Value,COMPARABLE RENTAL – 1 –Market Value per SqFt,COMPARABLE RENTAL – 1 –Dist. from Coop in miles,COMPARABLE RENTAL – 2 –Boro-Block-Lot,COMPARABLE RENTAL – 2 –Address,COMPARABLE RENTAL – 2 –Neighborhood,COMPARABLE RENTAL – 2 –Building Classification,COMPARABLE RENTAL – 2 –Total Units,COMPARABLE RENTAL – 2 –Year Built,COMPARABLE RENTAL – 2 –Gross SqFt,COMPARABLE RENTAL – 2 –Est. Gross Income,COMPARABLE RENTAL – 2 –Gross Income per SqFt,COMPARABLE RENTAL – 2 –Full Market Value,COMPARABLE RENTAL – 2 –Market Value per SqFt,COMPARABLE RENTAL – 2 –Dist. from Coop in miles
2-03218-0074,"2265 DR
Bronx, NY
(40.82557699997852, -73.91844899972153)",KINGSBRIDGE HTS/UNIV HTS,D4-ELEVATOR,42,1936,46440,464400,10,1100000,23.69,2-03203-0038,"2487 DAVIDSON AVENUE
Bronx, NY
(40.863818748431726, -73.90149678778147)",KINGSBRIDGE HTS/UNIV HTS,D1-ELEVATOR,42,1931,36750,412997,11.24,1070000,29.1,0.3,2-03228-0097,"1945 LORING PLACE
Bronx, NY
(40.85536762192235, -73.91420897254945)",KINGSBRIDGE HTS/UNIV HTS,D1-ELEVATOR,42,1927,47500,468574,9.86,1110000,23.37,0.6
2-03219-0201,"2471 UNIVERSITY AVENUE
Bronx, NY
(40.82557699997852, -73.91844899972153)",KINGSBRIDGE HTS/UNIV HTS,C6-WALK-UP,20,1915,21750,221850,10.2,528000,24.28,2-03219-0091,"2440 WEBB AVENUE
Bronx, NY
(40.864962245020976, -73.90630371253478)",KINGSBRIDGE HTS/UNIV HTS,C1-WALK-UP,20,1917,19280,177961,9.23,423000,21.94,0.1,2-03214-0005,"2512 UNIVERSITY AVENUE
Bronx, NY
(40.82557699997852, -73.91844899972153)",KINGSBRIDGE HTS/UNIV HTS,C1-WALK-UP,24,1914,21385,259802,12.15,730000,34.1,0.15
2-03225-0022,"2295 ANDREWS AVENUE
Bronx, NY
(40.86088865839223, -73.9078919363838)",KINGSBRIDGE HTS/UNIV HTS,C6-WALK-UP,36,1922,41107,452177,11,959000,23.33,2-03213-0037,"2463 GRAND AVENUE
Bronx, NY
(40.82557699997852, -73.91844899972153)",KINGSBRIDGE HTS/UNIV HTS,C1-WALK-UP,36,1922,26315,405931,15.43,1370000,52,0.35,2-03224-0017,"2226 LORING PLACE
Bronx, NY
(40.859858970241845, -73.90996269031838)",KINGSBRIDGE HTS/UNIV HTS,C1-WALK-UP,32,1917,31050,333429,10.74,864000,27.8,0.15
2-03226-0053,"4 FORDHAM HILL OVAL
Bronx, NY
(40.86368886017623, -73.90801173099784)",KINGSBRIDGE HTS/UNIV HTS,D4-ELEVATOR,1153,1950,1230965,12925132,10.5,33500000,27.2,2-03623-0001,"823 COLGATE AVENUE
Bronx, NY
(40.81968254528181, -73.87996619530318)",SOUNDVIEW,D3-ELEVATOR,968,1969,1069698,10959184,10.25,26100000,24.4,3.45,2-03142-0200,"1937 WEBSTER AVENUE
Bronx, NY
(40.848882305037634, -73.90040602107877)",FORDHAM,D1-ELEVATOR,99,1972,199500,2356634,11.81,5000000,25.1,1.25
2-03237-0067,"2630 KINGSBRIDGE TERRACE
Bronx, NY
(40.87011398555815, -73.90559985194173)",KINGSBRIDGE HTS/UNIV HTS,D4-ELEVATOR,185,1955,200000,2150000,10.75,5570000,27.9,2-03230-0016,"1981 SEDGWICK AVENUE
Bronx, NY
(40.85725737076833, -73.916078888922)",KINGSBRIDGE HTS/UNIV HTS,D1-ELEVATOR,225,1952,202600,2777516,13.71,8650000,42.7,0.9,2-03212-0005,"2260 DR
Bronx, NY
(40.82557699997852, -73.91844899972153)",KINGSBRIDGE HTS/UNIV HTS,D1-ELEVATOR,110,1959,122883,1212521,9.87,2880000,23.44,0.5
2-03237-0145,"2545 SEDGWICK AVENUE
Bronx, NY
(40.86725481807509, -73.90756990750896)",KINGSBRIDGE HTS/UNIV HTS,D4-ELEVATOR,62,1964,71640,716400,10,1700000,23.73,2-03212-0088,"2385 GRAND AVENUE
Bronx, NY
(40.82557699997852, -73.91844899972153)",KINGSBRIDGE HTS/UNIV HTS,D1-ELEVATOR,51,1961,50000,486922,9.74,1160000,23.2,0.5,2-03211-0035,"2230 DR
Bronx, NY
(40.82557699997852, -73.91844899972153)",KINGSBRIDGE HTS/UNIV HTS,D1-ELEVATOR,84,1951,75085,908038,12.09,1930000,25.7,0.7
2-03246-0056,"3850 SEDGWICK AVENUE
Bronx, NY
(40.882672795821556, -73.89501269789471)",KINGSBRIDGE/JEROME PARK,D4-ELEVATOR,122,1955,141055,1489940,10.56,3860000,27.4,2-02880-0115,"1655 UNDERCLIFF AVENUE
Bronx, NY
(40.84939071194516, -73.92181057046024)",HIGHBRIDGE/MORRIS HEIGHTS,D3-ELEVATOR,125,1967,146286,1351677,9.24,2870000,19.62,2.5,2-03253-0063,"2735 SEDGWICK AVENUE
Bronx, NY
(40.87067559536871, -73.90264077320232)",KINGSBRIDGE/JEROME PARK,D1-ELEVATOR,124,1922,137495,1611582,11.72,4530000,32.9,0.6
2-03250-0040,"2835 WEBB AVENUE
Bronx, NY
(40.8728267133709, -73.90083505380962)",KINGSBRIDGE/JEROME PARK,D4-ELEVATOR,73,1959,83000,787670,9.49,1870000,22.53,2-02431-0001,"1230 TELLER AVENUE
Bronx, NY
(40.83302031027906, -73.9111409531919)",MELROSE/CONCOURSE,D3-ELEVATOR,79,1941,73724,746322,10.12,1770000,24.01,2.85,2-03343-0042,"277 207 STREET
Bronx, NY
(40.82557699997852, -73.91844899972153)",BEDFORD PARK/NORWOOD,D1-ELEVATOR,68,1959,75000,849505,11.33,2200000,29.3,1.15
2-03251-0420,"3400 PAUL AVENUE
Bronx, NY
(40.877088902777075, -73.88957359897962)",KINGSBRIDGE/JEROME PARK,D4-ELEVATOR,352,1967,381213,4287758,11.25,9090000,23.84,2-03668-0001,"920 THIERIOT AVENUE
Bronx, NY
(40.82404871944026, -73.86258293845654)",SOUNDVIEW,D3-ELEVATOR,459,1965,490000,4789336,9.77,11400000,23.27,3.95,2-03672-0001,"1965 LAFAYETTE AVENUE
Bronx, NY
(40.82229539387017, -73.85643000837979)",CASTLE HILL/UNIONPORT,D3-ELEVATOR,353,1969,400932,2882677,7.19,6110000,15.24,4.15
2-03252-0052,"3975 SEDGWICK AVENUE
Bronx, NY
(40.882746554099654, -73.88940042701635)",KINGSBRIDGE/JEROME PARK,D4-ELEVATOR,317,1968,425070,3774621,8.88,8000000,18.82,2-02944-0001,"1803 CROTONA PARK
Bronx, NY
(40.84238626802839, -73.89399100320789)",CROTONA PARK,D3-ELEVATOR,281,1962,286346,3172713,11.08,6730000,23.5,2.8,2-04347-0007,"2324 BOSTON ROAD
Bronx, NY
(40.85993248480023, -73.8671915106287)",PELHAM PARKWAY NORTH,D1-ELEVATOR,322,1963,337570,3060499,9.07,7280000,21.57,1.95
2-03252-0117,"3960 SEDGWICK AVENUE
Bronx, NY
(40.88244863077695, -73.89025683102211)",KINGSBRIDGE/JEROME PARK,D4-ELEVATOR,140,1950,186000,1627500,8.75,2870000,15.43,2-02386-0144,"1011 WASHINGTON AVENUE
Bronx, NY
(40.82557699997852, -73.91844899972153)",MORRISANIA/LONGWOOD,D1-ELEVATOR,136,2004,126284,1345572,10.66,3490000,27.6,4.05,2-03262-0077,"114 238 STREET
Bronx, NY
(40.883226556210396, -73.89783189488651)",KINGSBRIDGE/JEROME PARK,D1-ELEVATOR,139,1928,115428,1426786,12.36,4010000,34.7,0.45
2-03252-0135,"4016 HILLMAN AVENUE
Bronx, NY
(40.8837268858965, -73.89055283964228)",KINGSBRIDGE/JEROME PARK,C6-WALK-UP,30,1947,31150,276300,8.87,586000,18.81,2-03636-0001,"1735 LAFAYETTE AVENUE
Bronx, NY
(40.820880681417655, -73.86693224487657)",SOUNDVIEW,C1-WALK-UP,32,1929,31300,359950,11.5,1010000,32.3,4.4,2-04248-0026,"2954 196 STREET
Bronx, NY
(40.85414155731376, -73.82966723424137)",SCHUYLERVILLE/PELHAM BAY,C1-WALK-UP,33,1932,31500,299504,9.51,712000,22.6,3.8
2-03252-0143,"74 VAN CORTLANDT PARK
Bronx, NY
(40.884562844842804, -73.8894014459459)",KINGSBRIDGE/JEROME PARK,C6-WALK-UP,55,1928,76320,676958,8.87,1440000,18.87,2-03191-0048,"25 193 STREET
Bronx, NY
(40.86645620606386, -73.89731206853551)",FORDHAM,C1-WALK-UP,56,1921,69000,638800,9.26,1520000,22.03,1.2,2-03258-0177,"3470 CANNON PLACE
Bronx, NY
(40.8816306842248, -73.8980393308039)",KINGSBRIDGE/JEROME PARK,C1-WALK-UP,55,1927,65000,537362,8.27,1140000,17.54,0.4
2-03252-0209,"80 GOUVERNEUR AVENUE
Bronx, NY
(40.829223469784075, -73.90841956094141)",KINGSBRIDGE/JEROME PARK,D4-ELEVATOR,207,1930,197406,2704462,13.7,5730000,29,2-02420-0120,"280 161 STREET
Bronx, NY
(40.82538565624926, -73.91796375573513)",MELROSE/CONCOURSE,D1-ELEVATOR,204,1980,239712,2764778,11.53,5860000,24.45,4.35,2-03124-0001,"883 180 STREET
Bronx, NY
(40.84521908653462, -73.88281597920675)",EAST TREMONT,D1-ELEVATOR,196,1979,181093,2610067,14.41,8820000,48.7,2.65
2-03252-0237,"3989 HILLMAN AVENUE
Bronx, NY
(40.88345868857663, -73.8908449683982)",KINGSBRIDGE/JEROME PARK,C6-WALK-UP,48,1941,30552,439884,14.4,933000,30.5,2-03326-0060,"3310 KOSSUTH AVENUE
Bronx, NY
(40.87934314254119, -73.88198773087251)",BEDFORD PARK/NORWOOD,C1-WALK-UP,48,1928,34620,497723,14.38,1680000,48.5,0.6,2-04322-0043,"2179 MATTHEWS AVENUE
Bronx, NY
(40.8561337973631, -73.86291209775094)",PELHAM PARKWAY SOUTH,C9-WALK-UP,48,1948,35960,445576,12.39,1250000,34.8,2.4
2-03252-0268,"91 VAN CORTLANDT AVENUE
Bronx, NY
(40.88358753865805, -73.8930599726396)",KINGSBRIDGE/JEROME PARK,D4-ELEVATOR,50,1963,55800,571392,10.24,1360000,24.37,2-03332-0021,"3070 HULL AVENUE
Bronx, NY
(40.871968860320635, -73.87889801529228)",BEDFORD PARK/NORWOOD,D1-ELEVATOR,50,1939,56000,579923,10.36,1380000,24.64,1.1,2-05834-3001,"6255 BROADWAY
Bronx, NY
(40.82557699997852, -73.91844899972153)",FIELDSTON,D1-ELEVATOR,50,1958,55400,548460,9.9,1300000,23.47,1
2-03252-0276,"3980 ORLOFF AVENUE
Bronx, NY
(40.884378101643314, -73.8922501165942)",KINGSBRIDGE/JEROME PARK,D4-ELEVATOR,151,1950,155477,1548550,9.96,3280000,21.1,2-02823-0046,"1700 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MOUNT HOPE/MOUNT EDEN,D3-ELEVATOR,158,1963,154656,1499374,9.69,3570000,23.08,2.9,2-05760-0112,"3424 KINGSBRIDGE AVENUE
Bronx, NY
(40.88299528302095, -73.90344028354679)",KINGSBRIDGE/JEROME PARK,D3-ELEVATOR,138,1962,128500,1609377,12.52,4520000,35.2,0.6
2-03252-0287,"92 VAN CORTLANDT PARK
Bronx, NY
(40.88489370791388, -73.89106845267483)",KINGSBRIDGE/JEROME PARK,D4-ELEVATOR,145,1949,150500,1637440,10.88,3470000,23.06,2-03778-0010,"1240 MORRISON AVENUE
Bronx, NY
(40.83045969135139, -73.87479529036672)",SOUNDVIEW,D3-ELEVATOR,154,1968,147727,1664181,11.27,3960000,26.8,3.75,2-04178-0010,"3555 BRUCKNER BOULEVARD
Bronx, NY
(40.82557699997852, -73.91844899972153)",SCHUYLERVILLE/PELHAM BAY,D3-ELEVATOR,142,1960,112000,1426482,12.74,4010000,35.8,4.15
2-03252-0340,"120 GALE PLACE
Bronx, NY
(40.88461077073308, -73.89247192325327)",KINGSBRIDGE/JEROME PARK,D4-ELEVATOR,282,1949,351827,3346920,9.51,7100000,20.18,2-02822-0019,"1749 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MOUNT HOPE/MOUNT EDEN,D7-ELEVATOR,279,1924,423500,2652980,6.26,5620000,13.27,2.8,2-03642-0001,"880 THIERIOT AVENUE
Bronx, NY
(40.82327888267286, -73.86241277558031)",SOUNDVIEW,D3-ELEVATOR,317,1968,352866,3372867,9.56,7150000,20.26,4.55
2-03252-0361,"100 VAN CORTLANDT PARK
Bronx, NY
(40.88503267530283, -73.89183544417268)",KINGSBRIDGE/JEROME PARK,D4-ELEVATOR,115,1932,120000,1213043,10.11,2570000,21.42,2-03211-0009,"2170 DR
Bronx, NY
(40.82557699997852, -73.91844899972153)",KINGSBRIDGE HTS/UNIV HTS,D1-ELEVATOR,111,1959,141800,1297912,9.15,2750000,19.39,2,2-03212-0005,"2260 DR
Bronx, NY
(40.82557699997852, -73.91844899972153)",KINGSBRIDGE HTS/UNIV HTS,D1-ELEVATOR,110,1959,122883,1212521,9.87,2880000,23.44,1.8
2-03253-0221,"3065 SEDGWICK AVENUE
Bronx, NY
(40.87644588736795, -73.8998241929719)",KINGSBRIDGE/JEROME PARK,D4-ELEVATOR,73,1960,75390,791595,10.5,2050000,27.2,2-03343-0126,"3320 RESERVOIR OVAL
Bronx, NY
(40.87700018345689, -73.87604777133227)",BEDFORD PARK/NORWOOD,D1-ELEVATOR,73,1959,75821,725338,9.57,1720000,22.69,1.35,2-04319-0045,"2157 HOLLAND AVENUE
Bronx, NY
(40.855109870470436, -73.86577640620291)",PELHAM PARKWAY SOUTH,D1-ELEVATOR,73,1930,73842,847683,11.48,2200000,29.8,2.3
