Business Name,Business Category,Street Address,Phone,Website,Hours Mon - Fri,Hours Sat,Hours Sun,Location 1
Afrikart,Apparel & Footwear,295 Livingston Street,718-935-0458,no website ,,,,"295 Livingston Street
Brooklyn, NY 11217
(40.688161839643605, -73.981872296889)"
American Apparel,Apparel & Footwear,112 Court Street,718-855-4627,www.americanapparel.com,"F 11am - 10pm, 11am - 9pm",11am - 10pm,11am - 9pm,"112 Court Street
Brooklyn, NY 11201
(40.690338406639405, -73.99209349040228)"
Brooklyn Uniform Center,Apparel & Footwear,206 Livingston Street,718-875-7780,,,,,"206 Livingston Street
Brooklyn, NY 11201
(40.68964544631397, -73.98587721241563)"
Express Shoe Store & Repair,Apparel & Footwear,370 Livingston Street,718-596-6921,no website ,,,,"370 Livingston Street
Brooklyn, NY 11217
(40.6874886886924, -73.98030723325142)"
Eyvette Boutique,Apparel & Footwear,60 Court Street,718-254-9208,no website ,,,,"60 Court Street
Brooklyn, NY 11201
(40.69207212084573, -73.99125678089091)"
Fulany Fashions,Apparel & Footwear,301 Livingston Street,718-246-3777,,,,,"301 Livingston Street
Brooklyn, NY 11217
(40.688074661614394, -73.98164404895796)"
"Gourd-Chips, Inc.",Apparel & Footwear,113A Court Street,718-797-5236,www.gourdchips.com,,,,"113A Court Street
Brooklyn, NY 11201
(40.69056870270664, -73.99190225542351)"
Marseille Fashion,Apparel & Footwear,342 Livingston Street,718-855-2442,,9am - 9pm,9am - 9pm,9am - 9pm,"342 Livingston Street
Brooklyn, NY 11217
(40.687759636266755, -73.98100119842678)"
Poison Lady,Apparel & Footwear,293 Livingston Street,718-522-1751,,,,,"293 Livingston Street
Brooklyn, NY 11217
(40.688190898986676, -73.98194837953268)"
Porta Bella,Apparel & Footwear,320 Livingston Street,718-892-8997,www.portabellastores.com,9:30am - 7pm,9:30am - 7pm,10am - 6pm,"320 Livingston Street
Brooklyn, NY 11217
(40.68810262122939, -73.98187796904244)"
Pulse Cncpt,Apparel & Footwear,358 Livingston Street,347-725-3923,www.pulsenyc.com,M-Th 10:30am - 8:30pm; F 10:30am - 9pm,10:30am - 9pm,Noon - 7pm,"358 Livingston Street
Brooklyn, NY 11217
(40.68751235884906, -73.98038162517233)"
Super Runner Shop,Apparel & Footwear,123 Court Street,718-858-8550,www.superrunnersshop.com,,,,"123 Court Street
Brooklyn, NY 11202
(40.69023100353827, -73.99206627377903)"
Tempo,Apparel & Footwear,56 Court Street,718-403-0629,,,,,"56 Court Street
Brooklyn, NY 11201
(40.692196389982534, -73.99119596833461)"
Bail Bonds,Bail Bonds,"21 Smith Street, 2nd floor",718-681-5933,,,,,"21 Smith Street
Brooklyn, NY 11201
(40.69086806738895, -73.98762803166429)"
Empire Bail Bonds,Bail Bonds,92 Court Street,718-858-1111,www.bailempire.com,,,,"92 Court Street
Brooklyn, NY 11201
(40.6910157160615, -73.9917693721289)"
NY Bail,Bail Bonds,75 Smith Street,,,8:30am - 2am,8:30am - 2am,8:30am - 2am,"75 Smith Street
Brooklyn, NY 11201
(40.68921104652358, -73.98869581088861)"
ABRS Check Cashing,Banking,92 Court Street,718-875-0057,,,,,"92 Court Street
Brooklyn, NY 11201
(40.6910157160615, -73.9917693721289)"
Banco Popular,Banking,66 Court Street,718-596-1352,www.mypopularbanking.com,"Th 9am 6pm, 9am - 3pm",closed,Closed,"66 Court Street
Brooklyn, NY 11201
(40.69188571710734, -73.9913479997416)"
Brooklyn Federal Savings,Banking,81 Court Street,718-855-8500,www.brooklynbank.com,"F 8:30am - 6pm, 8:30am - 3:30pm",8:30am - 1pm,closed,"81 Court Street
Brooklyn, NY 11201
(40.691571647391974, -73.99142251526149)"
