DBN,School Name,Cohort Year,Cohort Category,Demographic,Total Cohort Num,Total Grads Num,Total Grads Pct of cohort,Total Regents Num,Total Regents Pct of cohort,Total Regents Pct of grads,Advanced Regents Num,Advanced Regents Pct of cohort,Advanced Regents Pct of grads,Regents w/o Advanced Num,Regents w/o Advanced Pct of cohort,Regents w/o Advanced Pct of grads,Local Num,Local Pct of cohort,Local Pct of grads,Still Enrolled Num,Still Enrolled Pct of cohort,Dropped Out Num,Dropped Out Pct of cohort
01M056,CORLEARS SCHOOL,2001,4 Year  June,Male,1, s ,s, s ,s,s, s ,s,s, s ,s,s, s ,s,s, s ,s, s ,s
01M056,CORLEARS SCHOOL,2001,5 Year,Male,1, s ,s, s ,s,s, s ,s,s, s ,s,s, s ,s,s, s ,s, s ,s
01M056,CORLEARS SCHOOL,2001,6 Year,Male,1, s ,s, s ,s,s, s ,s,s, s ,s,s, s ,s,s, s ,s, s ,s
01M056,CORLEARS SCHOOL,2003,4 Year  June,Male,1, s ,s, s ,s,s, s ,s,s, s ,s,s, s ,s,s, s ,s, s ,s
01M056,CORLEARS SCHOOL,2003,5 Year,Male,1, s ,s, s ,s,s, s ,s,s, s ,s,s, s ,s,s, s ,s, s ,s
01M056,CORLEARS SCHOOL,2003,6 Year,Male,1, s ,s, s ,s,s, s ,s,s, s ,s,s, s ,s,s, s ,s, s ,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2003,4 Year  June,Female,1, s ,s, s ,s,s, s ,s,s, s ,s,s, s ,s,s, s ,s, s ,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2003,5 Year,Female,1, s ,s, s ,s,s, s ,s,s, s ,s,s, s ,s,s, s ,s, s ,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2003,6 Year,Female,1, s ,s, s ,s,s, s ,s,s, s ,s,s, s ,s,s, s ,s, s ,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2004,4 Year  June,Female,28,18,64.30%,8,28.60%,44.40%, -   ,0.00%,0.00%,8,28.60%,44.40%,10,35.70%,55.60%,9,32.10%,1,3.60%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2004,5 Year,Female,30,19,63.30%,8,26.70%,42.10%, -   ,0.00%,0.00%,8,26.70%,42.10%,11,36.70%,57.90%,2,6.70%,8,26.70%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2004,6 Year,Female,28,20,71.40%,8,28.60%,40.00%, -   ,0.00%,0.00%,8,28.60%,40.00%,12,42.90%,60.00%,1,3.60%,7,25.00%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2005,4 Year  June,Female,25,20,80.00%,13,52.00%,65.00%, -   ,0.00%,0.00%,13,52.00%,65.00%,7,28.00%,35.00%, -   ,0.00%,5,20.00%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2005,4 Year August,Female,25,20,80.00%,13,52.00%,65.00%, -   ,0.00%,0.00%,13,52.00%,65.00%,7,28.00%,35.00%, -   ,0.00%,5,20.00%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2005,5 Year,Female,27,20,74.10%,13,48.10%,65.00%, -   ,0.00%,0.00%,13,48.10%,65.00%,7,25.90%,35.00%, -   ,0.00%,6,22.20%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2005,6 Year,Female,26,20,76.90%,13,50.00%,65.00%, -   ,0.00%,0.00%,13,50.00%,65.00%,7,26.90%,35.00%, -   ,0.00%,4,15.40%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2006,4 Year  June,Female,34,17,50.00%,13,38.20%,76.50%, -   ,0.00%,0.00%,13,38.20%,76.50%,4,11.80%,23.50%,8,23.50%,5,14.70%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2006,4 Year August,Female,34,17,50.00%,13,38.20%,76.50%, -   ,0.00%,0.00%,13,38.20%,76.50%,4,11.80%,23.50%,8,23.50%,5,14.70%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2006,5 Year  June,Female,31,18,58.10%,13,41.90%,72.20%, -   ,0.00%,0.00%,13,41.90%,72.20%,5,16.10%,27.80%, -   ,0.00%,8,25.80%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2006,5 Year August,Female,31,18,58.10%,13,41.90%,72.20%, -   ,0.00%,0.00%,13,41.90%,72.20%,5,16.10%,27.80%, -   ,0.00%,8,25.80%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2007,4 Year  June,Female,30,18,60.00%,11,36.70%,61.10%, -   ,0.00%,0.00%,11,36.70%,61.10%,7,23.30%,38.90%,9,30.00%,1,3.30%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2007,4 Year August,Female,30,20,66.70%,11,36.70%,55.00%, -   ,0.00%,0.00%,11,36.70%,55.00%,9,30.00%,45.00%,7,23.30%,1,3.30%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2003,4 Year  June,Male,4, s ,s, s ,s,s, s ,s,s, s ,s,s, s ,s,s, s ,s, s ,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2003,5 Year,Male,4, s ,s, s ,s,s, s ,s,s, s ,s,s, s ,s,s, s ,s, s ,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2003,6 Year,Male,4, s ,s, s ,s,s, s ,s,s, s ,s,s, s ,s,s, s ,s, s ,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2004,4 Year  June,Male,27,19,70.40%,9,33.30%,47.40%, -   ,0.00%,0.00%,9,33.30%,47.40%,10,37.00%,52.60%,6,22.20%,2,7.40%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2004,5 Year,Male,28,20,71.40%,10,35.70%,50.00%, -   ,0.00%,0.00%,10,35.70%,50.00%,10,35.70%,50.00%,2,7.10%,5,17.90%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2004,6 Year,Male,28,21,75.00%,10,35.70%,47.60%, -   ,0.00%,0.00%,10,35.70%,47.60%,11,39.30%,52.40%,1,3.60%,5,17.90%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2005,4 Year  June,Male,39,23,59.00%,14,35.90%,60.90%, -   ,0.00%,0.00%,14,35.90%,60.90%,9,23.10%,39.10%,9,23.10%,4,10.30%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2005,4 Year August,Male,39,24,61.50%,14,35.90%,58.30%, -   ,0.00%,0.00%,14,35.90%,58.30%,10,25.60%,41.70%,8,20.50%,4,10.30%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2005,5 Year,Male,39,26,66.70%,15,38.50%,57.70%, -   ,0.00%,0.00%,15,38.50%,57.70%,11,28.20%,42.30%,4,10.30%,5,12.80%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2005,6 Year,Male,39,27,69.20%,16,41.00%,59.30%, -   ,0.00%,0.00%,16,41.00%,59.30%,11,28.20%,40.70%,1,2.60%,7,17.90%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2006,4 Year  June,Male,44,26,59.10%,23,52.30%,88.50%, -   ,0.00%,0.00%,23,52.30%,88.50%,3,6.80%,11.50%,8,18.20%,6,13.60%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2006,4 Year August,Male,44,27,61.40%,24,54.50%,88.90%, -   ,0.00%,0.00%,24,54.50%,88.90%,3,6.80%,11.10%,7,15.90%,6,13.60%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2006,5 Year  June,Male,40,26,65.00%,23,57.50%,88.50%, -   ,0.00%,0.00%,23,57.50%,88.50%,3,7.50%,11.50%, -   ,0.00%,11,27.50%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2006,5 Year August,Male,40,26,65.00%,23,57.50%,88.50%, -   ,0.00%,0.00%,23,57.50%,88.50%,3,7.50%,11.50%, -   ,0.00%,11,27.50%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2007,4 Year  June,Male,47,23,48.90%,17,36.20%,73.90%, -   ,0.00%,0.00%,17,36.20%,73.90%,6,12.80%,26.10%,16,34.00%,4,8.50%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2007,4 Year August,Male,47,25,53.20%,18,38.30%,72.00%, -   ,0.00%,0.00%,18,38.30%,72.00%,7,14.90%,28.00%,15,31.90%,4,8.50%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2001,4 Year  June,Female,27,19,70.40%,15,55.60%,78.90%,2,7.40%,10.50%,13,48.10%,68.40%,4,14.80%,21.10%,5,18.50%,1,3.70%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2001,5 Year,Female,27,23,85.20%,16,59.30%,69.60%,2,7.40%,8.70%,14,51.90%,60.90%,7,25.90%,30.40%, -   ,0.00%,2,7.40%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2001,6 Year,Female,27,23,85.20%,16,59.30%,69.60%,2,7.40%,8.70%,14,51.90%,60.90%,7,25.90%,30.40%, -   ,0.00%,2,7.40%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2002,4 Year  June,Female,29,19,65.50%,11,37.90%,57.90%,4,13.80%,21.10%,7,24.10%,36.80%,8,27.60%,42.10%,8,27.60%,1,3.40%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2002,5 Year,Female,29,24,82.80%,12,41.40%,50.00%,4,13.80%,16.70%,8,27.60%,33.30%,12,41.40%,50.00%,2,6.90%,2,6.90%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2002,6 Year,Female,29,24,82.80%,12,41.40%,50.00%,4,13.80%,16.70%,8,27.60%,33.30%,12,41.40%,50.00%,2,6.90%,2,6.90%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2003,4 Year  June,Female,45,42,93.30%,21,46.70%,50.00%,7,15.60%,16.70%,14,31.10%,33.30%,21,46.70%,50.00%,1,2.20%,2,4.40%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2003,5 Year,Female,45,42,93.30%,21,46.70%,50.00%,7,15.60%,16.70%,14,31.10%,33.30%,21,46.70%,50.00%,1,2.20%,2,4.40%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2003,6 Year,Female,46,43,93.50%,21,45.70%,48.80%,7,15.20%,16.30%,14,30.40%,32.60%,22,47.80%,51.20%, -   ,0.00%,2,4.30%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2004,4 Year  June,Female,68,49,72.10%,25,36.80%,51.00%,5,7.40%,10.20%,20,29.40%,40.80%,24,35.30%,49.00%,18,26.50%,1,1.50%
