STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Address,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Total Units,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Year Built,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Est. Gross Income,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,STATEN ISLAND – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 –Boro-Block-Lot,COMPARABLE RENTAL – 1 –Address,COMPARABLE RENTAL – 1 –Neighborhood,COMPARABLE RENTAL – 1 –Building Classification,COMPARABLE RENTAL – 1 –Total Units,COMPARABLE RENTAL – 1 –Year Built,COMPARABLE RENTAL – 1 –Gross SqFt,COMPARABLE RENTAL – 1 –Est. Gross Income,COMPARABLE RENTAL – 1 –Gross Income per SqFt,COMPARABLE RENTAL – 1 –Full Market Value,COMPARABLE RENTAL – 1 –Market Value per SqFt,COMPARABLE RENTAL – 1 –Dist. from Coop in miles,COMPARABLE RENTAL – 2 –Boro-Block-Lot,COMPARABLE RENTAL – 2 –Address,COMPARABLE RENTAL – 2 –Neighborhood,COMPARABLE RENTAL – 2 –Building Classification,COMPARABLE RENTAL – 2 –Total Units,COMPARABLE RENTAL – 2 –Year Built,COMPARABLE RENTAL – 2 –Gross SqFt,COMPARABLE RENTAL – 2 –Est. Gross Income,COMPARABLE RENTAL – 2 –Gross Income per SqFt,COMPARABLE RENTAL – 2 –Full Market Value,COMPARABLE RENTAL – 2 –Market Value per SqFt,COMPARABLE RENTAL – 2 –Dist. from Coop in miles
5-00001-0216,"10 BAY STREET LANDING
Staten Island, NY
(40.63818574879054, -74.07333765648139)",NEW BRIGHTON-ST. GEORGE,D0-ELEVATOR,128,1984,171935,1894896,11.02,5890000,34.3,5-00051-0001,"163 JERSEY STREET
Staten Island, NY
(40.64372781749142, -74.08653922598847)",NEW BRIGHTON,D3-ELEVATOR,131,1963,174895,2757971,15.77,6460000,36.9,0.85,5-03157-0001,"1950 CLOVE ROAD
Staten Island, NY
(40.60600405116905, -74.08661513939974)",GRASMERE,D1-ELEVATOR,177,1973,180495,1833563,10.16,4290000,23.77,2.55
5-00001-0250,"44 BAY STREET LANDING
Staten Island, NY
(40.63929316733155, -74.07332133724314)",NEW BRIGHTON-ST. GEORGE,D4-ELEVATOR,17,1985,25171,277409,11.02,862000,34.2,5-00014-0001,"167 CARROLL PLACE
Staten Island, NY
(40.64686770349777, -74.08199690754861)",NEW BRIGHTON,C1-WALK-UP,14,1920,13644,149760,10.98,465000,34.1,0.75,5-01015-0001,"137 HEBERTON AVENUE
Staten Island, NY
(40.63677941950782, -74.13131334974379)",PORT RICHMOND,C1-WALK-UP,28,1933,20800,273267,13.14,997000,47.9,3.1
5-00101-0525,"515 CASTLETON AVENUE
Staten Island, NY
(40.63421242828656, -74.09983557856941)",WEST NEW BRIGHTON,C6-WALK-UP,16,1950,13114,104007,7.93,268000,20.44,5-00014-0001,"167 CARROLL PLACE
Staten Island, NY
(40.64686770349777, -74.08199690754861)",NEW BRIGHTON,C1-WALK-UP,14,1920,13644,149760,10.98,465000,34.1,1.3,5-03591-0008,"261 LINCOLN AVENUE
Staten Island, NY
(40.576986694649065, -74.1046700516757)",GRANT CITY,C9-WALK-UP,16,1933,12300,347890,28.3,1670000,136,3.9
5-00101-0537,"545 CASTLETON AVENUE
Staten Island, NY
(40.63436210493948, -74.10065732208393)",WEST NEW BRIGHTON,C6-WALK-UP,24,1950,17418,138143,7.93,356000,20.44,5-00115-0090,"395 VICTORY BOULEVARD
Staten Island, NY
(40.632670280999676, -74.08683212401286)",TOMPKINSVILLE,C1-WALK-UP,17,1931,17320,138832,8.02,358000,20.67,0.7,5-00522-0034,"20 COURT STREET
Staten Island, NY
(40.62718194384782, -74.08083988122533)",STAPLETON,C9-WALK-UP,16,1941,17240,190592,11.06,592000,34.3,1.2
5-00101-0554,"581 CASTLETON AVENUE
Staten Island, NY
(40.63458257193235, -74.10193621838208)",WEST NEW BRIGHTON,C6-WALK-UP,12,1950,10856,86099,7.93,222000,20.45,5-00120-0105,"457 VICTORY BOULEVARD
Staten Island, NY
(40.63120242256483, -74.08802665561225)",SILVER LAKE,C1-WALK-UP,12,1931,10560,99656,9.44,284000,26.9,0.65,5-00140-0051,"330 BARD AVENUE
Staten Island, NY
(40.63615311678233, -74.10685217736304)",WEST NEW BRIGHTON,C9-WALK-UP,13,1942,10086,130532,12.94,476000,47.2,0.35
5-00130-0049,"245 FOREST AVENUE
Staten Island, NY
(40.6318297457294, -74.09779985702198)",WEST NEW BRIGHTON,C6-WALK-UP,13,1968,9810,145300,14.81,530000,54,5-00120-0105,"457 VICTORY BOULEVARD
Staten Island, NY
(40.63120242256483, -74.08802665561225)",SILVER LAKE,C1-WALK-UP,12,1931,10560,99656,9.44,284000,26.9,0.5,5-00140-0051,"330 BARD AVENUE
Staten Island, NY
(40.63615311678233, -74.10685217736304)",WEST NEW BRIGHTON,C9-WALK-UP,13,1942,10086,130532,12.94,476000,47.2,0.55
5-00131-0056,"255 FOREST AVENUE
Staten Island, NY
(40.63174299038349, -74.09807881413032)",WEST NEW BRIGHTON,C6-WALK-UP,13,1968,9810,131759,13.43,481000,49,5-00120-0105,"457 VICTORY BOULEVARD
Staten Island, NY
(40.63120242256483, -74.08802665561225)",SILVER LAKE,C1-WALK-UP,12,1931,10560,99656,9.44,284000,26.9,0.55,5-00140-0051,"330 BARD AVENUE
Staten Island, NY
(40.63615311678233, -74.10685217736304)",WEST NEW BRIGHTON,C9-WALK-UP,13,1942,10086,130532,12.94,476000,47.2,0.55
5-00138-0119,"154 BARD AVENUE
Staten Island, NY
(40.64077829151043, -74.10872773579793)",LIVINGSTON,C6-WALK-UP,60,1947,36600,385650,10.54,1560000,42.6,5-01015-0001,"137 HEBERTON AVENUE
Staten Island, NY
(40.63677941950782, -74.13131334974379)",PORT RICHMOND,C1-WALK-UP,28,1933,20800,273267,13.14,997000,47.9,1.2,5-00140-0051,"330 BARD AVENUE
Staten Island, NY
(40.63615311678233, -74.10685217736304)",WEST NEW BRIGHTON,C9-WALK-UP,13,1942,10086,130532,12.94,476000,47.2,0.35
5-00327-0015,"1000 CLOVE ROAD
Staten Island, NY
(40.62062459750375, -74.11004923122906)",CLOVE LAKES,D4-ELEVATOR,143,1966,127800,1354513,10.6,4210000,32.9,5-02877-0025,"55 BOWEN STREET
Staten Island, NY
(40.614664489608586, -74.0830542384052)",CONCORD-FOX HILLS,D1-ELEVATOR,156,1973,154860,2291762,14.8,5370000,34.7,1.4,,,,,,,,,,,,
5-00327-0060,"1100 CLOVE ROAD
Staten Island, NY
(40.619132257145964, -74.10660292523818)",CLOVE LAKES,D4-ELEVATOR,143,1967,127800,1354513,10.6,4210000,32.9,5-02877-0025,"55 BOWEN STREET
Staten Island, NY
(40.614664489608586, -74.0830542384052)",CONCORD-FOX HILLS,D1-ELEVATOR,156,1973,154860,2291762,14.8,5370000,34.7,1.4,,,,,,,,,,,,
