Borough Offices Disposition Type,Contact
Bronx Adult Services,(718) 537-5197
Bronx Juvenile Services,(718) 590-3180
South Bronx NeON,(718) 537-5197
Kings Adult Services,(718) 802-4320
Kings Juvenile Services,(718) 802-2663
Brownsville NeON,(718) 345-1351
Manhattan Adult Services,(212) 442-9562
Manhattan Juvenile Services,(212) 676-8521
Harlem NeON,(212) 280-4804
Queens Adult Services,(718) 286-3045
Queens Juvenile Services,(718) 657-4385
Jamaica NeON,(718) 657-5137
Staten Island Adult Services and NeON,(718) 876-8660
Staten Island Juvenile Services,(718) 556-4000
General Inquiries,(212) 361-8969
HR Recruiter,(212) 361-8908
Media Inquiries ONLY During Business Hours,(212) 361-8957
Media Inquiries ONLYAfter-hours and Weekends,(917) 553-1082
