PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1
Reading & Writing,Adolescent Literacy,CUNY/Creative Arts Team ,New York,Research Foundation of CUNY,212.652.2800,grades 6 to 8,"101 31st Street
New York, NEW YORK 10001
(40.74795702400355, -73.98923961872805)"
Reading & Writing,Adolescent Literacy,Frederick Douglass Academy II (M860) ,New York,Research Foundation of CUNY,212.652.2800,grades 6 to 8,"215 114 Street
New York, NEW YORK 10026
(40.802154978703435, -73.9539796369881)"
Reading & Writing,Adolescent Literacy,Environmental Science Sec School (M635) ,New York,Supportive Childrens Advocacy Network (SCAN),212.683.2522,grades 6 to 8,"410 100 Street
New York, NEW YORK 10029
(40.785470644533916, -73.94206586038047)"
Reading & Writing,Adolescent Literacy,MS 324 - PATRIA (M324) ,New York,The Children's Aid Society,212.740.8655,grades 6 to 8,"21 Jumel Place
New York, NEW YORK 10032
(40.83932420490237, -73.93612610353428)"
Reading & Writing,Adolescent Literacy,JHS 22 ,Bronx,Supportive Childrens Advocacy Network (SCAN),212.-683.2522,grades 6 to 8,"270 167th Street
Bronx, NEW YORK 10456
(40.83322765425807, -73.91408537225458)"
Reading & Writing,Adolescent Literacy,"IN-Tech Academy, Middle School / High School 368 ",Bronx,Research Foundation of CUNY,212.652.2800,grades 6 to 8,"Tibbett Avenue
Bronx, NEW YORK 10463
(40.87834957539748, -73.9112816097151)"
Reading & Writing,Adolescent Literacy,Intermediate School 35 - Stephen Decatur School ,Brooklyn,Research Foundation of CUNY,212.817.2105,grades 6 to 8,"272 Macdonough Street
Brooklyn, NEW YORK 11233
(40.68189209294426, -73.93584163199317)"
Reading & Writing,Adolescent Literacy,Intermediate School 168 - Parsons School ,Queens,The Child Center of NY,718.458.4243 ext. 205,grades 6 to 8,"158 40 76th Road
Queens, NEW YORK 11366
(40.72816440726166, -73.79226817393703)"
Reading & Writing,Adolescent Literacy,The Renaissance Charter School ,Queens,Research Foundation of CUNY,212.652.2800,grades 6 to 8,"35 59 81st Street
Queens, NEW YORK 11372
(40.75163073936716, -73.88361254528269)"
Reading & Writing,Adolescent Literacy,I.S. 49,Brooklyn,Brooklyn Ctr. for Urban Environment,718.788.8500,grades 6 to 8,"223 Graham Avenue
Brooklyn, NEW YORK 11206
(40.70998826488192, -73.94367132736704)"
Reading & Writing,Adolescent Literacy,School for Democracy and Leadership 600 Kingston Avenue,Brooklyn,Church Ave. Merchants Block Assoc.,718.282.5575,grades 6 to 8,
Reading & Writing,Adolescent Literacy,I.S. 126Q,Queens,Jacob Riis Neighborhood Settlement,718.204.6797,grades 6 to 8,"31 51 21st Street
Queens, NEW YORK 11101
(40.74570244980828, -73.93866902925225)"
Reading & Writing,Adolescent Literacy,MS 35,Brooklyn,Stanton Heiskell Center,212.817.2106,grades 6 to 8,"272 McDonough Street
Brooklyn, NEW YORK 11233
(40.68189209294426, -73.93584163199317)"
Reading & Writing,Adult Literacy,"African Services Committee, Inc.",New York,"African Services Committee, Inc.",212.222.3882,At least 16 Years Old or Older,"429 127 Street
New York, NEW YORK 10027
(40.813196742697244, -73.95433261286013)"
Reading & Writing,Adult Literacy,Project COPE/Adult Education,Brooklyn,"Agudath Israel of America Community Services, Inc.",212.809.5935,At least 16 Years Old or Older,"1577 Coney Island Avenue
Brooklyn, NEW YORK 11230
(40.61904739455146, -73.96399704536418)"
