Title,Name,Phone Number,Borough
Battery Park Administrator,Warrie L. Price,(212) 344-3491,Manhattan
Borough Commissioner,Hector M. Aponte,(718) 430-1801,Bronx
Borough Commissioner,Kevin Jeffrey,(718) 965-8920,Brooklyn
Borough Commissioner,William T. Castro,(212) 408-0201,Manhattan
Borough Commissioner,Dorothy Lewandowski,(718) 520-5905,Queens
Borough Commissioner,Adena Long,(718) 390-8004,Staten Island
Bronx River Administrator,Linda Cox,(718) 430-4668,Bronx
Central Park Administrator,Douglas Blonsky,(212) 310-6669,Manhattan
Chief of Administrative Services,Susan Lonergan,(718) 430-1813,Bronx
Chief of Administrative Services,Candice Jager,(718) 965-8909,Brooklyn
Chief of Administrative Services,Ellen Fricault,(212) 408-0225,Manhattan
Chief of Administrative Services,Eileen Egan,(718) 520-5991,Queens
Chief of Administrative Services,Joanne Coniglio,(718) 390-8009,Staten Island
Chief of Operations,Lawrence A. Scoones,(718) 430-1812,Bronx
Chief of Operations,Charles A. Gili,(718) 965-8922,Brooklyn
Chief of Operations,Namshik Yoon,(212) 408-0212,Manhattan
Chief of Operations,Jacqueline Langsam,(718) 520-5925,Queens
Chief of Operations,Lynda Ricciardone,(718) 390-8006,Staten Island
Chief of Recreation,Robert Wright,(718) 430-1858,Bronx
Chief of Recreation,LeRoy Temple,(718) 965-6980,Brooklyn
Chief of Recreation,Kim McNeal,(212) 408-0205,Manhattan
Chief of Recreation,Iris Rodriguez-Rosa,(718) 520-5936,Queens
Chief of Recreation,Mary Cali Dalton,(718) 390-8023,Staten Island
Chief of Staff,Michelle Martell,(718) 430-1854,Bronx
Chief of Staff,Martin Maher,(718) 965-8917,Brooklyn
Chief of Staff,Steve Simon,(212) 408-0110,Manhattan
Chief of Staff,Joanne Amagrande-Savarese,(718) 520-5905,Queens
Chief of Staff,Michael P. Schnall,(718) 390-8015,Staten Island
Deputy Chief of Operations,Tricia Vanderbeck,(718) 430-1867,Bronx
Deputy Chief of Operations,Michael Grattan,(718) 430-1837,Bronx
Deputy Chief of Operations,Thomas Ching,(718) 965-8971,Brooklyn
Deputy Chief of Operations,Jeffrey Sigadel,(718) 965-7711,Brooklyn
Deputy Chief of Operations,William A. Gilbert,(212) 408-0211,Manhattan
Deputy Chief of Operations,Rick Zeidler,(212) 408-0215,Manhattan
Deputy Chief of Operations,Philip Sparacio,(718) 520-5907,Queens
Deputy Chief of Operations,Paul D'Amore,(718) 520-5912,Queens
Deputy Chief of Operations,Tom Russo,(718) 390-8013,Staten Island
Deputy Chief of Recreation,Pete Jones,(718) 430-1841,Bronx
Deputy Chief of Recreation,Jackie Brown,(718) 965-8918,Brooklyn
Deputy Chief of Recreation,Eileen Gillen,(718) 965-8997,Brooklyn
Deputy Chief of Recreation,Ronee Mattingly,(718) 430-1831,Brooklyn
Deputy Chief of Recreation,Chris Davis,(212) 408-0263,Manhattan
Deputy Chief of Recreation,Dannette Leininger,(212) 408-0262,Manhattan
Deputy Chief of Recreation,Kelly Gillen,(718) 520-5944,Queens
Deputy Chief of Recreation,Maritza R. Paul,(718) 520-5918,Queens
Director of Conference House Park,Bonnie Williams,(718) 390-8012,Staten Island
Director of Public Services,Edwin Vargas,(718) 965-8919,Brooklyn
Director of Special Events,Lisa Johansen,(718) 430-1849,Bronx
Director of Special Events & Permits,Claudia Pepe,(212) 408-0112,Manhattan
Flushing Meadows-Corona Park Administrator,Janice Melnick,(718) 760-6565,Queens
Forest Park Administrator,Debby Kuha,(718) 235-0815,Queens
Freshkills Park Administrator,Eloise Hirsh,(212) 788-9528,Staten Island
Greenbelt Administrator,Steven Cain,(718) 667-2165,Staten Island
Northern Manhattan Parks Administrator,Jennifer Hoppa,(212) 795-1388,Manhattan
Pelham Bay Park Administrator,Marianne O'Hea Anderson,(718) 430-1891,Bronx
Prospect Park Administrator,Emily Lloyd,(718) 965-8951,Brooklyn
Randall's Island Administrator,Aimee Boden,(212) 830-7714,Manhattan
Riverside Park Administrator,John Herrold,(212) 408-0264,Manhattan
Rockaways Administrator,Jill Weber,(718) 318-4000,Queens
Van Cortlandt Park Administrator,Margot Perron,(718) 430-1890,Bronx
Washington Square Park Administrator,Rebecca Ferguson  ,(212) 408-0297,Manhattan
