TITLE,DESCR,SFX,SFFX DESCR,STD HRS,ASG LVL,JOBCD,UNION CD,UNION DESCR,BARG UNIT,BARG UNIT DESCR,APRL BANK,APRL LVL,MIN RATE,MAX RATE
,DESCR,,SFFX DESCR,,,,,UNION DESCR,BARG UNIT,BARG UNIT DESCR,APRL BANK,APRL LVL,,
2917,PUBLIC RELATION SPEC,0,PUBLIC RELATION SPEC,35,0,11363,403,UNIQUE TITLES DB OF ED,N/U,Non-Union,Z,00,$36.10,$45.86
2917,PUBLIC RELATION SPEC,0,PUBLIC RELATION SPEC,35,0,8562,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,M1,$47748.00,$61955.00
2917,PUBLIC RELATION SPEC,0,PUBLIC RELATION SPEC,35,0,8563,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,M2,$54767.00,$71066.00
2917,PUBLIC RELATION SPEC,0,PUBLIC RELATION SPEC,35,0,8564,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,M3,$61791.00,$80177.00
2917,PUBLIC RELATION SPEC,0,PUBLIC RELATION SPEC,35,0,8565,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,M4,$68810.00,$89288.00
2917,PUBLIC RELATION SPEC,0,PUBLIC RELATION SPEC,35,0,8566,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,M5,$75835.00,$98398.00
2917,PUBLIC RELATION SPEC,0,PUBLIC RELATION SPEC,35,0,8567,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,M6,$82855.00,$107510.00
2917,PUBLIC RELATION SPEC,0,PUBLIC RELATION SPEC,35,0,8568,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,M7,$89878.00,$116620.00
2917,PUBLIC RELATION SPEC,0,PUBLIC RELATION SPEC,35,0,8569,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,M8,$96899.00,$125733.00
2917,PUBLIC RELATION SPEC,0,PUBLIC RELATION SPEC,35,0,8570,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,M9,$103921.00,$130826.00
2917,PUBLIC RELATION SPEC,0,PUBLIC RELATION SPEC,35,0,8561,403,UNIQUE TITLES DB OF ED,N/U,Non-Union,H,00,$65955.00,$83782.00
3225,EXEC DIR,0,EXEC DIR,35,0,11907,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G1,$51000.00,$77000.00
3225,EXEC DIR,0,EXEC DIR,35,0,11908,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G2,$59000.00,$91000.00
3225,EXEC DIR,0,EXEC DIR,35,0,11909,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G3,$70000.00,$105000.00
3225,EXEC DIR,0,EXEC DIR,35,0,11910,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G4,$81000.00,$124000.00
3225,EXEC DIR,0,EXEC DIR,35,0,11911,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G5,$95000.00,$145000.00
3225,EXEC DIR,0,EXEC DIR,35,0,11912,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G6,$111000.00,$170000.00
3225,EXEC DIR,0,EXEC DIR,35,0,11913,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G7,$138000.00,$188000.00
3225,EXEC DIR,0,EXEC DIR,35,0,11914,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G8,$162000.00,$196575.00
5102,ASST SECY BOE,0,ASST SECY BOE,35,0,11915,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G1,$51000.00,$77000.00
5102,ASST SECY BOE,0,ASST SECY BOE,35,0,11916,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G2,$59000.00,$91000.00
5102,ASST SECY BOE,0,ASST SECY BOE,35,0,11917,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G3,$70000.00,$105000.00
5102,ASST SECY BOE,0,ASST SECY BOE,35,0,11918,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G4,$81000.00,$124000.00
5102,ASST SECY BOE,0,ASST SECY BOE,35,0,11919,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G5,$95000.00,$145000.00
5102,ASST SECY BOE,0,ASST SECY BOE,35,0,11920,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G6,$111000.00,$170000.00
5102,ASST SECY BOE,0,ASST SECY BOE,35,0,11921,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G7,$138000.00,$188000.00
5102,ASST SECY BOE,0,ASST SECY BOE,35,0,11922,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G8,$162000.00,$196575.00
5103,DIR PLANT OPERATIONS,0,DIR PLANT OPERATIONS,35,0,11923,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G1,$51000.00,$77000.00
