PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Alianza Mosaic Beacon,Bronx,"Alianza Dominicana, Inc. - Bronx",917-258-3731,14 to 24,"125 166th St
Bronx, NEW YORK 10452
(40.83222290768848, -73.92062068789149)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Alianza Dominicana, Inc. - Manhattan",Manhattan,"Alianza Dominicana, Inc. - Manhattan",212-740-1960,14 to 24,"2410 Amsterdam Avenue
Manhattan, NEW YORK 10033
(40.847155142523604, -73.93158875873911)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Asociaciones Dominicanas, Inc - Vulnerable Youth",Brooklyn,"Asociaciones Dominicanas, Inc - Vulnerable Youth",718-599-2386 ,14 to 24,
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Betances Community Center,Bronx,"Aspira of New York, Inc.",212-585-5040,14 to 24,"545 146th Street
Bronx, NEW YORK 10455
(40.81273816362159, -73.91531036829375)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Brooklyn Neighborhood Improvement Association,Brooklyn,Brooklyn Neighborhood Improvement Association,718-773-4116,14 to 24,"1482 St Johns Place
Brooklyn, NEW YORK 11213
(40.67047059360309, -73.92935613018749)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Church Avenue Merchants Block Association, Inc.",Brooklyn,"Church Avenue Merchants Block Association, Inc.",718-462-2597 ,14 to 24,"1957 Nostrand Ave
Brooklyn, NEW YORK 11210
(40.637924792990376, -73.94816819471524)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Catholic Charities Neighborhood Services, Inc.",Brooklyn,"Catholic Charities Neighborhood Services, Inc.",718-875-8801   ,14 to 24,"200 Gold Street
Brooklyn, NEW YORK 11201
(40.69828882200633, -73.98309740031785)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,The Children's Aid Society,Manhattan,The Children's Aid Society,917-286-1535,14 to 24,"105 22nd Street
Manhattan, NEW YORK 10010
(40.73943216627024, -73.98656260495757)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Childrens Arts & Science Workshops, Inc. -Bx",Bronx,"Childrens Arts & Science Workshops, Inc. -Bx",718-220-4444,14 to 24,"229A 204th Street
Bronx, NEW YORK 10458
(40.87447472577226, -73.8850966664904)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Childrens Arts & Science Workshops, Inc. -Man",Manhattan,"Childrens Arts & Science Workshops, Inc. -Man",212-740-8170,14 to 24,"686 204th Street
Manhattan, NEW YORK 10034
(40.867820783175965, -73.92367507747998)"
