Borough,Hospital,Phone Number
Bronx,Jacobi Medical Center,718-918-5000
Bronx,Lincoln Hospital & Mental Health Center,718-579-5000
Bronx,North Central Bronx Hospital,718-519-5000
Brooklyn,Coney Island Hospital,718-616-3000
Brooklyn,Kings County Hospital Center,718-245-3131
Brooklyn,Woodhull Medical and Mental Health Center,718-963-8000
Manhattan,Bellevue Hospital Center,212-562-4141
Manhattan,Harlem Hospital,212-939-1000
Manhattan,Metropolitan Hospital,212-423-6262
Queens,Elmhurst Hospital Center,718-334-4000
Queens,Queens Hospital Center,718-883-3000
