DBN,School Name,Cohort Year,Demographic,Total Cohort Num,Total Grads Num,Num achieving APM ,Pct of cohort achieving APM,Pct of graduates achieving APM
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2006,Asian,9,8,s,s,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2007,Asian,7,6,s,s,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2006,Black,24,16,s,s,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2007,Black,18,10,s,s,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2006,Hispanic,42,17,s,s,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2007,Hispanic,50,24,2,4.00%,8.30%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2006,White,2,1,s,s,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2007,White,2,1,s,s,s
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,Asian,21,15,s,s,s
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2007,Asian,35,29,15,42.90%,51.70%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,Black,26,6,s,s,s
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2007,Black,32,20,s,s,s
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,Hispanic,64,24,5,7.80%,20.80%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2007,Hispanic,73,43,3,4.10%,7.00%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,White,6,4,s,s,s
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2007,White,10,7,s,s,s
01M509,MARTA VALLE SECONDARY SCHOOL,2006,Asian,17,14,s,s,s
01M509,MARTA VALLE SECONDARY SCHOOL,2007,Asian,6,6,s,s,s
01M509,MARTA VALLE SECONDARY SCHOOL,2006,Black,11,6,s,s,s
01M509,MARTA VALLE SECONDARY SCHOOL,2007,Black,15,4,s,s,s
01M509,MARTA VALLE SECONDARY SCHOOL,2006,Hispanic,54,25,4,7.40%,16.00%
01M509,MARTA VALLE SECONDARY SCHOOL,2007,Hispanic,73,36,3,4.10%,8.30%
01M509,MARTA VALLE SECONDARY SCHOOL,2006,White,2,2,s,s,s
01M509,MARTA VALLE SECONDARY SCHOOL,2007,White,1,1,s,s,s
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2006,Asian,180,102,63,35.00%,61.80%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2007,Asian,122,67,44,36.10%,65.70%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2006,Black,7,3,s,s,s
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2007,Black,38,1,s,s,s
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2006,Hispanic,6,0,s,s,s
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2007,Hispanic,64,5,s,s,s
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2007,White,5,1,s,s,s
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2006,Asian,13,13,s,s,s
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2007,Asian,25,25,22,88.00%,88.00%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2006,Black,3,3,s,s,s
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2007,Black,19,16,s,s,s
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2006,Hispanic,7,7,s,s,s
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2007,Hispanic,32,31,24,75.00%,77.40%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2006,White,23,23,20,87.00%,87.00%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2007,White,51,49,42,82.40%,85.70%
01M650,CASCADES HIGH SCHOOL,2006,Asian,4,4,s,s,s
01M650,CASCADES HIGH SCHOOL,2007,Asian,4,0,s,s,s
01M650,CASCADES HIGH SCHOOL,2006,Black,32,11,s,s,s
01M650,CASCADES HIGH SCHOOL,2007,Black,49,14,s,s,s
01M650,CASCADES HIGH SCHOOL,2006,Hispanic,49,31,6,12.20%,19.40%
01M650,CASCADES HIGH SCHOOL,2007,Hispanic,59,27,2,3.40%,7.40%
01M650,CASCADES HIGH SCHOOL,2006,White,3,2,s,s,s
01M650,CASCADES HIGH SCHOOL,2007,White,6,4,s,s,s
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2006,Asian,17,16,s,s,s
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2007,Asian,18,18,s,s,s
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2006,Black,27,26,18,66.70%,69.20%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2007,Black,18,17,s,s,s
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2006,Hispanic,18,18,s,s,s
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2007,Hispanic,15,15,s,s,s
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2006,White,76,73,57,75.00%,78.10%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2007,White,74,72,55,74.30%,76.40%
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,2006,Asian,1,1,s,s,s
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,2007,Asian,1,1,s,s,s
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,2006,Black,6,6,s,s,s
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,2007,Black,9,5,s,s,s
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,2006,Hispanic,16,10,s,s,s
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,2007,Hispanic,10,7,s,s,s
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,2006,White,2,2,s,s,s
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,2007,White,3,3,s,s,s
02M288,FOOD AND FINANCE HIGH SCHOOL,2006,Asian,3,3,s,s,s
02M288,FOOD AND FINANCE HIGH SCHOOL,2007,Asian,1,1,s,s,s
