PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1
Jobs & Internships,Out-of-School Youth Employment (OSY),Henry Street Settlement Workforce Development Center,New York,Henry Street Settlement,212.478.5400 ext. 210,16 to 21,"99 Essex Street
New York, NEW YORK 10002
(40.71844741559961, -73.98830122278652)"
Jobs & Internships,Out-of-School Youth Employment (OSY),"The Fortune Society, Inc.",Queens,"The Fortune Society, Inc.",212.691.7554 ext. 704,16 to 21,"29 76 Northern Boulevard
Queens, NEW YORK 11101
(40.74570244980828, -73.93866902925225)"
Jobs & Internships,Out-of-School Youth Employment (OSY),"Chinatown Manpower Project, Inc.",New York,"Chinatown Manpower Project, Inc.",212.571.1690,16 to 21,"70 Mulberry Street
New York, NEW YORK 10013
(40.716141909295175, -73.99917280924103)"
Jobs & Internships,Out-of-School Youth Employment (OSY),The Door - A Center of Alternatives,New York,The Door - A Center of Alternatives,212.941.9090,16 to 21,"121 Avenue
New York, NEW YORK 10013
(40.721242188776046, -74.00888900022716)"
Jobs & Internships,Out-of-School Youth Employment (OSY),International Sheet Metal Workers Local Union 28 (intake site),New York,International Sheet Metal Workers Local Union 28,212.732.7897,16 to 21,"470 Park Avenue
New York, NEW YORK 10016
(40.74541398971918, -73.98270866745645)"
Jobs & Internships,Out-of-School Youth Employment (OSY),New York Center for Interpersonal Development ,Staten Island,New York Center for Interpersonal Development ,718.947.4051,16 to 21,"120 Stuyvesant Place
Staten Island, NEW YORK 10301
(40.64309548865274, -74.07704808233049)"
Jobs & Internships,Out-of-School Youth Employment (OSY),Bronx Community College,Bronx,"Henkels & McCoy, Inc.",917.856.2368,16 to 21,"4117 181st Street
Bronx, NEW YORK 10453
(40.852786838341956, -73.91342678431863)"
Jobs & Internships,Out-of-School Youth Employment (OSY),South Bronx Job Corps,Bronx,Arbor Employment and Training,718.731.7686,16 to 21,"1771 Andrews Avenue
Bronx, NEW YORK 10453
(40.85076866536985, -73.91669538355141)"
Jobs & Internships,Out-of-School Youth Employment (OSY),Career Development Institute,Bronx,Federation Employment & Guidance Services (FEGS),718.742.3499,16 to 21,"412 434 East 147th Street
Bronx, NEW YORK 10455
(40.813535754971156, -73.9053552520432)"
Jobs & Internships,Out-of-School Youth Employment (OSY),"Mosholu Montefiore Community Center, Inc.",Bronx,"Mosholu Montefiore Community Center, Inc.",718.652.0470,16 to 21,"3450 Dekalb Avenue
Bronx, NEW YORK 10467
(40.8811069447426, -73.88170846616941)"
Jobs & Internships,Out-of-School Youth Employment (OSY),"Henkels & McCoy, Inc.",Queens,CUNY Catch at LaGuardia Community College,917.856.2368,16 to 21,"29 10 Thomson Avenue
Queens, NEW YORK 11101
(40.74570244980828, -73.93866902925225)"
Jobs & Internships,Out-of-School Youth Employment (OSY),Catholic Charities Neighborhood Services,Queens,Catholic Charities Neighborhood Services,718.726.9790 ext.127,16 to 21,"23 40 Astoria Boulevard
Queens, NEW YORK 11102
(40.77152402451418, -73.92643545073543)"
Jobs & Internships,Out-of-School Youth Employment (OSY),"Sunnyside Community Services, Inc.",Queens,"Sunnyside Community Service, Inc.",718.784.6173 ext. 429,16 to 21,"43 31 39th Street
Queens, NEW YORK 11104
(40.74489336663561, -73.92054134530679)"
Jobs & Internships,Out-of-School Youth Employment (OSY),"NYSARC, Inc.",Brooklyn,"NYSARC, Inc, NYC Chapter Assn for Help of Retarded Children",212.634.8657,16 to 21,"57 Willoughby
Brooklyn, NEW YORK 11201
(40.692238836414404, -73.98662013867026)"
Jobs & Internships,Out-of-School Youth Employment (OSY),Brooklyn Job Corps Academy,Brooklyn,Arbor Employment and Training,718.623.4031,16 to 21,"585 DeKalb Avenue
Brooklyn, NEW YORK 11205
(40.69124066064337, -73.95277618834143)"
Jobs & Internships,Out-of-School Youth Employment (OSY),Opportunities for a Better Tomorrow-North,Brooklyn,Opportunities for a Better Tomorrow,718.369.0303,16 to 21,"25 Thornton Street
Brooklyn, NEW YORK 11206
(40.70091258928835, -73.94390057487814)"
Jobs & Internships,Out-of-School Youth Employment (OSY),Medgar Evers College,Brooklyn,Research Foundation of CUNY on behalf of Medgar Evers College,718.270.6474,16 to 21,"1150 Carroll Street
Brooklyn, NEW YORK 11225
(40.66723830925684, -73.95227144143587)"
Jobs & Internships,Out-of-School Youth Employment (OSY),"Church Avenue Merchants Block Association, Inc.",Brooklyn,Church Avenue Merchant Block Association,718.462.4244,16 to 21,"2211 Church Avenue
Brooklyn, NEW YORK 11226
(40.65044686678422, -73.95854532388019)"
Jobs & Internships,Out-of-School Youth Employment (OSY),Opportunities for a Better Tomorrow,Brooklyn,Opportunities for a Better Tomorrow,718.369.0303,16 to 21,"783 4th Avenue
Brooklyn, NEW YORK 11232
(40.6592891541206, -73.99910746861542)"
Jobs & Internships,Out-of-School Youth Employment (OSY),YWCA of Queens,Queens,YWCA of Queens,718.353.4553,16 to 21,"42 07 Parsons Boulevard
Queens, NEW YORK 11355
(40.7512997969481, -73.82147854789662)"
