Name of Borough,Name of  Medicaid Office,Office Address,Phone Number
Brooklyn,Boerum Hill Medicaid Office,35 4th Avenue  ,718-623-7427; 718-623-7428  
Brooklyn,Coney Island Medicaid Office ,3050 West 21st Street ,718-333-3000; 718-333-3001
Brooklyn,Kings County Hosp. Medicaid Office ,"441 Clarkson Ave. ""T"" Bldg. Nurses' Residence (1st Fl.)",718-221-2300; 718-221-2301
Brooklyn,East New York Medicaid Office ,2094 Pitkin Avenue (Basement),718-922-8292; 718-922-8293 
Bronx,Bronx Lebanon Hosp. Medicaid Office,1316 Fulton Avenue (1st Floor),(718) 860-4634/4635
Bronx,Lincoln Hospital Medicaid Office,234 East 149th St. (Basement - Room B-75),(718) 585-7872/7920 
Bronx,North Central Bronx Hosp. Medicaid Office,3424 Kossuth Avenue (1st Fl. - Room 1A 05),(718) 920-1070
Bronx,Morrisania Medicaid Office,1225 Gerard Avenue (Basement)  ,(718) 960-2799/2752 
Manhattan,"Bellevue Hospital Medicaid Office
 (Temporarily Closed Due to Hurricane Sandy.)","462 First Avenue ""G"" Link (Ground Floor)",(212) 679-7424
Manhattan,Chinatown Medicaid Office,115 Chrystie Street (5th floor),(212) 334-6114
Manhattan,Metropolitan Hospital Medicaid Office,1901 First Avenue (1st Fl. - Room 1D-27),(212) 423-7006
Manhattan,Manhattanville Medicaid Office,520-530 West 135th St. (1st Floor),(212) 939-0207/0208
Queens,QUEENS COMMUNITY MEDICAID OFFFICE,45-12 32nd PLACE (1st Fl.),(718) 752-4540
Staten Island,Staten Island Medicaid Office,215 Bay Street,(718) 420-4660/4732
