VENDOR_NAME,ZIP CODE,PHONE,FAX,CONTACT PERSON,MBE,WBE,LBE,> 1M,PREQUALIFIED DATE,TRADE CODE (MASTER FORMAT),TRADE DESCRIPTION,Location 1
1100 ARCHITECT P.C.,475 Tenth Avenue,New York,NY,212-645-1011,212-645-4670,Betty Gonzalez,N,N,N,Y,5/18/2012,"31015
(31.943178611803546, -83.77858975071638)"
"147TH STREET HOMES, INC",115-38 222nd Street,Cambria Heights,NY,718-712-1862,718-341-3302,Geraldean Sartor,Y,Y,Y,N,4/29/2013,
"147TH STREET HOMES, INC",115-38 222nd Street,Cambria Heights,NY,718-712-1862,718-341-3302,Geraldean Sartor,Y,Y,Y,N,4/29/2013,
"147TH STREET HOMES, INC",115-38 222nd Street,Cambria Heights,NY,718-712-1862,718-341-3302,Geraldean Sartor,Y,Y,Y,N,4/29/2013,
"147TH STREET HOMES, INC",115-38 222nd Street,Cambria Heights,NY,718-712-1862,718-341-3302,Geraldean Sartor,Y,Y,Y,N,4/29/2013,
"147TH STREET HOMES, INC",115-38 222nd Street,Cambria Heights,NY,718-712-1862,718-341-3302,Geraldean Sartor,Y,Y,Y,N,4/29/2013,
"147TH STREET HOMES, INC",115-38 222nd Street,Cambria Heights,NY,718-712-1862,718-341-3302,Geraldean Sartor,Y,Y,Y,N,4/29/2013,
2 SAAB CONSTRUCTION INC.,3084 Coney Island Ave.,Brooklyn,NY,718-769-4592,718-332-3169,Imram  Alam,Y,N,N,N,2/20/2012,
2 SAAB CONSTRUCTION INC.,3084 Coney Island Ave.,Brooklyn,NY,718-769-4592,718-332-3169,Imram  Alam,Y,N,N,N,2/20/2012,
2 SAAB CONSTRUCTION INC.,3084 Coney Island Ave.,Brooklyn,NY,718-769-4592,718-332-3169,Imram  Alam,Y,N,N,N,2/20/2012,
2 SAAB CONSTRUCTION INC.,3084 Coney Island Ave.,Brooklyn,NY,718-769-4592,718-332-3169,Imram  Alam,Y,N,N,N,2/20/2012,
2 SAAB CONSTRUCTION INC.,3084 Coney Island Ave.,Brooklyn,NY,718-769-4592,718-332-3169,Imram  Alam,Y,N,N,N,2/20/2012,
2 SAAB CONSTRUCTION INC.,3084 Coney Island Ave.,Brooklyn,NY,718-769-4592,718-332-3169,Imram  Alam,Y,N,N,N,2/20/2012,
2 SAAB CONSTRUCTION INC.,3084 Coney Island Ave.,Brooklyn,NY,718-769-4592,718-332-3169,Imram  Alam,Y,N,N,N,2/20/2012,
2 SAAB CONSTRUCTION INC.,3084 Coney Island Ave.,Brooklyn,NY,718-769-4592,718-332-3169,Imram  Alam,Y,N,N,N,2/20/2012,
2323 DEVELOPMENT CORP.,694 Sackett Street,Brooklyn,NY,718-857-2900,718-857-4353,Joseph Tooma,N,N,N,Y,5/28/2013,"99945
"
2323 DEVELOPMENT CORP.,694 Sackett Street,Brooklyn,NY,718-857-2900,718-857-4353,Joseph Tooma,N,N,N,Y,5/28/2013,"99960
"
"275 TECHNOLOGY SOLUTIONS, INC.",275 Jericho Turnpike,Floral Park,NY,516-328-6000,516-833-1337,Daniel Kime,N,N,N,Y,10/31/2011,"13700
"
4 J''S PLUMBING & HEATING CORP.,107 Allen Boulevard,Farmingdale,NY,631-756-3270,631-756-3274,DANIEL JUSTUS,N,N,N,Y,1/11/2014,"15400
"
"4 Star Contracting, Inc.",276 Newtown Road,Plainview,NY,516-756-0700,516-756-0773,Robert Amrhein,N,N,N,Y,9/3/2012,
4 U SERVICES INC.,57 West 38 St.,NEW YORK,NY,212-432-2848,212-432-2846,Liang Chen,Y,N,N,Y,12/10/2011,"86025
(34.9262226098856, -110.07514261294119)"
4 U SERVICES INC.,57 West 38 St.,NEW YORK,NY,212-432-2848,212-432-2846,Liang Chen,Y,N,N,Y,12/10/2011,"86040
(36.82240527628255, -110.97730725052918)"
"50 STATES ENGINEERING, CORP",85 Midtown bridge Approach,Hackensack,NJ,201-507-8283,201-591-7907,Margita Batistic,N,Y,N,Y,8/18/2014,"37102
"
711 NEW YORK PAINTING & DECORATING,41-12 24th Street,LONG ISLAND CITY,NY,718-784-7775,718-784-1222,George Zelaya,N,N,N,N,7/19/2014,
711 NEW YORK PAINTING & DECORATING,41-12 24th Street,LONG ISLAND CITY,NY,718-784-7775,718-784-1222,George Zelaya,N,N,N,N,7/19/2014,
711 NEW YORK PAINTING & DECORATING,41-12 24th Street,LONG ISLAND CITY,NY,718-784-7775,718-784-1222,George Zelaya,N,N,N,N,7/19/2014,
