Borough,Facility Name,Street Address,City,Zip Code,State,Phone Number(s),Comments
Brooklyn,Coney Island,"30-50 West 21 Street, 1st flr",Brooklyn,11224,NY,718-333-3275/718-333-3033,
Brooklyn,East New York,"404 Pine Street, 1st Floor",Brooklyn,11208,NY,718-827-3961/718-827-3444,
Brooklyn,Ft. Greene,"275 Bergen Street, 1st Floor",Brooklyn,11217,NY,718-473-8510/718-694-8196,"Extended Hours - Mon. - Fri. 8:30 - 6 pm, Sat 9:00 am to 5:00 pm"
Brooklyn,North Brooklyn,"500 Dekalb Avenue, 4rd Floor",Brooklyn,11205,NY,718-398-5057/718-636-7046,
Brooklyn,Williamsburg ,"30 Thornton Street, 4th Floor",Brooklyn,11206,NY,718-963-5115/718-963-5140,
Bronx,Concourse,"1375 Jerome Avenue, 2nd Floor",Bronx,10452,NY,718-637-2401/718-590-7235,"Extended Hours - Mon. - Fri. 8:30 - 6 pm, Sat 9:00 am to 5:00 pm"
Bronx,Crotona ,"1910 Monterey Avenue, 5th Floor",Bronx,10457,NY,718-901-0287/ 718-901-5459,
Bronx,Melrose ,260 East 161 Street,Bronx,10451,NY,718-838-6353,8:30am-9am only
Bronx,Melrose ,260 East 161 Street,Bronx,10451,NY,718-838-6320,work requirements
Manhattan,East End,"2322 Third Avenue, 3rd Floor",New York,10035,NY,"212-860-5159, 212-860-5147",
Manhattan,St. Nicholas,"132 W.125th Street, 3rd Floor",New York,10027,NY,212-666-1434/212-666-8788,
Manhattan,Washington Heights,"4055 10th Avenue, Lower Level",New York,10034,NY,212-569-9829/212-569-9835,
Manhattan,Waverly,"12 West 14th Street, 4th Floor",New York,10011,NY,212-352-2519/212-352-2524,"Extended Hours - Mon. - Fri. 8:30 - 6 pm, Sat 9:00 am to 5:00 pm"
Queens,Jamaica ,"165-08 88th Avenue, 3rd Floor",Jamaica,11432,NY,718-883-8356/718-883-8344,"Extended Hours - Mon. - Fri. 8:30 - 6 pm, Sat 9:00 am to 5:00 pm"
Queens,Queens,"32-20 Northern Blvd., 2nd Floor",LIC,11101,NY,718-784-6123/718-784-6315,Entrance on One Honeywell Street
Queens,Rockaway,"219 Beach 59th St., 1st Floor",Rockaway,11692,NY,718-637-2754/718-637-2750,
Staten Island,Richmond,"201 Bay Street, 2nd Floor",Staten Island,10301,NY,718-390-6827/718-390-6994,"Extended Hours - Mon. - Fri. 8:30 - 6 pm, Sat 9:00 am to 5:00 pm"
