Cohort Year,Cohort Category,Demographic,Total Cohort Num,Total Grads Num,Total Grads Pct of cohort,Total Regents Num,Total Regents Pct of cohort,Total Regents Pct of grads,Advanced Regents Num,Advanced Regents Pct of cohort,Advanced Regents Pct of grads,Regents w/o Advanced Num,Regents w/o Advanced Pct of cohort,Regents w/o Advanced Pct of grads,Local Num,Local Pct of cohort,Local Pct of grads,Still Enrolled Num,Still Enrolled Pct of cohort,Dropped Out Num,Dropped Out Pct of cohort
2001,4 Year  June,English Language Learner,"10,540","2,791",26.50%,992,9.00%,35.50%,315,3.00%,11.30%,677,6.40%,24.30%,"1,803",17.10%,64.60%,"3,895",37.00%,"3,220",30.60%
2001,5 Year,English Language Learner,"10,540","3,920",37.20%,"1,233",11.70%,31.50%,371,3.50%,9.50%,862,8.20%,22.00%,"2,701",25.60%,68.90%,"1,516",14.40%,"4,193",39.80%
2001,6 Year,English Language Learner,"10,540","4,296",40.80%,"1,291",12.20%,30.10%,380,3.60%,8.80%,911,8.60%,21.20%,"3,028",28.70%,70.50%,655,6.20%,"4,598",43.60%
2002,4 Year  June,English Language Learner,"7,454","1,691",22.70%,639,8.60%,37.80%,132,1.80%,7.80%,507,6.80%,30.00%,"1,062",14.20%,62.80%,"3,062",41.10%,"2,330",31.30%
2002,5 Year,English Language Learner,"7,454","2,354",31.60%,794,10.70%,33.70%,176,2.40%,7.50%,618,8.30%,26.30%,"1,578",21.20%,67.00%,"1,457",19.50%,"3,041",40.80%
2002,6 Year,English Language Learner,"7,454","2,729",36.60%,856,11.50%,31.40%,185,2.50%,6.80%,671,9.00%,24.60%,"1,891",25.40%,69.30%,697,9.40%,"3,356",45.00%
2003,4 Year  June,English Language Learner,"8,163","2,052",25.10%,909,11.10%,44.30%,290,3.60%,14.10%,619,7.60%,30.20%,"1,143",14.00%,55.70%,"3,360",41.20%,"2,394",29.30%
2003,5 Year,English Language Learner,"8,163","3,105",38.00%,"1,159",14.20%,37.30%,358,4.40%,11.50%,801,9.80%,25.80%,"1,946",23.80%,62.70%,"1,327",16.30%,"3,111",38.10%
2003,6 Year,English Language Learner,"8,041","3,394",42.20%,"1,216",15.10%,35.80%,363,4.50%,10.70%,853,10.60%,25.10%,"2,178",27.10%,64.20%,570,7.10%,"3,361",41.80%
2004,4 Year  June,English Language Learner,"8,486","3,039",35.80%,"1,504",17.70%,49.50%,487,5.70%,16.00%,"1,017",12.00%,33.50%,"1,535",18.10%,50.50%,"3,288",38.70%,"1,840",21.70%
2004,4 Year August,English Language Learner,"8,486","3,404",40.10%,"1,599",18.80%,47.00%, n/a , n/a , n/a , n/a , n/a , n/a ,"1,809",21.30%,53.10%,"2,923",34.40%,"1,840",21.70%
2004,5 Year,English Language Learner,"8,320","4,065",48.90%,"1,799",21.60%,44.30%,558,6.70%,13.70%,"1,241",14.90%,30.50%,"2,266",27.20%,55.70%,"1,151",13.80%,"2,389",28.70%
2004,6 Year,English Language Learner,"8,306","4,394",52.90%,"1,873",22.50%,42.60%,568,6.80%,12.90%,"1,305",15.70%,29.70%,"2,521",30.40%,57.40%,619,7.50%,"2,710",32.60%
2005,4 Year  June,English Language Learner,"8,778","3,481",39.70%,"1,908",21.70%,54.80%,583,6.60%,16.70%,"1,325",15.10%,38.10%,"1,572",17.90%,45.20%,"3,060",34.90%,"1,700",19.40%
2005,4 Year August,English Language Learner,"8,778","3,899",44.40%,"2,015",23.00%,51.70%,594,6.80%,15.20%,"1,421",16.20%,36.40%,"1,883",21.50%,48.30%,"2,642",30.10%,"1,700",19.40%
