Chapter Number,Chapter Name,Fire Department Rule Number,Fire Department Rule Description
Chapter 1,ADMINISTRATION,§101,Reserved
Chapter 1,ADMINISTRATION,§102-01,Pre-Existing Facilities and Conditions
Chapter 1,ADMINISTRATION,§103,Reserved
Chapter 1,ADMINISTRATION,§104-01,Appeals
Chapter 1,ADMINISTRATION,§104-02,Professional Certification of Fire Alarm System Installations
Chapter 1,ADMINISTRATION,§104-03,Disposal of Contraband Materials
Chapter 1,ADMINISTRATION,§104-04,Modification of Rules
Chapter 1,ADMINISTRATION,§105-01,Approval of Fire Alarm System Installations   
Chapter 1,ADMINISTRATION,§106-108,Reserved
Chapter 1,ADMINISTRATION,§109-01,"Notice of Violation, Certification of Correction and Stipulation Procedures"
Chapter 1,ADMINISTRATION,§109-02,Consolidation of Provisions of the Administrative Code for Enforcement
Chapter 1,ADMINISTRATION,§110-111,Reserved
Chapter 1,ADMINISTRATION,§112-01,Certificates of Approval
Chapter 1,ADMINISTRATION,§113-01,Certificates of Fitness and Certificates of Qualification
Chapter 1,ADMINISTRATION,§113-02,Fire Safety Director Certificate of Fitness
Chapter 1,ADMINISTRATION,§113-03,Fire Safety/EAP Director Certificate of Fitness
Chapter 1,ADMINISTRATION,§113-04,Accreditation of Training Courses
Chapter 1,ADMINISTRATION,§113-05,Fire Safety Director Training Courses
Chapter 1,ADMINISTRATION,§113-06,Fire Safety/EAP Director Training Courses
Chapter 1,ADMINISTRATION,§113-07,Refrigerating System Operating Engineer Training Courses
Chapter 1,ADMINISTRATION,§113-08,Commercial Cooking Exhaust Systems Certificates of Fitness
Chapter 1,ADMINISTRATION,§113-09,Non-Production Laboratory Certificates of Fitness
Chapter 1,ADMINISTRATION,§113-10,Construction Site Fire Safety Manager Training Courses
Chapter 1,ADMINISTRATION,§113-11,Construction Site Fire Safety Manager Certificates of Fitness
Chapter 1,ADMINISTRATION,§113-12,"Building Operation, Maintenance and Recordkeeping Training Course"
Chapter 1,ADMINISTRATION,§114-01,Certificates of License
Chapter 1,ADMINISTRATION,§115-01,Company Certificates
Chapter 1,ADMINISTRATION,§116-01,Expeditor Registration
Chapter 1,ADMINISTRATION,§117,Reserved
Chapter 2,DEFINITIONS,§201 ,Reserved
Chapter 2,DEFINITIONS,§202-01,Definitions
Chapter 3,GENERAL PRECAUTIONS AGAINST FIRE,§301-01,"Boatyards, Marinas and Similar Facilities "
Chapter 3,GENERAL PRECAUTIONS AGAINST FIRE,§302 ,Reserved
Chapter 3,GENERAL PRECAUTIONS AGAINST FIRE,§303-01,Liquid–Fueled Tar Kettles and Asphalt Melters 
Chapter 3,GENERAL PRECAUTIONS AGAINST FIRE,§304-307 ,Reserved
Chapter 3,GENERAL PRECAUTIONS AGAINST FIRE,§308-01,Use of Open Flames in Group  A Occupancies and Similar Public Gathering Places 
Chapter 3,GENERAL PRECAUTIONS AGAINST FIRE,§309 ,Reserved
Chapter 3,GENERAL PRECAUTIONS AGAINST FIRE,§310-01,"Designated Smoking Rooms in Hospitals, Nursing Homes, Rehabilitation Facilities and Similar Medical Facilities Housing the Ill, Aged and Infirm"
Chapter 3,GENERAL PRECAUTIONS AGAINST FIRE,§310-02,Design of “No Smoking” Signs 
Chapter 3,GENERAL PRECAUTIONS AGAINST FIRE,§311-312 ,Reserved
Chapter 3,GENERAL PRECAUTIONS AGAINST FIRE,§313-01,Sale of Kerosene Space Heaters 
Chapter 3,GENERAL PRECAUTIONS AGAINST FIRE,§314-01,Indoor Display of Motor Vehicles and Watercraft 
Chapter 3,GENERAL PRECAUTIONS AGAINST FIRE,§315-01,Storage of Flammable Plastic Foam Products 
Chapter 3,GENERAL PRECAUTIONS AGAINST FIRE,§316,Reserved
Chapter 4,EMERGENCY PLANNING AND PREPAREDNESS,§401-402 ,Reserved
Chapter 4,EMERGENCY PLANNING AND PREPAREDNESS,§403-01,Fire Safety Precautions at Street Fairs and Similar Outdoor Public Gatherings
Chapter 4,EMERGENCY PLANNING AND PREPAREDNESS, ,
Chapter 4,EMERGENCY PLANNING AND PREPAREDNESS,§403-02,"Theater Inspections, Maintenance and Recordkeeping "
Chapter 4,EMERGENCY PLANNING AND PREPAREDNESS,§404-01,Fire Safety and Evacuation Plans 
Chapter 4,EMERGENCY PLANNING AND PREPAREDNESS,§404-02,Office Building Emergency Action Plans 
Chapter 4,EMERGENCY PLANNING AND PREPAREDNESS,§404-03,Fire Safety Requirements for Sidewalk Cafes and Similar Public Gathering Places
Chapter 4,EMERGENCY PLANNING AND PREPAREDNESS,,
Chapter 4,EMERGENCY PLANNING AND PREPAREDNESS,§405-407 ,Reserved
Chapter 4,EMERGENCY PLANNING AND PREPAREDNESS,§408-01,Residential Buildings With Non-Sequential or Non-Standard Floor Numbering
Chapter 4,EMERGENCY PLANNING AND PREPAREDNESS,,
Chapter 4,EMERGENCY PLANNING AND PREPAREDNESS,§408-02,Residential Fire Safety Guides and Notices 
Chapter 6,BUILDING SERVICES AND SYSTEMS,§601-602 ,Reserved
Chapter 6,BUILDING SERVICES AND SYSTEMS,§603-01,Fuel-Oil Transfer Supervision and Maintenance 
Chapter 6,BUILDING SERVICES AND SYSTEMS,§604-610,Reserved
Chapter 7,FIRE-RESISTANT RATED CONSTRUCTION,§701-704,Reserved
